rank,type,min_all_gain,min_hard_gain,easy_max,min_sep,margin,eligible,score,selected_slices,val_all,val_t50,val_t100,val_hard,val_easy,val_near005,val_switch
11,all_hard_proximity_full_waypoint_repair,0.0,0.01,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
12,all_hard_proximity_full_waypoint_repair,0.0,0.02,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
13,all_hard_proximity_full_waypoint_repair,0.0025,-0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
14,all_hard_proximity_full_waypoint_repair,0.0025,0.0,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
15,all_hard_proximity_full_waypoint_repair,0.0025,0.0025,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
16,all_hard_proximity_full_waypoint_repair,0.0025,0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
17,all_hard_proximity_full_waypoint_repair,0.0025,0.01,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
18,all_hard_proximity_full_waypoint_repair,0.0025,0.02,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
19,all_hard_proximity_full_waypoint_repair,0.005,-0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
20,all_hard_proximity_full_waypoint_repair,0.005,0.0,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
