rank,mode,min_sep,margin,alpha,safe_min_sep,strength,val_score,val_all,val_t50,val_hard,val_easy,val_base_near005,val_final_near005
12,repel_unsafe,0.05,0.01,,,0.5,1.9080464636954015,0.4412285644596943,0.4744157741912838,0.4369208588654141,-0.28723926586054227,0.015512022868673281,0.012779552715654952
13,repel_unsafe,0.05,0.0,,,0.25,1.9073576071066685,0.4411032847667118,0.47409718708394677,0.43679446122311394,-0.28734210614340816,0.015512022868673281,0.015091642845132
14,repel_unsafe,0.05,0.005,,,0.25,1.9073576071066685,0.4411032847667118,0.47409718708394677,0.43679446122311394,-0.28734210614340816,0.015512022868673281,0.015091642845132
15,repel_unsafe,0.05,0.01,,,0.25,1.9073576071066685,0.4411032847667118,0.47409718708394677,0.43679446122311394,-0.28734210614340816,0.015512022868673281,0.015091642845132
16,repel_unsafe,0.02,0.0,,,0.5,1.906451139283209,0.4409340236814222,0.4737057768215782,0.43662333819587407,-0.2874272837926436,0.015512022868673281,0.015512022868673281
17,repel_unsafe,0.02,0.005,,,0.5,1.906451139283209,0.4409340236814222,0.4737057768215782,0.43662333819587407,-0.2874272837926436,0.015512022868673281,0.015512022868673281
18,repel_unsafe,0.02,0.01,,,0.5,1.906451139283209,0.4409340236814222,0.4737057768215782,0.43662333819587407,-0.2874272837926436,0.015512022868673281,0.015512022868673281
19,repel_unsafe,0.02,0.0,,,0.25,1.9063519842750989,0.44091506744663933,0.47366510513349946,0.4366044145061385,-0.2874272837926436,0.015512022868673281,0.015512022868673281
20,repel_unsafe,0.02,0.005,,,0.25,1.9063519842750989,0.44091506744663933,0.47366510513349946,0.4366044145061385,-0.2874272837926436,0.015512022868673281,0.015512022868673281
21,repel_unsafe,0.02,0.01,,,0.25,1.9063519842750989,0.44091506744663933,0.47366510513349946,0.4366044145061385,-0.2874272837926436,0.015512022868673281,0.015512022868673281
22,blend_unsafe,0.02,0.01,0.75,,,1.9055639994418996,0.4407446874451737,0.47350798153640206,0.4364300432908722,-0.2874272837926436,0.015512022868673281,0.015427946863965024
23,blend_unsafe,0.02,0.005,0.75,,,1.9055011416879999,0.4407294652980762,0.47350798153640206,0.43641407613508776,-0.2874272837926436,0.015512022868673281,0.015427946863965024
24,blend_unsafe,0.02,0.0,0.75,,,1.9054833972954857,0.44072511890602317,0.47350798153640206,0.43640951702009756,-0.2874272837926436,0.015512022868673281,0.015385908861610896
25,blend_unsafe,0.02,0.01,0.5,,,1.9045107042319138,0.44052739890402737,0.47324973988504937,0.43620574605109286,-0.2874272837926436,0.015512022868673281,0.015133680847486128
26,blend_unsafe,0.02,0.005,0.5,,,1.9043832593680532,0.4404964240397826,0.47324973988504937,0.4361732552020926,-0.2874272837926436,0.015512022868673281,0.015133680847486128
27,blend_unsafe,0.02,0.0,0.5,,,1.9043292560717597,0.4404831962272405,0.47324973988504937,0.436159379988419,-0.2874272837926436,0.015512022868673281,0.015133680847486128
