view,site,seed,action,policy,cutoff,selected,complete_selected,incomplete_selected,easy_selected,zero_CV_harmed,predicted_harm,observed_positive_harm,observed_easy_benefit,observed_net_easy_harm,predicted_selected_denominator,observed_selected_denominator,observed_population_denominator,predicted_positive_selected_ratio,observed_positive_selected_ratio,observed_net_selected_ratio,observed_positive_population_ratio,observed_net_population_ratio,benefit_cancels_positive_harm_percent,predicted_to_observed_harm,predicted_to_observed_denominator
coupa_seed29,coupa,29,damped_velocity_005,pointwise,6.246571682255203,1048,1021,27,461,0,18.168476414143758,1.1818767123121292,495.51054200996157,-494.3286652976494,1816.2822618325304,2351.4482501976345,22379.510980131203,1.0003112839858244,0.05026165097245048,-21.022306795656768,0.005281065852428203,-2.2088448033405212,41925.73868729373,15.372564857971016,0.7724100505634668
coupa_seed29,coupa,29,damped_velocity_005,aggregate_selected,6.246571682255203,1519,1483,36,482,0,29.986658648867436,3.7858318501377375,517.2909931582517,-513.505161308114,2172.1067255866365,2444.7021985438146,22379.510980131203,1.3805333916439453,0.1548586102795165,-21.00481447654373,0.01691650837902063,-2.2945325381059933,13663.866057321891,7.920758194206764,0.8884954277377631
coupa_seed29,coupa,29,damped_velocity_005,aggregate_population,6.246571682255203,3211,3051,160,587,0,133.71145489425487,31.355983453652968,627.087352370385,-595.7313689167321,3222.965757515907,2844.047084438093,22379.510980131203,4.148708517378498,1.1025128108892777,-20.946607114081324,0.14011022618631472,-2.66194989446208,1999.8969360896556,4.264304294326878,1.1332322081273414
coupa_seed29,coupa,29,damped_velocity_005,aggregate_joint,6.246571682255203,3211,3051,160,587,0,133.71145489425487,31.355983453652968,627.087352370385,-595.7313689167321,3222.965757515907,2844.047084438093,22379.510980131203,4.148708517378498,1.1025128108892777,-20.946607114081324,0.14011022618631472,-2.66194989446208,1999.8969360896556,4.264304294326878,1.1332322081273414
coupa_seed29,coupa,29,transformer,net_stop,6.246571682255203,12576,10610,1966,1382,5,2664.9506106104245,2817.9437748988294,1789.4976317182986,1028.4461431805307,6320.000235920492,6331.969631192602,22379.510980131203,42.16693846724646,44.503431618134286,16.242120589369076,12.591623549775656,4.595480857886473,63.50366702339708,0.9457075170728353,0.9981096884588413
coupa_seed29,coupa,29,transformer,strict_stop,6.246571682255203,2229,2134,95,290,0,276.69719437525896,115.9009626616506,758.1365969884368,-642.2356343267862,2070.4525290857237,1533.0702593312358,22379.510980131203,13.364092655504818,7.560055513190213,-41.89212010458971,0.5178887186791027,-2.869748292967486,654.124503867723,2.387358896949117,1.3505268375559694
coupa_seed29,coupa,29,transformer,pointwise,6.246571682255203,26,25,1,15,0,0.7456824200666574,0.11494514438581671,19.651461590511744,-19.536516446125926,45.38646257007785,69.31319190279527,22379.510980131203,1.6429621914580912,0.16583444107871362,-28.185855981822208,0.0005136177662142233,-0.08729644031753277,17096.382535786848,6.487289428805733,0.6548026620059249
coupa_seed29,coupa,29,transformer,aggregate_selected,6.246571682255203,29,28,1,16,0,0.8730347558966227,0.11494514438581671,22.099375931712274,-21.984430787326456,50.596501964162684,74.676903855876,22379.510980131203,1.7254844149403648,0.153923286117562,-29.439397795275084,0.0005136177662142233,-0.09823463437983294,19226.019550277895,7.595229538067795,0.6775388286291607
coupa_seed29,coupa,29,transformer,aggregate_population,6.246571682255203,2897,2607,290,422,0,245.29539556464655,201.7055865803361,886.6409257355543,-684.9353391552182,2081.379081591055,2079.2639426786695,22379.510980131203,11.78523401787708,9.70081683427277,-32.941240652345044,0.9012957734394318,-3.060546496137972,439.5718238485276,1.2161061065452905,1.0010172536872162
coupa_seed29,coupa,29,transformer,aggregate_joint,6.246571682255203,2897,2608,289,423,0,245.1150676447263,201.7055865803361,891.0084823664497,-689.3028957861136,2083.5301923158613,2085.1301971782327,22379.510980131203,11.76441160049996,9.673524792518974,-33.05802662677536,0.9012957734394318,-3.0800623677527406,441.73713652277814,1.2152120910498476,0.9992326594931402
