action,policy,seed,site,subset,rows,gain_percent,absolute_harm
damped_velocity_005,net_clipped_population,17,gates,all,20236,0.34744525523731085,-0.06866047877258907
damped_velocity_005,net_clipped_population,17,hyang,all,89183,0.6441016565623903,-0.10256263154485445
damped_velocity_005,net_clipped_population,17,coupa,hard,4416,0.5546968154489518,-0.23669823226227038
damped_velocity_005,net_clipped_population,17,deathCircle,hard,12715,0.484989032614247,-0.27316129475548934
damped_velocity_005,net_clipped_population,17,gates,hard,6404,0.11927094275103745,-0.053758320383721525
damped_velocity_005,net_clipped_population,17,hyang,hard,18309,0.507359464301449,-0.22406025943556074
damped_velocity_005,net_clipped_population,17,coupa,positive_easy,11220,2.574711239298899,-0.05678324234337584
damped_velocity_005,net_clipped_population,17,deathCircle,positive_easy,4581,0.45180995219608056,-0.012072586924390727
damped_velocity_005,net_clipped_population,17,gates,positive_easy,2923,0.81422463230999,-0.023035842729540956
damped_velocity_005,net_clipped_population,17,hyang,positive_easy,19679,0.5144787303907439,-0.013687430621443841
damped_velocity_005,net_clipped_population,17,coupa,complete,24834,2.0035489583970834,-0.2386504225658168
damped_velocity_005,net_clipped_population,17,deathCircle,complete,27394,0.6675685151789734,-0.18298241303157425
damped_velocity_005,net_clipped_population,17,gates,complete,15281,0.3887271359937716,-0.08496664558652256
damped_velocity_005,net_clipped_population,17,hyang,complete,76409,0.6839266282427148,-0.11540981160336372
damped_velocity_005,net_clipped_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,net_clipped_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,net_clipped_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,net_clipped_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,net_selected,17,coupa,all,27778,1.9396269742679495,-0.2309747733098355
damped_velocity_005,net_selected,17,deathCircle,all,35760,0.28985750236707464,-0.07191562291444598
damped_velocity_005,net_selected,17,gates,all,20236,0.29799705249847763,-0.05888876013975519
damped_velocity_005,net_selected,17,hyang,all,89183,0.5467540417456673,-0.08706161947867841
damped_velocity_005,net_selected,17,coupa,hard,4416,0.9054347978942889,-0.3863638840559531
damped_velocity_005,net_selected,17,deathCircle,hard,12715,0.1121366205968144,-0.06315892197936535
damped_velocity_005,net_selected,17,gates,hard,6404,0.08383921474510725,-0.037788377143918694
damped_velocity_005,net_selected,17,hyang,hard,18309,0.36030925627219546,-0.15911989647919
damped_velocity_005,net_selected,17,coupa,positive_easy,11220,2.474732387332046,-0.054578286970596857
damped_velocity_005,net_selected,17,deathCircle,positive_easy,4581,0.6971240648115384,-0.018627502180096567
damped_velocity_005,net_selected,17,gates,positive_easy,2923,0.9651567322564447,-0.027305976522155273
damped_velocity_005,net_selected,17,hyang,positive_easy,19679,0.5855401800379023,-0.015577982367219523
damped_velocity_005,net_selected,17,coupa,complete,24834,2.1000341492562025,-0.2501431447542952
damped_velocity_005,net_selected,17,deathCircle,complete,27394,0.32581470647587985,-0.08930673007570888
damped_velocity_005,net_selected,17,gates,complete,15281,0.32604499695851885,-0.07126579838840286
damped_velocity_005,net_selected,17,hyang,complete,76409,0.5851465142080015,-0.0987410727648168
damped_velocity_005,net_selected,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,net_selected,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,net_selected,17,gates,zero_CV,1565,,0.0
damped_velocity_005,net_selected,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,net_clipped_selected,17,coupa,all,27778,1.4635353136360107,-0.17428079820636633
damped_velocity_005,net_clipped_selected,17,deathCircle,all,35760,0.20557776644763992,-0.051005245718013015
damped_velocity_005,net_clipped_selected,17,gates,all,20236,0.2506368242661372,-0.04952965709777857
damped_velocity_005,net_clipped_selected,17,hyang,all,89183,0.3342118657878368,-0.05321776166771208
damped_velocity_005,net_clipped_selected,17,coupa,hard,4416,0.04525654888495323,-0.01931171194969039
damped_velocity_005,net_clipped_selected,17,deathCircle,hard,12715,0.029638206590365535,-0.01669318343719084
damped_velocity_005,net_clipped_selected,17,gates,hard,6404,0.0207423958437869,-0.009349103273407877
damped_velocity_005,net_clipped_selected,17,hyang,hard,18309,0.032585534076312594,-0.014390434657677531
damped_velocity_005,net_clipped_selected,17,coupa,positive_easy,11220,2.6075702853553984,-0.057507922900526864
damped_velocity_005,net_clipped_selected,17,deathCircle,positive_easy,4581,0.7612227376925684,-0.020340250640667357
damped_velocity_005,net_clipped_selected,17,gates,positive_easy,2923,1.044726218438241,-0.029557136824876817
damped_velocity_005,net_clipped_selected,17,hyang,positive_easy,19679,0.7790896558242832,-0.020727262337707053
damped_velocity_005,net_clipped_selected,17,coupa,complete,24834,1.6209845004425016,-0.19308169854393675
damped_velocity_005,net_clipped_selected,17,deathCircle,complete,27394,0.22962182588430746,-0.06293999017278651
damped_velocity_005,net_clipped_selected,17,gates,complete,15281,0.27852639099563703,-0.060879344298204074
damped_velocity_005,net_clipped_selected,17,hyang,complete,76409,0.3598067038607544,-0.060715904588906966
damped_velocity_005,net_clipped_selected,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,net_clipped_selected,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,net_clipped_selected,17,gates,zero_CV,1565,,0.0
damped_velocity_005,net_clipped_selected,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,matched_net_population,17,coupa,all,27778,1.7997743828727875,-0.21432083880447372
damped_velocity_005,matched_net_population,17,deathCircle,all,35760,0.31096667792870347,-0.07715295331758298
damped_velocity_005,matched_net_population,17,gates,all,20236,0.3214662940113966,-0.06352664001986952
damped_velocity_005,matched_net_population,17,hyang,all,89183,0.6106503529351048,-0.09723605973174898
damped_velocity_005,matched_net_population,17,coupa,hard,4416,0.8994380147887115,-0.3838049583134264
damped_velocity_005,matched_net_population,17,deathCircle,hard,12715,0.20061096239435416,-0.11299049369096537
damped_velocity_005,matched_net_population,17,gates,hard,6404,0.13586571029503558,-0.06123798650983048
damped_velocity_005,matched_net_population,17,hyang,hard,18309,0.5844200799667298,-0.2580917947731365
damped_velocity_005,matched_net_population,17,coupa,positive_easy,11220,2.0001177652961055,-0.04411103274362782
damped_velocity_005,matched_net_population,17,deathCircle,positive_easy,4581,0.3781694955638293,-0.010104877250171729
damped_velocity_005,matched_net_population,17,gates,positive_easy,2923,0.6842830755892981,-0.01935956821527407
damped_velocity_005,matched_net_population,17,hyang,positive_easy,19679,0.5653948352815297,-0.015042026277278797
damped_velocity_005,matched_net_population,17,coupa,complete,24834,1.9565751854600077,-0.2330551957988547
damped_velocity_005,matched_net_population,17,deathCircle,complete,27394,0.34350520856972766,-0.09415574659951176
damped_velocity_005,matched_net_population,17,gates,complete,15281,0.35408489951577193,-0.07739466422323105
damped_velocity_005,matched_net_population,17,hyang,complete,76409,0.6454286186176383,-0.10891343047933688
damped_velocity_005,matched_net_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,matched_net_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,matched_net_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,matched_net_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,matched_net_clipped_population,17,coupa,all,27778,1.595463990236412,-0.18999113662457923
damped_velocity_005,matched_net_clipped_population,17,deathCircle,all,35760,0.2981792666282401,-0.07398030937486766
damped_velocity_005,matched_net_clipped_population,17,gates,all,20236,0.27261690400237626,-0.05387325591054548
damped_velocity_005,matched_net_clipped_population,17,hyang,all,89183,0.4895993422954992,-0.07796067039550003
damped_velocity_005,matched_net_clipped_population,17,coupa,hard,4416,0.32358046319789224,-0.13807709274760782
damped_velocity_005,matched_net_clipped_population,17,deathCircle,hard,12715,0.17341603394276373,-0.09767344244430376
damped_velocity_005,matched_net_clipped_population,17,gates,hard,6404,0.060378636731184265,-0.027214122927681217
damped_velocity_005,matched_net_clipped_population,17,hyang,hard,18309,0.3374349313115532,-0.1490181292988879
damped_velocity_005,matched_net_clipped_population,17,coupa,positive_easy,11220,2.405128868181272,-0.05304323580230896
damped_velocity_005,matched_net_clipped_population,17,deathCircle,positive_easy,4581,0.3664718578230919,-0.009792310544306293
damped_velocity_005,matched_net_clipped_population,17,gates,positive_easy,2923,0.7093110996736152,-0.020067654907519827
damped_velocity_005,matched_net_clipped_population,17,hyang,positive_easy,19679,0.598993097007694,-0.01593589000616147
damped_velocity_005,matched_net_clipped_population,17,coupa,complete,24834,1.7484553383410262,-0.20826524032952776
damped_velocity_005,matched_net_clipped_population,17,deathCircle,complete,27394,0.3310751427583858,-0.09074863049893978
damped_velocity_005,matched_net_clipped_population,17,gates,complete,15281,0.30468589032695004,-0.06659719803826292
damped_velocity_005,matched_net_clipped_population,17,hyang,complete,76409,0.5218880956176286,-0.0880664742474302
damped_velocity_005,matched_net_clipped_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,matched_net_clipped_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,matched_net_clipped_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,matched_net_clipped_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,matched_net_selected,17,coupa,all,27778,1.6349462706603979,-0.1946927678617545
damped_velocity_005,matched_net_selected,17,deathCircle,all,35760,0.2375470956518244,-0.05893705429671314
damped_velocity_005,matched_net_selected,17,gates,all,20236,0.27774711384696005,-0.05488706357901307
