group,subset,component,mean_pp,low_pp,high_pp
neural_fold0_seed29_all,easy,total,0.0,0.0,0.0
neural_fold0_seed29_all,easy,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed29_all,easy,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed29_all,easy,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed29_all,easy,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed29_all,hard,full_total,0.0,0.0,0.0
neural_fold0_seed29_all,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed29_all,hard,total,0.0,0.0,0.0
neural_fold0_seed29_all,hard,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed29_all,hard,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed29_all,hard,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed29_all,hard,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed29_easy,all,full_total,0.05756656694320221,-0.0328269669959919,0.1564315325635094
neural_fold0_seed29_easy,all,support_difference,0.0,0.0,0.0
neural_fold0_seed29_easy,all,total,0.05756656694320221,-0.0328269669959919,0.1564315325635094
neural_fold0_seed29_easy,all,ranking_at_control_count,-0.00512694083023371,-0.05682546703953679,0.037888916877790314
neural_fold0_seed29_easy,all,ranking_at_supported_count,0.006623805801818105,-0.04989848394661023,0.055553162753381465
neural_fold0_seed29_easy,all,coverage_with_supported_ranking,0.06269350777343594,0.01051299442891701,0.12251481487694539
neural_fold0_seed29_easy,all,coverage_with_control_ranking,0.05094276114138412,-0.00563528934963781,0.10958072089060533
neural_fold0_seed29_easy,easy,full_total,0.8275003290534633,0.46822533712930525,1.158146794969641
neural_fold0_seed29_easy,easy,support_difference,0.0,0.0,0.0
neural_fold0_seed29_easy,easy,total,0.8275003290534633,0.46822533712930525,1.158146794969641
neural_fold0_seed29_easy,easy,ranking_at_control_count,0.08262483602810837,-0.10759986173534432,0.31443743221719
neural_fold0_seed29_easy,easy,ranking_at_supported_count,-0.014886598424155115,-0.2561494226139612,0.26102177998886666
neural_fold0_seed29_easy,easy,coverage_with_supported_ranking,0.7448754930253549,0.30907623938789874,1.1815915890161928
neural_fold0_seed29_easy,easy,coverage_with_control_ranking,0.8423869274776183,0.3615328225143719,1.3217005141996152
neural_fold0_seed29_easy,hard,full_total,0.004556203276639494,-0.05670114791115589,0.051267393177385344
neural_fold0_seed29_easy,hard,support_difference,0.0,0.0,0.0
neural_fold0_seed29_easy,hard,total,0.004556203276639494,-0.05670114791115589,0.051267393177385344
neural_fold0_seed29_easy,hard,ranking_at_control_count,-0.019855301759520747,-0.07106509257235955,0.015790368851860345
neural_fold0_seed29_easy,hard,ranking_at_supported_count,-0.013593237184949817,-0.07325977036844865,0.032490487550702045
neural_fold0_seed29_easy,hard,coverage_with_supported_ranking,0.02441150503616024,0.004955780968869987,0.04457205421628144
neural_fold0_seed29_easy,hard,coverage_with_control_ranking,0.018149440461589315,0.0018584824701858205,0.044379242319819656
damping097_fold0_seed29_all,all,full_total,0.0,0.0,0.0
damping097_fold0_seed29_all,all,support_difference,0.0,0.0,0.0
damping097_fold0_seed29_all,all,total,0.0,0.0,0.0
damping097_fold0_seed29_all,all,ranking_at_control_count,0.0,0.0,0.0
damping097_fold0_seed29_all,all,ranking_at_supported_count,0.0,0.0,0.0
damping097_fold0_seed29_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
damping097_fold0_seed29_all,all,coverage_with_control_ranking,0.0,0.0,0.0
damping097_fold0_seed29_all,easy,full_total,0.0,0.0,0.0
damping097_fold0_seed29_all,easy,support_difference,0.0,0.0,0.0
