trial,objective,arm,site,seed,mode,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_fde,native_pixel_cv_ade,native_pixel_cv_fde,hard_rows,hard_gain_percent,easy_rows,easy_absolute_harm,easy_native_pixel_harm,easy_nonzero_predictions,intervention_rate,oracle_binary_gain_percent,training_ade,training_cv_ade,training_gain_percent
ade_past_rgb_bookstore_seed43,ade,past_rgb,bookstore,43,uncontrolled,798.1843079380037,1576.002386555535,773.9476085867074,-3.1315684785892133,0.7981843458497241,1.5760024614116315,0.7739476453472461,1.5649910498453663,496,-0.08543456765099933,3769,35.546320988157014,0.03554632267651666,3769,1.0,0.12808157578790835,1150.8157561369385,1127.6525371766854,-2.0541095946316146
ade_past_rgb_bookstore_seed43,ade,past_rgb,bookstore,43,fixed_probability_gate,774.3372879198824,1565.196154811529,773.9476085867074,-0.05034957519755998,0.77433732469893,1.565196229154357,0.7739476453472461,1.5649910498453663,496,-0.005339096996048731,3769,0.5526795752642604,0.0005526796015151316,72,0.015120967741935484,0.0006242274668721848,1150.8157561369385,1127.6525371766854,-2.0541095946316146
log_ade_past_rgb_bookstore_seed43,log_ade,past_rgb,bookstore,43,uncontrolled,789.4763416791495,1573.4203115170178,773.9476085867074,-2.006432078884374,0.7894763791772637,1.5734203862504725,0.7739476453472461,1.5649910498453663,496,-0.07898272499899939,3769,21.606033479291995,0.021606034505523522,3769,1.0,0.010707587559366516,1142.748579832589,1127.6525371766854,-1.3387140238871442
log_ade_past_rgb_bookstore_seed43,log_ade,past_rgb,bookstore,43,fixed_probability_gate,774.1952841181433,1565.1529905578896,773.9476085867074,-0.032001588826946384,0.7741953208904462,1.5651530648986673,0.7739476453472461,1.5649910498453663,496,-0.0022642287131668937,3769,0.34805508078122743,0.00034805509731295674,72,0.015120967741935484,0.0,1142.748579832589,1127.6525371766854,-1.3387140238871442
ade_mask_only_coupa_seed17,ade,mask_only,coupa,17,uncontrolled,1209.0554151544889,2476.3792682146905,1194.5014738117636,-1.2184113340841916,1.2090554725815394,2.4763793858363936,1.194501530547539,2.459754181111371,434,-0.058373714224790874,1704,25.845556956045886,0.02584555818364397,1691,1.0,0.043078319335365656,989.9412634893481,976.4588158774197,-1.3807492331167515
ade_mask_only_coupa_seed17,ade,mask_only,coupa,17,fixed_probability_gate,1194.5267663294362,2459.7924253781753,1194.5014738117636,-0.002117412010542433,1.1945268230664132,2.459792542212046,1.194501530547539,2.459754181111371,434,0.0,1704,0.06308286391368968,6.308286690996493e-05,3,0.0007058823529411765,0.0,989.9412634893481,976.4588158774197,-1.3807492331167515
log_ade_mask_only_coupa_seed17,log_ade,mask_only,coupa,17,uncontrolled,1205.7836983859454,2469.37890323434,1194.5014738117636,-0.9445132401703256,1.2057837556575979,2.469379020523544,1.194501530547539,2.459754181111371,434,-0.05202014583787218,1704,19.082692192942396,0.019082693099321642,1691,1.0,0.00818029840319312,987.271769961552,976.4588158774197,-1.1073640698728182
log_ade_mask_only_coupa_seed17,log_ade,mask_only,coupa,17,fixed_probability_gate,1194.5210387742973,2459.7739791774457,1194.5014738117636,-0.0016379186600093884,1.1945210955110022,2.459774096010441,1.194501530547539,2.459754181111371,434,0.0,1704,0.048797588478959666,4.879759079672074e-05,3,0.0007058823529411765,0.0,987.271769961552,976.4588158774197,-1.1073640698728182
ade_past_rgb_coupa_seed17,ade,past_rgb,coupa,17,uncontrolled,1209.8103259609925,2474.171808107493,1194.5014738117636,-1.281610151587082,1.2098103834238993,2.474171925624348,1.194501530547539,2.459754181111371,434,-0.061464256196996914,1704,27.10734571690612,0.027107347004435952,1691,1.0,0.036091368955715186,990.8680559627373,976.4588158774197,-1.4756628596127586
ade_past_rgb_coupa_seed17,ade,past_rgb,coupa,17,fixed_probability_gate,1194.5014738117636,2459.7540642793224,1194.5014738117636,0.0,1.194501530547539,2.459754181111371,1.194501530547539,2.459754181111371,434,0.0,1704,0.0,0.0,0,0.0,0.0,990.8680559627373,976.4588158774197,-1.4756628596127586
log_ade_past_rgb_coupa_seed17,log_ade,past_rgb,coupa,17,uncontrolled,1210.335059841642,2467.91915945737,1194.5014738117636,-1.3255392627814881,1.2103351173294725,2.4679192766772404,1.194501530547539,2.459754181111371,434,-0.06377940581303587,1704,26.10364663283834,0.02610364787269503,1691,1.0,0.028379244292620065,991.2656827832899,976.4588158774197,-1.5163841695223113
