trial,schedule,seed,step,training_ade,cv_ade,gain_percent,zero_rows,moving_rows,easy_absolute_harm,easy_pixel_harm,moving_gain_percent,hard_gain_percent,zero_harm_contribution,moving_harm_contribution,predicted_path_norm_mean,regret_binary_oracle,training_binary_oracle_gain_percent,training_rows_helped,training_rows_harmed,tail_ade_95,tail_ade_99,percentage_easy_degradation,continuation_clip_fraction
constant_seed29,constant,29,6000,1145.5027096888284,1127.6525371766852,-1.5829497051312424,8566,6864,32.71545960286598,0.03271546115676693,0.027658356185544797,0.12597123117356057,18.162062667410886,-0.3118901552676988,37.42045310090272,22.487542768777995,0.4112410608542061,2643,12736,4076.684350168511,17561.076602276673,,
constant_seed29,constant,29,10000,1141.3310783812221,1127.6525371766852,-1.2130102805234744,8566,6864,63.6307894241548,0.06363079244645513,1.9195840231651329,1.4102388134429655,35.32477914499741,-21.6462379404603,97.74345530550013,42.353820804832324,2.5429180226109183,3757,11622,4007.217884163535,17532.18763088201,,1.0
cosine_seed29,cosine,29,2000,1144.1891811837518,1127.6525371766852,-1.4664662617147606,8566,6864,24.085954984667822,0.024085956128689297,-0.28069556695065057,-0.033377061367478866,13.37137332460561,3.165270682461093,24.856713840431286,17.267348654931542,0.06479874108156203,1741,13638,4081.3210507958897,17566.714237996763,,
cosine_seed29,cosine,29,4000,1138.1127022010037,1127.6525371766852,-0.9276053287218922,8566,6864,18.076546747512914,0.01807654760610281,-0.03768257459484392,0.035982446937565804,10.035236515826028,0.4249285084922513,20.213452901762064,12.253303239978312,0.15901513600541373,2398,12981,4082.050986275911,17568.908649724817,,
cosine_seed29,cosine,29,6000,1138.2833845901378,1127.6525371766852,-0.9427414086318642,8566,6864,21.661347526413916,0.021661348555272714,0.1236639351576363,0.11165976830010971,12.025346915830305,-1.3944995023778088,26.123198673122268,14.705248112367263,0.3613170338015337,2720,12659,4076.9663465628496,17565.652609786706,,
cosine_seed29,cosine,29,10000,1123.977418683598,1127.6525371766852,0.32590876816440684,8566,6864,15.722969679955904,0.01572297042675689,1.099963053868458,0.5498037826005664,8.728642791866642,-12.403761284954061,30.915419051324992,10.396605401066946,1.2478776422909288,4485,10894,4042.307823067444,17570.745567704314,,1.0
constant_seed43,constant,43,2000,1150.8157561369385,1127.6525371766852,-2.054109594631637,8566,6864,33.85290856494024,0.033852910172867116,-0.38750401746483476,-0.03971547727172897,18.79352007564991,4.369698884603421,34.87872367371598,24.607991701972587,0.1281221559024215,1996,13383,4091.75274920098,17576.582665311336,,
constant_seed43,constant,43,4000,1142.1373259815432,1127.6525371766852,-1.2845081554220261,8566,6864,23.50498679200335,0.02350498790843032,-0.12733898623120687,0.02456475825245441,13.048847495806916,1.4359413090510664,25.584342380522052,16.767023467701303,0.2023881104863401,2220,13159,4079.2849598147873,17560.46443828609,,
constant_seed43,constant,43,6000,1145.5841190819192,1127.6525371766852,-1.5901690737227803,8566,6864,32.27145617696595,0.032271457709777865,-0.0014196537238442275,0.11891144971515333,17.915573143998074,0.016008761235938217,38.40529335168626,22.628718427273306,0.4165411212392889,2324,13055,4074.809636369487,17596.33839669819,,
constant_seed43,constant,43,10000,1139.3528000034232,1127.6525371766852,-1.0375769522083633,8566,6864,38.09310970469544,0.03809311151402107,0.8377770949538732,0.5755708409188376,21.147477493870458,-9.447214667132497,54.31558853023538,25.514549607391267,1.2250481708878325,3454,11925,4043.751467664542,17550.58693388606,,1.0
