trial,step,site,rows,ade,cv_ade,gain_percent
constant_seed29,2000,gates,1662,750.3606612161684,725.7411275974281,-3.392329948316908
constant_seed29,2000,hyang,6464,1134.4129162878926,1118.8623977707434,-1.3898508474440296
constant_seed29,4000,coupa,4250,1208.1935317866375,1194.5014738117636,-1.1462571018168166
constant_seed29,4000,deathCircle,3054,1283.7456839371926,1271.9512415452677,-0.9272715813851473
constant_seed29,4000,gates,1662,744.9157556534863,725.7411275974281,-2.642075435291358
constant_seed29,4000,hyang,6464,1131.992241946731,1118.8623977707434,-1.173499458212901
constant_seed29,6000,coupa,4250,1211.3978390597479,1194.5014738117636,-1.4145118795095613
constant_seed29,6000,deathCircle,3054,1288.4962144012818,1271.9512415452677,-1.300755273913956
constant_seed29,6000,gates,1662,752.3241099003147,725.7411275974281,-3.6628738942892536
constant_seed29,6000,hyang,6464,1135.7109970697488,1118.8623977707434,-1.5058687585332242
constant_seed29,10000,coupa,4250,1197.7741612076488,1194.5014738117636,-0.2739793518581335
constant_seed29,10000,deathCircle,3054,1299.355055413116,1271.9512415452677,-2.154470468109748
constant_seed29,10000,gates,1662,758.0768797036766,725.7411275974281,-4.455549076196941
constant_seed29,10000,hyang,6464,1128.1009036185935,1118.8623977707434,-0.8257052758460004
cosine_seed29,2000,coupa,4250,1211.3413897478497,1194.5014738117636,-1.4097861162404746
cosine_seed29,2000,deathCircle,3054,1285.754305635469,1271.9512415452677,-1.0851881455324008
cosine_seed29,2000,gates,1662,750.3606612161684,725.7411275974281,-3.392329948316908
cosine_seed29,2000,hyang,6464,1134.4129162878926,1118.8623977707434,-1.3898508474440296
cosine_seed29,4000,coupa,4250,1204.6633902811993,1194.5014738117636,-0.8507244814866644
cosine_seed29,4000,deathCircle,3054,1281.2655023441653,1271.9512415452677,-0.7322812773531862
cosine_seed29,4000,gates,1662,741.537764788835,725.7411275974281,-2.1766214688289542
cosine_seed29,4000,hyang,6464,1128.687960555115,1118.8623977707434,-0.8781743674600495
cosine_seed29,6000,coupa,4250,1203.9360348044106,1194.5014738117636,-0.7898325116787452
cosine_seed29,6000,deathCircle,3054,1282.7115066158783,1271.9512415452677,-0.8459652162089215
cosine_seed29,6000,gates,1662,741.3190862214714,725.7411275974281,-2.146489709852073
cosine_seed29,6000,hyang,6464,1128.946660551068,1118.8623977707434,-0.901296066470425
cosine_seed29,10000,coupa,4250,1184.763977345515,1194.5014738117636,0.8151933404632272
cosine_seed29,10000,deathCircle,3054,1277.1626132419276,1271.9512415452677,-0.40971473799016334
cosine_seed29,10000,gates,1662,723.2560851321196,725.7411275974281,0.3424144465307144
cosine_seed29,10000,hyang,6464,1114.6686931062882,1118.8623977707434,0.37481862584808345
constant_seed43,2000,coupa,4250,1219.7327061266556,1194.5014738117636,-2.112281388349957
constant_seed43,2000,deathCircle,3054,1291.1205641962456,1271.9512415452677,-1.5070799905576138
constant_seed43,2000,gates,1662,759.4307900662864,725.7411275974281,-4.642104627636057
constant_seed43,2000,hyang,6464,1139.846370669736,1118.8623977707434,-1.8754739582634627
constant_seed43,4000,coupa,4250,1208.9623905776302,1194.5014738117636,-1.2106236018043948
constant_seed43,4000,deathCircle,3054,1284.5689678753022,1271.9512415452677,-0.9919976425122545
constant_seed43,4000,gates,1662,746.3453214408958,725.7411275974281,-2.839055561268533
constant_seed43,4000,hyang,6464,1132.6716008376147,1118.8623977707434,-1.2342181750307546
constant_seed43,6000,coupa,4250,1213.3060451156136,1194.5014738117636,-1.5742610382758926
constant_seed43,6000,deathCircle,3054,1288.570349380939,1271.9512415452677,-1.3065837190017637
constant_seed43,6000,gates,1662,749.3437847407082,725.7411275974281,-3.2522143565732353
constant_seed43,6000,hyang,6464,1135.381969128127,1118.8623977707434,-1.4764613942069627
constant_seed43,10000,coupa,4250,1202.2292034066088,1194.5014738117636,-0.6469418216944689
constant_seed43,10000,deathCircle,3054,1288.968066564519,1271.9512415452677,-1.337851991761707
constant_seed43,10000,gates,1662,743.8731242029017,725.7411275974281,-2.49841106091091
constant_seed43,10000,hyang,6464,1129.0089699661928,1118.8623977707434,-0.9068650636276487
cosine_seed43,2000,coupa,4250,1219.7327061266556,1194.5014738117636,-2.112281388349957
cosine_seed43,2000,deathCircle,3054,1291.1205641962456,1271.9512415452677,-1.5070799905576138
cosine_seed43,2000,gates,1662,759.4307900662864,725.7411275974281,-4.642104627636057
cosine_seed43,2000,hyang,6464,1139.846370669736,1118.8623977707434,-1.8754739582634627
cosine_seed43,4000,coupa,4250,1206.860128429334,1194.5014738117636,-1.0346286621256917
cosine_seed43,4000,deathCircle,3054,1282.5033923919202,1271.9512415452677,-0.8296034078973724
cosine_seed43,4000,gates,1662,743.0406996329172,725.7411275974281,-2.383711130270294
cosine_seed43,4000,hyang,6464,1130.2713004646066,1118.8623977707434,-1.0196877396715376
cosine_seed43,6000,coupa,4250,1203.5725666193607,1194.5014738117636,-0.7594040699381077
cosine_seed43,6000,deathCircle,3054,1282.1884762151954,1271.9512415452677,-0.8048448977879596
cosine_seed43,6000,gates,1662,736.6175298427207,725.7411275974281,-1.4986614140635846
cosine_seed43,6000,hyang,6464,1127.2577535650241,1118.8623977707434,-0.7503474789221531
cosine_seed43,10000,coupa,4250,1188.371005703164,1194.5014738117636,0.5132239886684098
cosine_seed43,10000,deathCircle,3054,1276.1572088453356,1271.9512415452677,-0.330670481909201
cosine_seed43,10000,gates,1662,722.4621111109632,725.7411275974281,0.4518162691592442
cosine_seed43,10000,hyang,6464,1115.5555935096243,1118.8623977707434,0.2955505759875132
