variant,seed,step,mode,site,rows,gain_percent,actual_changed_rate,native_pixel_ade
cost_supervised,43,6000,proposal,hyang,6464,-0.5728615955212568,0.9941212871287128,1.125271984201849
cost_supervised,43,6000,hard_action,coupa,4250,0.04347658313460512,0.010823529411764706,1.1939822020965665
cost_supervised,43,6000,hard_action,deathCircle,3054,-0.0054393709515654365,0.005566470203012442,1.2720204881093466
cost_supervised,43,6000,hard_action,gates,1662,0.8914610358047304,0.02045728038507822,0.7192714623876466
cost_supervised,43,6000,hard_action,hyang,6464,0.0408918640605993,0.02103960396039604,1.118404927201403
cost_supervised,43,10000,proposal,coupa,4250,0.36634006545716025,0.9969411764705882,1.1901255928586445
cost_supervised,43,10000,proposal,deathCircle,3054,-0.265778556361318,1.0,1.2753318757676777
cost_supervised,43,10000,proposal,gates,1662,0.511251291105641,1.0,0.7220308010071228
cost_supervised,43,10000,proposal,hyang,6464,0.14773750485546078,0.9941212871287128,1.117209471446111
cost_supervised,43,10000,hard_action,coupa,4250,0.3371557383961221,0.5378823529411765,1.1904742000920685
cost_supervised,43,10000,hard_action,deathCircle,3054,-0.14773345579619512,0.6224623444662737,1.2738303995741398
cost_supervised,43,10000,hard_action,gates,1662,0.8934811235339679,0.49578820697954273,0.7192568017794858
cost_supervised,43,10000,hard_action,hyang,6464,0.17338431117309705,0.5748762376237624,1.1169225189603642
