variant,seed,step,mode,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable,gain_over_dense_pp,requested_rate,mean_soft_gate,expected_action_gain_percent,zero_action_rows,all_baseline,clip_fraction,no_greater_easy_harm_than_dense,training_signal_not_research_gate
cost_supervised,29,10000,proposal,15430,1125.0502711862398,2349.6971780585377,1127.6525371766852,0.2307684241956931,1.1250503246232602,1.1276525907373067,-2.6022659904456087,8566,6864,1549,12.367715891956752,0.012367716479391739,,zero_error_CV_denominator,0.8396409009227779,0.38355304417052594,0.9966947504860661,4063.69181142353,17569.281988488303,4420,10959,1116.8803262770941,0.9552774941261166,8.169944909145405,False,0.000976529705285289,1.0,0.5004784464836121,0.1214098566403421,51,False,1.0,True,True
cost_supervised,29,10000,hard_action,15430,1124.3319321647748,2348.441318804818,1127.6525371766852,0.2944705840173256,1.124331985567676,1.1276525907373067,-3.320605011910515,8566,6864,1549,7.70907723455278,0.007709077600714301,,zero_error_CV_denominator,0.6739945794007163,0.3213569174420061,0.5296824368114064,4069.886120831245,17569.281988488303,2503,5670,1119.1983485069277,0.7497157494031126,5.133583657847161,False,0.0646786895269239,0.5321451717433571,0.5004784464836121,0.1214098566403421,7257,False,1.0,True,True
expected_cost,43,2000,proposal,15430,1142.1978528858829,2371.8393472067205,1127.6525371766852,-1.289875669114804,1.14219790713737,1.1276525907373067,14.54531570919769,8566,6864,1549,21.467322197807707,0.0214673232174508,,zero_error_CV_denominator,-0.2330223463619996,-0.03035094675349903,0.9966947504860661,4087.2778389718733,17569.59078970367,1850,13529,1126.9546036938048,0.06189260076759906,15.243249192078283,False,0.0,1.0,0.5,-0.6449378345574353,51,False,,True,False
expected_cost,43,2000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.2898756691148014,0.0,0.5,-0.6449378345574353,15430,True,,True,False
expected_cost,43,4000,proposal,15430,1142.4425538678038,2378.682332799251,1127.6525371766852,-1.3115757029331654,1.1424426081309134,1.1276525907373067,14.790016691118616,8566,6864,1549,23.079225948169057,0.023079227044373467,,zero_error_CV_denominator,-0.1753670782554062,0.003992255228857378,0.9966947504860661,4080.210871452728,17569.78291474487,1872,13507,1126.296312613555,0.12026972124991042,16.14624125424878,False,-0.27281168098344566,1.0,0.3592817187309265,-0.47119682413898634,51,False,,False,False
expected_cost,43,4000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.0387640219497134,0.0,0.3592817187309265,-0.47119682413898634,15430,True,,True,False
expected_cost,43,6000,proposal,15430,1134.390002432264,2364.5645629150495,1127.6525371766852,-0.5974770626107517,1.134390056312898,1.1276525907373067,6.737465255578723,8566,6864,1549,15.226284379353134,0.015226285102562838,,zero_error_CV_denominator,0.15212501123997857,0.10220876604191131,0.9966947504860661,4082.5286883290637,17576.400166797954,2916,12463,1124.03347440039,0.3209377584833084,10.35652803187377,False,0.10317882569831469,1.0,0.27835479378700256,-0.16575541516405945,51,False,,True,False
expected_cost,43,6000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,0.7006558883090617,0.0,0.27835479378700256,-0.16575541516405945,15430,True,,True,False
expected_cost,43,10000,proposal,15430,1125.7565688341087,2352.1895420032265,1127.6525371766852,0.16813409096061438,1.1257566223046767,1.1276525907373067,-1.8959683425764997,8566,6864,1549,10.528767672690151,0.010528768172779781,,zero_error_CV_denominator,0.6864736862228216,0.31168796080238703,0.9966947504860661,4064.6209690532464,17565.382235327223,4360,11019,1118.670345393729,0.7965389591943928,7.086223440379953,False,0.020285835010615212,1.0,0.2568765878677368,0.045609183964490096,51,False,1.0,False,False
expected_cost,43,10000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,-0.14784825594999826,0.0,0.2568765878677368,0.045609183964490096,15430,True,1.0,True,False
cost_supervised,43,2000,proposal,15430,1142.1978528858829,2371.8393472067205,1127.6525371766852,-1.289875669114804,1.14219790713737,1.1276525907373067,14.54531570919769,8566,6864,1549,21.467322197807707,0.0214673232174508,,zero_error_CV_denominator,-0.2330223463619996,-0.03035094675349903,0.9966947504860661,4087.2778389718733,17569.59078970367,1850,13529,1126.9546036938048,0.06189260076759906,15.243249192078283,False,0.0,1.0,0.5,-0.6449378345574353,51,False,,True,False
cost_supervised,43,2000,hard_action,15430,1127.6525371766852,2361.8622718066044,1127.6525371766852,0.0,1.1276525907373067,1.1276525907373067,0.0,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,4081.8834419295335,17570.3460960043,0,0,1127.6525371766852,0.0,0.0,False,1.2898756691148014,0.0,0.5,-0.6449378345574353,15430,True,,True,False
cost_supervised,43,4000,proposal,15430,1142.9173241903932,2373.459094712287,1127.6525371766852,-1.3536782395689562,1.1429173784760531,1.1276525907373067,15.264787013707869,8566,6864,1549,22.318010301314448,0.022318011361363053,,zero_error_CV_denominator,-0.2549448658003328,-0.027214018862875555,0.9966947504860661,4081.512122189219,17568.78644673869,1470,13909,1126.6326857125835,0.0904402225401002,16.28463847780962,False,-0.31491421761924443,1.0,0.49629008769989014,-0.6717009582950073,51,False,,False,False
cost_supervised,43,4000,hard_action,15430,1127.6176770999218,2361.7775216404343,1127.6525371766852,0.0030913845900149006,1.1276177306588875,1.1276525907373067,-0.0348600767633775,8566,6864,1549,0.0,0.0,,zero_error_CV_denominator,0.0030913845900149006,0.0,0.0003240440699935191,4081.8834419295335,17570.3460960043,5,0,1127.6176770999218,0.0030913845900149006,0.0,False,1.0418554065397336,0.0011665586519766689,0.49629008769989014,-0.6717009582950073,15425,False,,True,True
cost_supervised,43,6000,proposal,15430,1134.4077517697788,2367.366003730351,1127.6525371766852,-0.5990510702886143,1.1344078056512557,1.1276525907373067,6.75521459309352,8566,6864,1549,15.883806005409498,0.015883806759849798,,zero_error_CV_denominator,0.18292131546577828,0.12393627087243786,0.9966947504860661,4075.0695041216895,17576.187453699084,3116,12263,1123.6627866649262,0.3538102722446812,10.744965104852584,False,0.10160481802045673,1.0,0.4981232285499573,-0.29685376705055333,51,False,,False,False
cost_supervised,43,6000,hard_action,15430,1126.6346548165968,2358.3367474726924,1127.6525371766852,0.0902656027925719,1.126634708328872,1.1276525907373067,-1.01788236008825,8566,6864,1549,0.3955374685337603,0.00039553748732078193,,zero_error_CV_denominator,0.10973822653395082,0.06186918753234849,0.015100453661697991,4070.9320444770738,17570.3460960043,136,97,1126.2216369975529,0.12689193984476432,0.4130178190442751,False,0.7909214911016303,0.01594296824368114,0.4981232285499573,-0.29685376705055333,15197,False,,True,True
cost_supervised,43,10000,proposal,15430,1126.024219552703,2353.2482775083427,1127.6525371766852,0.14439887911386062,1.1260242730359835,1.1276525907373067,-1.628317623982293,8566,6864,1549,9.607806130342642,0.009607806586688946,,zero_error_CV_denominator,0.6173988061496938,0.2871589378951156,0.9966947504860661,4065.7193373073865,17567.873548222808,4314,11065,1119.5351909846163,0.7198446262881797,6.48902856808657,False,-0.003449376836138447,1.0,0.500352144241333,0.07731691270360663,51,False,1.0,False,False
