group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed17_easy,original_neural,ADE_vs_floor,complete,eu-locality-110,5804,28.590833511877996,28.300248496549504,-1.0267931582435441,118.20634225900001,275.3204835858817,118.307140243085
fold0_seed17_easy,original_neural,ADE_vs_floor,complete,eu-locality-119,3148,28.56272433394445,28.47799643115178,-0.2975205892644439,111.844506586388,205.2067029563877,112.70775480291367
fold0_seed17_easy,original_neural,ADE_vs_floor,complete,eu-locality-124,2077,38.57415497378245,38.44534253779068,-0.33505342257036386,177.32650540365142,316.4037738037055,176.26503245693834
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-007,2644,13.567522508971564,13.560302083735946,-0.053246787505401016,43.53377105106524,79.49429142979626,43.53377105106524
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-008,60609,20.787806398552227,20.690052552040164,-0.4724678502685764,71.15292801218644,149.64295460872688,71.09281552922138
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-020,861,6.302379851476489,6.3387099187666545,0.57314607792045,19.979117977348317,40.11869080861428,20.00346745004128
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-048,3342,26.646870206333702,26.597987398230224,-0.18378386067936514,84.23221156137625,156.40296156578447,83.98219627567455
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-067,3486,27.778495301896044,27.766179152106456,-0.044356660389310854,93.17889670482512,169.03718823289313,93.17889670482512
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-110,2746,34.953762788545966,34.841288684972675,-0.3228184370281495,126.73310646572438,266.10639347951724,126.73310646572438
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-119,2491,29.392474183803174,29.34795166450741,-0.15170571290537005,115.46635230218115,196.78467591884663,115.46635230218115
fold0_seed17_easy,original_neural,ADE_vs_floor,partial,eu-locality-124,1473,48.18397426701232,48.08914789196006,-0.19718871971967644,198.65336171643455,368.3901132569861,198.65336171643455
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-007,3935,14.843008678426727,14.814090589650256,-0.19520664195664672,49.628264714660304,86.57722281549708,49.628264714660304
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-008,121088,18.1613108705744,17.980058310600572,-1.0080754847550555,64.91916860344756,134.1023884296182,64.80683450223539
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-020,622,7.063558906003425,7.154425553546914,1.2700760789724153,24.767553584165828,41.43936474820229,24.82301529514794
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-048,5582,27.472384227571233,27.320398042166932,-0.5563102893659133,94.48789605087438,165.7475602615107,93.9788003607713
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-067,4600,30.50678507811791,30.457420837717965,-0.1620762331221881,93.87734065539321,172.94540871767404,93.74093481262217
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-110,7204,29.841789184529322,29.561792805345657,-0.9471562872635841,119.90765787294578,280.98308678630843,120.23550480328426
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-119,4147,29.534137730957482,29.450822180286785,-0.2828971977782757,112.720464769303,199.20259613742255,112.83230743251156
fold0_seed17_easy,original_neural,ADE_vs_floor,endpoint,eu-locality-124,2645,42.121364050263516,41.984728801518806,-0.32544035092056944,191.9345987973279,364.7576432518465,191.9345987973279
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-007,1240,1.7084676150160945,1.7146937852152875,0.363106827170967,4.219552457418147,4.669418982401766,4.116048716087485
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-008,36851,2.1924852166895334,2.169220428288233,-1.0724953581438879,4.415592537768701,4.722941269167245,4.194075698918369
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-020,204,1.5836099304926858,1.673869148287268,5.392250516531538,3.617585568430958,4.531827009883931,3.8940355081043756
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-048,1444,2.1693880075914556,2.115442677485201,-2.550072884526644,4.39267787838317,4.6913484320311385,4.171960456826428
fold0_seed17_easy,original_neural,ADE_vs_floor,easy_complete,eu-locality-067,683,2.124373804516014,2.1012970530274004,-1.0982146220291034,4.359827423644501,4.640437449715275,4.234382698866416
