trial,site,label,arm,seed,training_rows,training_positive_rate,rows,positives,positive_rate,brier,reference_brier,brier_lift,auroc,auprc,ece
gates_nonzero_geometry_past_box_seed43,gates,nonzero,geometry_past_box,43,13768,0.468041836141778,1662,420,0.2527075812274368,0.24052526769070842,0.23521530095712967,-0.005309966733578753,0.551959205582394,0.28681224844039827,0.2290176996143487
gates_half_box_excursion_geometry_seed17,gates,half_box_excursion,geometry,17,13768,0.01416327716443928,1662,12,0.007220216606498195,0.007353232541770742,0.007216291168564678,-0.00013694137320606394,0.3563636363636363,0.005779369110741729,0.006433554984175405
gates_half_box_excursion_geometry_past_box_seed17,gates,half_box_excursion,geometry_past_box,17,13768,0.01416327716443928,1662,12,0.007220216606498195,0.0075307012929483955,0.007216291168564678,-0.0003144101243837171,0.49207070707070705,0.007160229630331246,0.01269108433551091
gates_half_box_excursion_geometry_seed29,gates,half_box_excursion,geometry,29,13768,0.01416327716443928,1662,12,0.007220216606498195,0.007350757834001188,0.007216291168564678,-0.00013446666543650947,0.3617171717171717,0.005669455091694413,0.0062747498003470365
gates_half_box_excursion_geometry_past_box_seed29,gates,half_box_excursion,geometry_past_box,29,13768,0.01416327716443928,1662,12,0.007220216606498195,0.0074968340569811194,0.007216291168564678,-0.00028054288841644105,0.513939393939394,0.00738268579731045,0.01241974022513828
gates_half_box_excursion_geometry_seed43,gates,half_box_excursion,geometry,43,13768,0.01416327716443928,1662,12,0.007220216606498195,0.007335592990275982,0.007216291168564678,-0.00011930182171130364,0.3808080808080808,0.0062748384289546075,0.0063508992909547726
gates_half_box_excursion_geometry_past_box_seed43,gates,half_box_excursion,geometry_past_box,43,13768,0.01416327716443928,1662,12,0.007220216606498195,0.007550551052729007,0.007216291168564678,-0.0003342598841643285,0.47237373737373733,0.0068136395605979195,0.012728777364814215
hyang_nonzero_geometry_seed17,hyang,nonzero,geometry,17,8966,0.4408877983493196,6464,2911,0.4503403465346535,0.2576563262298759,0.2476232694848978,-0.010033056744978092,0.4907194707652669,0.45619698882722426,0.08448009593905134
hyang_nonzero_geometry_past_box_seed17,hyang,nonzero,geometry_past_box,17,8966,0.4408877983493196,6464,2911,0.4503403465346535,0.2875073506033575,0.2476232694848978,-0.03988408111845973,0.42690487656948817,0.4120962101746152,0.19574928989172743
hyang_nonzero_geometry_seed29,hyang,nonzero,geometry,29,8966,0.4408877983493196,6464,2911,0.4503403465346535,0.2575649951400576,0.2476232694848978,-0.0099417256551598,0.4914461127145373,0.4542685247910992,0.08285715652259776
hyang_nonzero_geometry_past_box_seed29,hyang,nonzero,geometry_past_box,29,8966,0.4408877983493196,6464,2911,0.4503403465346535,0.2869834865973228,0.2476232694848978,-0.03936021711242502,0.429443168245916,0.4202620456836852,0.19589576484251248
hyang_nonzero_geometry_seed43,hyang,nonzero,geometry,43,8966,0.4408877983493196,6464,2911,0.4503403465346535,0.25753174157760184,0.2476232694848978,-0.00990847209270404,0.4910036786037182,0.45140872645294644,0.07653733674037624
hyang_nonzero_geometry_past_box_seed43,hyang,nonzero,geometry_past_box,43,8966,0.4408877983493196,6464,2911,0.4503403465346535,0.286526084509896,0.2476232694848978,-0.03890281502499818,0.4333208963196849,0.41406541188459245,0.19666871299591587
hyang_half_box_excursion_geometry_seed17,hyang,half_box_excursion,geometry,17,8966,0.013718492081195627,6464,84,0.012995049504950494,0.013190055483806643,0.01282670156247551,-0.0003633539213311332,0.5161535303776683,0.013287413378681634,0.003705867760101672
hyang_half_box_excursion_geometry_past_box_seed17,hyang,half_box_excursion,geometry_past_box,17,8966,0.013718492081195627,6464,84,0.012995049504950494,0.013185902088257567,0.01282670156247551,-0.00035920052578205727,0.5460721749514853,0.01673264534831402,0.004927997484872409
hyang_half_box_excursion_geometry_seed29,hyang,half_box_excursion,geometry,29,8966,0.013718492081195627,6464,84,0.012995049504950494,0.013212264958114941,0.01282670156247551,-0.00038556339563943116,0.5431696895058964,0.013898585164920253,0.0037880716242925127
hyang_half_box_excursion_geometry_past_box_seed29,hyang,half_box_excursion,geometry_past_box,29,8966,0.013718492081195627,6464,84,0.012995049504950494,0.013225019094407951,0.01282670156247551,-0.00039831753193244127,0.5413531870428421,0.015680639138276928,0.005251485132556385
hyang_half_box_excursion_geometry_seed43,hyang,half_box_excursion,geometry,43,8966,0.013718492081195627,6464,84,0.012995049504950494,0.013196135113474993,0.01282670156247551,-0.00036943355099948276,0.5411143454246903,0.014117195615256074,0.0038383846713684906
hyang_half_box_excursion_geometry_past_box_seed43,hyang,half_box_excursion,geometry_past_box,43,8966,0.013718492081195627,6464,84,0.012995049504950494,0.013220241999059846,0.01282670156247551,-0.0003935404365843359,0.5555614643976713,0.01701849288249827,0.004895668535730657
