view,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-007,3935,29.1958415628472,30.3989429494991,3.957707965867696,100.75835439119008,177.79198148897547
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-008,121088,35.318427775124604,36.53765155314232,3.3368969438126284,135.57642204488806,279.27624632107927
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-020,622,14.337019222271955,14.784980358069301,3.0298392351455483,54.18434016797015,99.18086841907973
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-048,5582,57.93865350377026,59.3222642810702,2.332363395207504,214.0187379151913,354.61477747772864
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-067,4600,62.17183969810995,64.59716991132642,3.7545456194841953,203.09808019544076,394.0447029702928
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-110,7204,56.746396417664116,58.79692993015807,3.4874839807617186,247.1138091787453,584.7464834418972
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-119,4147,64.59421119187888,65.72973460040133,1.7275642681744752,270.12766901222096,484.5542592170748
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-124,2645,82.06360953932129,84.4124249059004,2.782546964143573,370.92724591771514,725.0889044622928
neural_fold0_seed17_easy_control_original,FDE,eu-locality-007,3935,30.144723502749105,30.3989429494991,0.8362772586281153,102.45327870121463,180.8682328668919
neural_fold0_seed17_easy_control_original,FDE,eu-locality-008,121088,36.34610020753508,36.53765155314232,0.5242574097260588,137.17730227634686,282.06393121697823
neural_fold0_seed17_easy_control_original,FDE,eu-locality-020,622,14.41058599119694,14.784980358069301,2.5322615100264567,54.18434016797015,99.18086841907973
neural_fold0_seed17_easy_control_original,FDE,eu-locality-048,5582,59.22678479454364,59.3222642810702,0.16095050936385524,216.2196458274127,355.1127410078038
neural_fold0_seed17_easy_control_original,FDE,eu-locality-067,4600,64.42605325062547,64.59716991132642,0.2648980767049669,207.16877909819794,394.0447029702928
neural_fold0_seed17_easy_control_original,FDE,eu-locality-110,7204,58.39280678525813,58.79692993015807,0.6873201464429823,251.63945099324982,584.7464834418972
neural_fold0_seed17_easy_control_original,FDE,eu-locality-119,4147,65.66609521547699,65.72973460040133,0.09681978074495001,270.5290560144782,484.5542592170748
neural_fold0_seed17_easy_control_original,FDE,eu-locality-124,2645,84.17314629800538,84.4124249059004,0.28346372961297606,381.9827743206876,749.8979417287693
