variant,mode,recording,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
expected_cost,hard_action,bookstore/video5,352,412.81815739601626,699.9861800854048,412.81815739601626,0.0,0.41281817700382656,0.41281817700382656,0.0,248,104,14,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2100.812654732827,3509.1046589706225,0,0,412.81815739601626,0.0,0.0,False
expected_cost,hard_action,bookstore/video6,532,358.492541093981,683.9841313846754,358.492541093981,0.0,0.35849255812146297,0.35849255812146297,0.0,430,102,22,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,1935.4166666666663,6693.6884990075205,0,0,358.492541093981,0.0,0.0,False
cost_supervised,proposal,bookstore/video0,2601,1078.7561914366152,2212.04415978553,1074.2519411608769,-0.41929179768305236,1.078756242674785,1.0742519921851061,4.50425027573831,1000,1601,221,9.7580075835642,0.00975800804704469,,zero_error_CV_denominator,-0.07005929841399361,-0.0024667837088543365,1.0,3992.8095462453693,12539.635048263406,665,1936,1073.0255923135214,0.1141584018019226,5.730599123093803,False
cost_supervised,proposal,bookstore/video1,1662,786.1699780742716,1517.3463353499883,776.3253572015786,-1.2681050259880644,0.7861700154153417,0.7763253940750544,9.844620872692962,891,771,147,16.615141839457657,0.016615142628634547,,zero_error_CV_denominator,-0.12072584376217055,-0.03143383676325051,1.0,3564.654112988162,7777.19696158432,368,1294,774.4903887775113,0.2363659008488228,11.679589296760382,False
cost_supervised,proposal,bookstore/video2,729,609.009928941328,1301.3271488215914,591.3380134598498,-2.988462618542287,0.6090099578677474,0.5913380415468983,17.671915481478223,388,341,33,26.19775489980204,0.026197756144128632,,zero_error_CV_denominator,-0.6305241166588926,0.12416959762178159,1.0,2188.7751074433645,6257.590770483835,127,602,589.4588305601385,0.3177848974593056,19.55109838118949,False
cost_supervised,proposal,bookstore/video3,856,495.5055051231936,1004.0691622006296,477.7487767400338,-3.716750151475967,0.49550552865844216,0.47774879943188303,17.756728383159786,618,238,48,21.678248237656813,0.02167824926731835,,zero_error_CV_denominator,-0.44078470943333947,-0.20944645695080144,1.0,2342.3177789605743,5009.228221913066,88,768,475.83386615381835,0.4008195686615923,19.67163896937521,False
cost_supervised,proposal,bookstore/video4,212,630.9965135800863,1974.0312429563746,536.9894501440408,-17.50631477226028,0.6309965435508124,0.5369894756496711,94.00706343604536,194,18,11,101.51408504814744,0.10151408986980777,,zero_error_CV_denominator,-0.20709882032428073,-0.3705825751088465,1.0,2197.379195341737,15097.776296576416,5,207,534.794406966878,0.40876839881565097,96.20210661320816,False
cost_supervised,proposal,bookstore/video5,352,441.27728277890094,798.6442988342134,412.81815739601626,-6.89386473753959,0.4412773037384472,0.41281817700382656,28.459125382884704,248,104,14,38.78120298921172,0.038781204831220016,,zero_error_CV_denominator,-0.2751829285312368,-1.0134133391634048,1.0,2121.509547882894,3537.0737598185992,48,304,410.154254432631,0.6452969462847125,31.12302834626994,False
cost_supervised,proposal,bookstore/video6,532,373.2063404383885,732.0295773934126,358.492541093981,-4.104352994209193,0.37320635816473846,0.35849255812146297,14.713799344407427,430,102,22,16.772317020788538,0.01677231781743085,,zero_error_CV_denominator,-0.3228037361098668,-0.13911870615073152,1.0,1932.7062805784499,6696.794495127443,50,482,357.91975269758547,0.15977693556681327,15.286587740802924,False
cost_supervised,hard_action,bookstore/video0,2601,1077.2932802706769,2207.548629263516,1074.2519411608769,-0.28311227499513425,1.0772933314393618,1.0742519921851061,3.0413391097997824,1000,1601,221,6.482842038485439,0.006482842346403913,,zero_error_CV_denominator,-0.051095738004502955,-0.0038429426454600346,0.6601307189542484,3992.8095462453693,12539.635048263406,628,1801,1073.3949129048021,0.07977907446445887,3.898367365874517,False
