family,seed,head,recording,subset,rows,target_benefit_mean,target_harm_mean,predicted_benefit_mean,predicted_harm_mean,benefit_mse,harm_mse,actual_net_gain_mean,predicted_net_gain_mean,positive_harm_fraction
transformer,29,ridge,ucy_zara02,ridge_benefit_clipped_to_zero,1054,0.009652442272673385,1.0517927435993766,0.0,1.0054143981361299,0.0055296680564279575,0.3244379818251292,-1.0421403013267032,-1.0054143981361299,0.9240986717267552
transformer,29,ridge,ucy_zara02,eligible_conservative,212,0.018781842393163627,0.04868762750499267,0.05051401182833427,0.003598960221938367,0.004532300402711291,0.01666510637909168,-0.02990578511182904,0.0469150516063959,0.7452830188679245
transformer,29,ridge,ucy_zara02,eligible_moderate,279,0.01750664102659631,0.05140158713638355,0.04462321177058216,0.005044874110956773,0.003988393493953631,0.015955800310186934,-0.033894946109787244,0.03957833765962538,0.7526881720430108
transformer,29,ridge,ucy_zara03,all,180,0.011829428945364068,0.08314551823787042,0.019940754083088704,0.15810929387807846,0.003574379783599889,0.037425380562871854,-0.07131608929250635,-0.13816853979498975,0.8222222222222222
transformer,29,ridge,ucy_zara03,ridge_harm_clipped_to_zero,33,0.0033620009736764723,0.03312565314682257,0.026966332401515858,0.0,0.0010879320029247087,0.002268969338334398,-0.029763652173146096,0.026966332401515858,0.8484848484848485
transformer,29,ridge,ucy_zara03,ridge_benefit_clipped_to_zero,45,0.006618216437184148,0.06582676612177035,0.0,0.19021466705534193,0.0013927106016426096,0.07679299536320336,-0.05920854968458621,-0.19021466705534193,0.8666666666666667
transformer,29,ridge,ucy_zara03,eligible_conservative,26,0.0024647510682161036,0.03962489588257785,0.039810772627018966,0.0017396349173325759,0.0016993711662251904,0.0024206416710617394,-0.037160144814361744,0.03807113770968639,0.9230769230769231
transformer,29,ridge,ucy_zara03,eligible_moderate,34,0.008933217449606779,0.04416655479272937,0.04156672625857241,0.007824583965189317,0.002904301459430435,0.004643036853551321,-0.03523333734312259,0.03374214229338309,0.8529411764705882
transformer,29,neural_cost,all_fit,all,11966,0.024723362560668954,0.5969500597919621,0.04541298242379075,0.6006210478182356,0.02941310787108762,1.8664381771341454,-0.5722266972312932,-0.5552080653944449,0.7718535851579476
transformer,29,neural_cost,all_fit,eligible_conservative,285,0.0445787830497322,0.05564362368550384,0.056218471469586355,0.014273152289209529,0.007927876047610109,0.013019519367039654,-0.011064840635771633,0.041945319180376826,0.6
transformer,29,neural_cost,all_fit,eligible_moderate,575,0.04956788598947004,0.05967497261996196,0.05902056067534115,0.02063745129853487,0.016777972951670026,0.016984036182038538,-0.010107086630491919,0.03838310937680628,0.5878260869565217
transformer,29,neural_cost,eth_eth,all,2614,0.049145041351871505,0.2063797307957479,0.06533211970133831,0.33812883607301014,0.09037282038373927,0.2855250613159286,-0.1572346894438764,-0.2727967163716718,0.6457536342769702
transformer,29,neural_cost,eth_eth,eligible_conservative,95,0.04512952704022418,0.019003789923705258,0.05266828931083805,0.013205079239253936,0.004300634110339854,0.0011289767145796767,0.02612573711651892,0.03946321007158411,0.5157894736842106
transformer,29,neural_cost,eth_eth,eligible_moderate,197,0.06721686921148917,0.019875190334972516,0.06601432697176177,0.01773901222755915,0.034498154011127644,0.0015203722021268262,0.04734167887651666,0.048275314744202616,0.5228426395939086
transformer,29,neural_cost,eth_hotel,all,1197,0.06122794523132751,3.1128424473138137,0.046356288142682875,2.8108464721753244,0.06041880223403119,17.155913708361567,-3.051614502082486,-2.764490184032642,0.5964912280701754
transformer,29,neural_cost,eth_hotel,eligible_conservative,69,0.07351733076780953,0.017104388155675606,0.059157991808825645,0.012281930249562298,0.012731257297960511,0.006654640635747468,0.05641294261213393,0.04687606155926335,0.4057971014492754
transformer,29,neural_cost,eth_hotel,eligible_moderate,141,0.07110563569276178,0.012858389573811503,0.06165774552983806,0.02394969976863804,0.008527370314285495,0.004341174418410638,0.05824724611895027,0.03770804576120002,0.3475177304964539
transformer,29,neural_cost,ucy_zara01,all,2234,0.008604896310820698,0.05363050657693372,0.0335543864673869,0.15555357259383254,0.0029502798047291267,0.03272166998893729,-0.04502561026611302,-0.12199918612644566,0.8200537153088631
transformer,29,neural_cost,ucy_zara01,eligible_conservative,34,0.05169564122608041,0.08132903171045815,0.05528857191915021,0.015327549101236989,0.010160978359104443,0.021352864755933818,-0.029633390484377742,0.03996102281791322,0.6176470588235294
transformer,29,neural_cost,ucy_zara01,eligible_moderate,72,0.035708461291505955,0.09463180142403063,0.043575801770202816,0.01687355322388208,0.007687757383670115,0.038655445488086075,-0.058923340132524676,0.026702248546320737,0.6666666666666666
transformer,29,neural_cost,ucy_zara02,all,5741,0.012668896062834795,0.4777527686396468,0.040997472112329035,0.44829969995103885,0.006239341683899093,0.16910260711607653,-0.46508387257681194,-0.40730222783870984,0.84549730012193
transformer,29,neural_cost,ucy_zara02,eligible_conservative,74,0.01863548966326021,0.12313551561139222,0.05664014650156369,0.016696317660987278,0.006907628787719356,0.03033057373556982,-0.10450002594813201,0.039943828840576415,0.8378378378378378
transformer,29,neural_cost,ucy_zara02,eligible_moderate,137,0.015370075385269783,0.13746787118470555,0.05575821281539915,0.02351038745964748,0.006622089833328144,0.0363072221241301,-0.12209779579943576,0.03224782535575167,0.8394160583941606
transformer,29,neural_cost,ucy_zara03,all,180,0.011829428945364068,0.08314551823787042,0.03787846173314999,0.09657886061532837,0.0055022463176393165,0.0438318343881786,-0.07131608929250635,-0.05870039888217838,0.8222222222222222
transformer,29,neural_cost,ucy_zara03,eligible_conservative,13,0.016021095431194857,0.07658882242125961,0.06659178177897747,0.016096039316975154,0.008906914232810492,0.013360013055441542,-0.06056772699006475,0.050495742462002315,0.8461538461538461
transformer,29,neural_cost,ucy_zara03,eligible_moderate,28,0.01990025127971811,0.10493127770522344,0.05221160614330854,0.019972232369972125,0.0067176447826307545,0.03917572791818762,-0.08503102642550532,0.03223937377333641,0.8214285714285714
transformer,43,ridge,all_fit,all,11966,0.01757357009220939,0.8736769648026534,0.02133570139573586,0.8944236829206933,0.014120463505124569,0.7802112104981238,-0.856103394710444,-0.8730879815249574,0.8001838542537189
transformer,43,ridge,all_fit,ridge_harm_clipped_to_zero,1266,0.01456945551955587,0.2819858752233481,0.024079499764023658,0.0,0.0047826368221264666,0.5084172642700355,-0.26741641970379226,0.024079499764023658,0.7432859399684044
transformer,43,ridge,all_fit,ridge_benefit_clipped_to_zero,1898,0.011332038588200494,1.9784444573855082,0.0,1.9467449408687958,0.0214047115650327,2.162937872118898,-1.9671124187973077,-1.9467449408687958,0.8535300316122234
transformer,43,ridge,all_fit,eligible_conservative,562,0.024824882796821057,0.33493893034740646,0.047087076643740365,0.0005860536548166512,0.008788355437292193,0.6545661278823809,-0.3101140475505854,0.04650102298892372,0.7135231316725978
transformer,43,ridge,all_fit,eligible_moderate,907,0.019447603158329912,0.29020728084176334,0.03570310331782472,0.0012330903107959617,0.005778707301294741,0.5315089900284549,-0.2707596776834334,0.03447001300702876,0.6957001102535832
transformer,43,ridge,eth_eth,all,2614,0.02086470418446635,0.12781773966639307,0.01913347172849422,0.26129217265713917,0.012555698952841034,0.22572683458317527,-0.10695303548192671,-0.24215870092864494,0.5619739862280031
transformer,43,ridge,eth_eth,ridge_harm_clipped_to_zero,495,0.016200006565148473,0.0165909923726253,0.021118101421179192,0.0,0.0016301433913288041,0.0008135839167790202,-0.00039098580747682867,0.021118101421179192,0.6080808080808081
transformer,43,ridge,eth_eth,ridge_benefit_clipped_to_zero,529,0.007098536692064129,0.18751427311040808,0.0,0.3743969048804732,0.000361318253765558,0.4892587218534002,-0.18041573641834396,-0.3743969048804732,0.6843100189035917
transformer,43,ridge,eth_eth,eligible_conservative,197,0.029527732399886184,0.014618374301365289,0.044142401583379294,0.0006307457304242904,0.0037369603522953198,0.0007807948026134752,0.014909358098520897,0.043511655852955,0.5736040609137056
transformer,43,ridge,eth_eth,eligible_moderate,334,0.024279763506407204,0.01307845549587534,0.03271892050582313,0.000950460127013886,0.0025157244581530415,0.0006281009580268782,0.011201308010531865,0.031768460378809246,0.5269461077844312
transformer,43,ridge,eth_hotel,all,1197,0.0450485917881892,3.5922233675353903,0.045631601068260474,3.7721620805082265,0.028117803699613003,2.0959681851884624,-3.547174775747201,-3.726530479439966,0.5856307435254804
transformer,43,ridge,eth_hotel,ridge_harm_clipped_to_zero,305,0.018951484312271876,0.19204470468074328,0.034717090946973346,0.0,0.010938417045107238,0.6402761558911566,-0.1730932203684714,0.034717090946973346,0.6950819672131148
transformer,43,ridge,eth_hotel,ridge_benefit_clipped_to_zero,277,0.002803835028159224,6.311316587783069,0.0,6.853788347450835,7.134047014402995e-05,3.9392541949600353,-6.30851275275491,-6.853788347450835,0.7978339350180506
