tag,pair,bank,weighting,bin,mean_target_minus_cap,normalized_mean_target_minus_cap,rows
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_prev,uniform_positive_envelope,2,-0.5930175118614203,-2.643446843309213,3227
fold0_seed17_controller1_full_eu-locality-124,full,oof,registered_risk_weights,0,-0.07781632771870572,-0.5703834056882253,3134
fold0_seed17_controller1_full_eu-locality-124,full,oof,registered_risk_weights,1,-0.24716664845551034,-1.1842865023140654,3201
fold0_seed17_controller1_full_eu-locality-124,full,oof,registered_risk_weights,2,-0.57284817745625,-2.84160931377031,3346
fold0_seed17_controller1_full_eu-locality-124,full,oof,uniform_positive_envelope,0,-0.08181124323944627,-0.5941686651707883,3227
fold0_seed17_controller1_full_eu-locality-124,full,oof,uniform_positive_envelope,1,-0.2569992028797773,-1.3307523148772837,3227
fold0_seed17_controller1_full_eu-locality-124,full,oof,uniform_positive_envelope,2,-0.6045946659791597,-3.453058993605543,3227
fold0_seed17_controller1_full_eu-locality-124,full,original_in_sample,registered_risk_weights,0,-0.2025648701317429,-1.4368719265944339,3299
fold0_seed17_controller1_full_eu-locality-124,full,original_in_sample,registered_risk_weights,1,-0.25621665291175766,-1.70262737298666,3279
fold0_seed17_controller1_full_eu-locality-124,full,original_in_sample,registered_risk_weights,2,-0.498400016664475,-2.0297253458780764,3103
fold0_seed17_controller1_full_eu-locality-124,full,original_in_sample,uniform_positive_envelope,0,-0.1954298700275135,-1.5045292332983462,3227
fold0_seed17_controller1_full_eu-locality-124,full,original_in_sample,uniform_positive_envelope,1,-0.2501675976005334,-1.981917390417222,3227
fold0_seed17_controller1_full_eu-locality-124,full,original_in_sample,uniform_positive_envelope,2,-0.4724648812797627,-2.031167789119604,3227
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_next,registered_risk_weights,0,-0.01893352825285951,-0.7121716979078231,1797
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_next,registered_risk_weights,1,-0.20051433305168567,-1.8273520087059862,1636
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_next,registered_risk_weights,2,-0.9505169643278113,-3.111246726557676,1510
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_next,uniform_positive_envelope,0,-0.014582179937670055,-0.6562675167354249,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_next,uniform_positive_envelope,1,-0.15505348830954999,-1.466995917770495,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_next,uniform_positive_envelope,2,-0.8956542102424512,-3.0115050159140884,1647
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_prev,registered_risk_weights,0,-0.02441240131156127,-0.598713451632334,1449
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_prev,registered_risk_weights,1,-0.20985591177746107,-1.7714575572903397,1736
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_prev,registered_risk_weights,2,-0.9159736129095424,-3.046836871011208,1758
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_prev,uniform_positive_envelope,0,-0.035535018654014684,-0.9628503396363768,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_prev,uniform_positive_envelope,1,-0.22503911273869565,-1.461570292759723,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,in_sample_prev,uniform_positive_envelope,2,-0.9050015244870133,-3.3036939211997773,1647
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,oof,registered_risk_weights,0,-0.0261965985566984,-0.24871296854712505,1678
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,oof,registered_risk_weights,1,-0.17356193457900665,-0.7605846409400042,1666
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,oof,registered_risk_weights,2,-0.7241359026853158,-3.4969192633798567,1599
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,oof,uniform_positive_envelope,0,-0.024194769031422918,-0.2385828010516548,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,oof,uniform_positive_envelope,1,-0.1618842579460906,-0.7313879600235852,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,oof,uniform_positive_envelope,2,-0.7236659426956717,-3.5820394933608437,1647
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,original_in_sample,registered_risk_weights,0,-0.03711545098460899,-0.9193333118343343,1633
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,original_in_sample,registered_risk_weights,1,-0.22842496586500233,-3.1839335674276756,1690
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,original_in_sample,registered_risk_weights,2,-0.8102029943966531,-2.5705915582588736,1620
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,original_in_sample,uniform_positive_envelope,0,-0.03839870312468044,-1.0473999371048355,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,original_in_sample,uniform_positive_envelope,1,-0.2160484794138698,-3.0977719180920165,1648
fold0_seed17_controller1_motion_only_eu-locality-007,motion_only,original_in_sample,uniform_positive_envelope,2,-0.7671977588575035,-2.503476113083959,1647
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_next,registered_risk_weights,0,-0.014191221370244065,-0.10869270448840994,1346
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_next,registered_risk_weights,1,-0.17863325772729832,-0.9948407661665902,1326
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_next,registered_risk_weights,2,-0.9708559796076441,-3.6535666485899503,1381
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_next,uniform_positive_envelope,0,-0.013172611908399976,-0.09638364203618055,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_next,uniform_positive_envelope,1,-0.17478021797590657,-0.9153819423591802,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_next,uniform_positive_envelope,2,-0.9702144806457222,-3.4714101166633617,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_prev,registered_risk_weights,0,3.6191669309932e-05,0.0002486571083997731,1322
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_prev,registered_risk_weights,1,-0.14197883274127937,-1.3058460496328814,1299
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_prev,registered_risk_weights,2,-0.8806497987707336,-2.987692710428312,1432
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_prev,uniform_positive_envelope,0,0.00027079688764718624,0.0017736175473850385,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_prev,uniform_positive_envelope,1,-0.15264929230384167,-1.260296156764415,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,in_sample_prev,uniform_positive_envelope,2,-0.8718791431560652,-2.8247910963786436,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,registered_risk_weights,0,-0.0027234524401500153,-0.019089149337683253,1382
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,registered_risk_weights,1,-0.12401514017898674,-0.598935876586912,1380
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,registered_risk_weights,2,-0.958198930157776,-4.025775900499359,1291
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,uniform_positive_envelope,0,-0.0008893543077542168,-0.0059558655663157585,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,uniform_positive_envelope,1,-0.11066030477777318,-0.506914971516077,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,uniform_positive_envelope,2,-0.8213403721681716,-3.2646632331000367,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,registered_risk_weights,0,-0.007656408249216954,-0.053740304409779394,1359
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,registered_risk_weights,1,-0.18886103542472385,-4.2106243364023985,1311
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,registered_risk_weights,2,-0.8038269292681988,-2.5731725818816424,1383
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,uniform_positive_envelope,0,-0.005550521879538629,-0.03719808077887959,1351
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,uniform_positive_envelope,1,-0.1849174214572194,-3.914209850576329,1351
