tag,pair,bank,weighting,rows,mse,floor,floor_share_percent,distance,cross,above_cap_fraction,mean_target_minus_cap,envelope_floor,identity_error
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,registered_risk_weights,4053,0.03998949790230178,0.03388697170028064,84.73967786009666,0.0008125298771009797,0.005289996324920173,0.011492714237341837,-0.36155741042141154,0.0,1.3322676295501878e-15
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,oof,uniform_positive_envelope,4053,0.044421886405251285,0.03763610346870446,84.72423508843909,0.0008763162121540953,0.005909466724392728,0.012089810017271156,-0.310963343751233,0.0,1.3322676295501878e-15
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,registered_risk_weights,4053,0.03926299196081061,0.027217455655069014,69.3208904768018,0.00225642028325616,0.009789116022485425,0.009728532112451775,-0.33330841089653473,0.0,1.7763568394002505e-15
fold0_seed17_controller1_motion_only_eu-locality-110,motion_only,original_in_sample,uniform_positive_envelope,4053,0.043623067516281366,0.030202627270851306,69.23545039463085,0.002501707668734126,0.010918732576695941,0.01011596348383913,-0.3259349204886093,0.0,1.7763568394002505e-15
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,registered_risk_weights,4344,0.016926145632745228,0.015585812279152605,92.0812842883756,0.00010228693997223318,0.0012380464136203897,0.006409192761011062,-0.21851664833819245,0.0,2.6645352591003757e-15
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_next,uniform_positive_envelope,4344,0.015811020425256943,0.014459219029931329,91.45025837063488,0.00011176506217153486,0.0012400363331540782,0.005294659300184162,-0.21287979992569567,0.0,2.6645352591003757e-15
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,registered_risk_weights,4344,0.0167661874978303,0.0149385933198144,89.0995243954393,0.0006652245280851396,0.0011623696499307563,0.006270013829516159,-0.23228732343586164,0.0,1.0408340855860843e-15
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,in_sample_prev,uniform_positive_envelope,4344,0.015622341464492522,0.013686252801912668,87.60692392379002,0.0007289283723834809,0.0012071602901963757,0.005294659300184162,-0.21094997331737445,0.0,1.0408340855860843e-15
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,registered_risk_weights,4344,0.01701738919590538,0.01613319953953313,94.8041991271787,0.0005300131826693307,0.0003541764737029129,0.0065200569503698555,-0.19459797221315978,0.0,6.002143226879753e-16
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,oof,uniform_positive_envelope,4344,0.01588926806323158,0.014984087895345461,94.3031978296046,0.0004934814591484177,0.0004116987087377034,0.0055248618784530384,-0.18967532189553804,0.0,6.002143226879753e-16
fold0_seed17_controller1_motion_only_eu-locality-119,motion_only,original_in_sample,registered_risk_weights,4344,0.016901321163118866,0.014683215633137963,86.87614116924107,0.0006470087784319263,0.001571096751548975,0.005769927587808768,-0.2065249719654486,0.0,3.2612801348363973e-15
