trial,schedule,modality,seed,fold,gain_vs_CV,ADE,FDE,easy_degradation,easy_absolute_harm,train_gain,fit_seconds,sampled_auxiliary_rows
sdd_aux_mask_only_seed17_fold1,sdd_aux,mask_only,17,1,-0.496559706670463,5.303176123043131,9.901509590604602,1688.1388034469178,0.03033470952159604,0.5788465380707652,283.71360179106705,98207
no_aux_mask_only_seed29_fold1,no_aux,mask_only,29,1,-0.8898187090643939,5.323928293642349,9.935808956684928,9581.623264707547,0.17217527248754436,0.6954017432364012,283.49407641601283,0
sdd_aux_mask_only_seed29_fold1,sdd_aux,mask_only,29,1,-0.35894340903859234,5.295914148445463,9.883010924377578,2847.823402614158,0.051173455352553375,0.5720272246350522,282.94063591689337,97892
no_aux_mask_only_seed43_fold1,no_aux,mask_only,43,1,-0.7490953674961887,5.316502361181201,9.923687851370104,7435.48976112759,0.13361070878417214,0.7065128361654627,282.4865082500037,0
sdd_aux_mask_only_seed43_fold1,sdd_aux,mask_only,43,1,-0.3264487321977816,5.2941994131863535,9.880585529007455,1707.8931021762035,0.030689680873793004,0.5777559972803825,283.285965875024,98096
no_aux_past_rgb_seed17_fold1,no_aux,past_rgb,17,1,-1.2660210601365351,5.34378038939032,9.988345447718745,7240.280299494604,0.1301029271358784,1.1230026474697063,296.1589881249238,0
sdd_aux_past_rgb_seed17_fold1,sdd_aux,past_rgb,17,1,-0.5382692087310348,5.305377122122874,9.908445023296098,1370.545741400522,0.024627777565775635,0.837619042479476,297.74608458403964,98207
no_aux_past_rgb_seed29_fold1,no_aux,past_rgb,29,1,-1.4800237162878815,5.355073251351785,10.014733194992163,8728.695791431446,0.15684874418786304,1.0253742898339246,296.72900583304,0
sdd_aux_past_rgb_seed29_fold1,sdd_aux,past_rgb,29,1,-0.9037201592325461,5.3246618693868575,9.94411525324183,2781.0244946185994,0.04997312427416833,0.7569972506109801,297.00053116702475,97892
no_aux_past_rgb_seed43_fold1,no_aux,past_rgb,43,1,-1.7967010883912726,5.371784230148956,10.045004318723304,9951.62344573203,0.17882392483259937,0.9805129972717208,292.6882896249881,0
sdd_aux_past_rgb_seed43_fold1,sdd_aux,past_rgb,43,1,-0.9171101530202952,5.3253684557172765,9.94935808062431,2360.9486912264833,0.042424646952912544,0.7597607688537122,294.59063204191625,98096
no_aux_geometry_seed17_fold2,no_aux,geometry,17,2,-13.198145741977928,1.2213288932838058,3.2332877527858206,13248.55306604766,0.3466726260183328,1.493929600663313,10.538172041997313,0
sdd_aux_geometry_seed17_fold2,sdd_aux,geometry,17,2,-8.031449143564263,1.1655838473105509,3.131165519531251,7255.272904919146,0.18984748733608844,1.2873261170901817,11.122225792030804,98207
no_aux_geometry_seed29_fold2,no_aux,geometry,29,2,-13.746639024431317,1.2272467525317774,3.2285197611350385,13893.661791116461,0.363553075881199,1.505742119654252,10.653983875061385,0
sdd_aux_geometry_seed29_fold2,sdd_aux,geometry,29,2,-5.700637603993908,1.140436019495727,3.0853201036441424,4567.211857779075,0.11950945287572316,1.3466676522256082,11.027191708912142,97892
no_aux_geometry_seed43_fold2,no_aux,geometry,43,2,-11.716117091418777,1.2053388397388645,3.189721359446182,11573.320515359555,0.30283710189406043,1.5329528767080158,10.85889437503647,0
sdd_aux_geometry_seed43_fold2,sdd_aux,geometry,43,2,-7.943845197314436,1.164638661945373,3.126768630027343,7046.570930453201,0.1843864184040602,1.313478581982741,10.85846387501806,98096
no_aux_mask_only_seed17_fold2,no_aux,mask_only,17,2,-14.373724482520856,1.2340125664371446,3.2526289950370915,14411.17496277357,0.37709475468363507,1.495777163681855,287.2167940000072,0
sdd_aux_mask_only_seed17_fold2,sdd_aux,mask_only,17,2,-7.967206346956068,1.1648907124259762,3.1273133001651567,7192.823754646969,0.18821339108349835,1.29323271623768,286.9273122079903,98207
no_aux_mask_only_seed29_fold2,no_aux,mask_only,29,2,-13.067863654954092,1.2199232406018068,3.2177302066960967,13082.430927634721,0.34232573638621283,1.5021424572548847,287.6981849159347,0
sdd_aux_mask_only_seed29_fold2,sdd_aux,mask_only,29,2,-6.384901986910463,1.1478187540451597,3.099461613306179,5321.236057941822,0.13923987537911986,1.3607174487523577,292.05308958294336,97892
no_aux_mask_only_seed43_fold2,no_aux,mask_only,43,2,-11.172792286679156,1.1994767447538561,3.1818770191108388,10947.535661389446,0.28646229646687166,1.5584823949921889,293.6079565420514,0
sdd_aux_mask_only_seed43_fold2,sdd_aux,mask_only,43,2,-7.6167471001348686,1.161109502042576,3.116322146571259,6636.07071861941,0.17364492944990406,1.3324580430492339,299.394649917027,98096
no_aux_past_rgb_seed17_fold2,no_aux,past_rgb,17,2,-10.19262378403849,1.1889014115210095,3.187353179018095,8481.099812981558,0.22192349074139503,1.7780368290945647,310.58908087504096,0
sdd_aux_past_rgb_seed17_fold2,sdd_aux,past_rgb,17,2,-7.338691431423672,1.1581094756736598,3.1223298530977246,5281.051325414814,0.13818836834423595,1.4980991564817026,309.6961640409427,98207
no_aux_past_rgb_seed29_fold2,no_aux,past_rgb,29,2,-9.863885590788701,1.1853545561276617,3.1730232714737996,7505.206956622257,0.19638746899320741,1.711957469319314,304.99849775002804,0
sdd_aux_past_rgb_seed29_fold2,sdd_aux,past_rgb,29,2,-6.480120033630321,1.1488460902339175,3.109506849755522,4388.849233113487,0.11484226852977346,1.5312459859320282,296.4074865420116,97892
no_aux_past_rgb_seed43_fold2,no_aux,past_rgb,43,2,-9.22596211710649,1.178471807607311,3.1544496297034184,7540.60038792359,0.197313602866987,1.7808739261743534,296.684505000012,0
sdd_aux_past_rgb_seed43_fold2,sdd_aux,past_rgb,43,2,-6.570618553931573,1.1498225060304739,3.1059497602623103,4803.785850038084,0.1256998441384679,1.516289062709275,290.39306820800994,98096
