view_action,policy,count,predicted_easy_harm_sum,actual_easy_harm_sum,predicted_easy_denominator_sum,actual_easy_denominator_sum,predicted_positive_easy_harm_ratio_percent,observed_positive_easy_harm_ratio_percent
coupa_seed43__damped_velocity_005,strict_stop,3791,500.14841832858076,336.4028698065885,3357.9084141805915,2945.536807757726,14.8946414445502,11.420766120477488
coupa_seed43__damped_velocity_005,joint_easy_moment,1073,19.180448406063178,1.1818767123121292,1835.0624532520533,2327.086805343417,1.0452204704026313,0.05078782233642183
coupa_seed43__damped_velocity_005,product_easy_marginals,1591,30.067129606393287,4.0414119034902045,2183.5864442071397,2197.4663734329724,1.3769608107871663,0.1839123434310644
coupa_seed43__damped_velocity_005,matched_joint,1073,19.180448406063178,1.1818767123121292,1835.0624532520533,2327.086805343417,1.0452204704026313,0.05078782233642183
coupa_seed43__damped_velocity_005,matched_product,1069,20.840987677471084,4.026290122389547,1179.1616845572953,577.6296156239789,1.7674410515887504,0.6970366500409065
deathCircle_seed43__damped_velocity_005,net_stop,8831,2467.8901202588813,1194.6170501586898,1420.3116409683994,1121.7500718662739,173.756945241695,106.49583005340806
deathCircle_seed43__damped_velocity_005,strict_stop,4366,751.0170632464105,267.6541249152109,660.7142194141724,556.0526898576994,113.66745881635572,48.13466957307711
deathCircle_seed43__damped_velocity_005,joint_easy_moment,180,1.8096854742420452,2.1945110067687095,158.9193136779224,196.8974755206442,1.1387448336894328,1.1145450194147464
deathCircle_seed43__damped_velocity_005,product_easy_marginals,275,2.150457897139277,3.3956036195836585,145.6513082130839,197.77223283823037,1.4764425555266663,1.7169263707312865
deathCircle_seed43__damped_velocity_005,matched_joint,180,1.8096854742420452,2.1945110067687095,158.9193136779224,196.8974755206442,1.1387448336894328,1.1145450194147464
deathCircle_seed43__damped_velocity_005,matched_product,181,1.0879959124777088,3.2502071548287788,44.27419661929254,53.35068410679216,2.457404076313862,6.092156472300962
