model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,intervention_rate,false_intervention_rate,residual_mag
goal_only_residual,tgsim,scene_grounded,10,0.043,0.112039,0.042997,0.112008,-0.000276,-0.000956,0.000564,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,scene_grounded,25,0.262458,0.763173,0.257363,0.75285,-0.013712,-0.104016,0.002677,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,scene_grounded,50,0.99547,2.651419,0.982001,2.62938,-0.008382,-0.308906,0.239822,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,scene_grounded,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim_i90,all,1,0.006646,0.006646,0.006646,0.006646,0.0,0.0,0.0,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,all,10,0.107243,0.264995,0.11102,0.273352,0.030572,-0.012809,0.051676,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,all,25,0.494939,1.35707,0.593701,1.598133,0.15084,-0.373912,0.348292,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,all,50,1.821918,4.469146,1.863436,4.548539,0.017455,-0.540421,0.434246,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,all,100,4.899219,12.204016,4.693825,10.327657,-0.181683,-0.440036,0.073325,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,hard,1,0.005737,0.005737,0.005737,0.005737,0.0,,,1,0.344064,0.553862,0.6,0.0,3.013394
goal_only_residual,tgsim_i90,hard,10,0.080002,0.203483,0.089575,0.222759,0.086534,,,1,0.344064,0.553862,0.6,0.0,3.013394
goal_only_residual,tgsim_i90,hard,25,0.213088,0.710694,0.507399,1.470148,0.516583,,,1,0.344064,0.553862,0.6,0.0,3.013394
goal_only_residual,tgsim_i90,hard,50,0.753096,2.055042,1.74692,4.008431,0.48732,,,1,0.344064,0.553862,0.6,0.0,3.013394
goal_only_residual,tgsim_i90,hard,100,1.784578,4.29189,3.376514,6.388728,0.328209,,,1,0.344064,0.553862,0.6,0.0,3.013394
goal_only_residual,tgsim_i90,extreme,1,0.006827,0.006827,0.006827,0.006827,0.0,0.0,0.0,5,0.317196,0.508099,0.6,0.12,2.591026
goal_only_residual,tgsim_i90,extreme,10,0.112691,0.277298,0.115309,0.283471,0.021777,-0.022043,0.034548,5,0.317196,0.508099,0.6,0.12,2.591026
goal_only_residual,tgsim_i90,extreme,25,0.551309,1.486345,0.610961,1.62373,0.084611,-0.472715,0.27582,5,0.317196,0.508099,0.6,0.12,2.591026
goal_only_residual,tgsim_i90,extreme,50,2.035683,4.951967,1.886739,4.656561,-0.063439,-0.6507,0.394258,5,0.317196,0.508099,0.6,0.12,2.591026
goal_only_residual,tgsim_i90,extreme,100,5.522147,13.786442,4.957287,11.115443,-0.240296,-0.553834,-0.09005,5,0.317196,0.508099,0.6,0.12,2.591026
goal_only_residual,tgsim_i90,baseline_failure,1,0.005499,0.005499,0.005499,0.005499,0.0,0.0,0.0,5,0.316118,0.505545,0.6,0.0,2.634234
goal_only_residual,tgsim_i90,baseline_failure,10,0.087561,0.215419,0.090014,0.222019,0.029727,-0.021151,0.054347,5,0.316118,0.505545,0.6,0.0,2.634234
goal_only_residual,tgsim_i90,baseline_failure,25,0.477433,1.325204,0.522242,1.470105,0.098565,-0.46049,0.366108,5,0.316118,0.505545,0.6,0.0,2.634234
goal_only_residual,tgsim_i90,baseline_failure,50,2.011302,5.031913,1.803892,4.643147,-0.083729,-0.656777,0.355009,5,0.316118,0.505545,0.6,0.0,2.634234
goal_only_residual,tgsim_i90,baseline_failure,100,5.53553,13.5678,5.039774,11.775393,-0.152216,-0.255641,0.160968,5,0.316118,0.505545,0.6,0.0,2.634234
goal_only_residual,tgsim_i90,traffic,1,0.006646,0.006646,0.006646,0.006646,0.0,0.0,0.0,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,traffic,10,0.107243,0.264995,0.11102,0.273352,0.030572,-0.012809,0.051676,6,0.321674,0.515726,0.6,0.1,2.661421
goal_only_residual,tgsim_i90,traffic,25,0.494939,1.35707,0.593701,1.598133,0.15084,-0.373912,0.348292,6,0.321674,0.515726,0.6,0.1,2.661421
