baseline_FDE,count,false_intervention_rate,horizon,improvement,intervention_rate,latent_enabled,model,model_FDE,oracle_labels_used_as_inputs,physical_validity,residual_clip,smc_enabled,subset,threshold,trial_id
3.1065663971471946,105,0.20952380952380953,50,0.00714519837854076,0.6761904761904762,False,scene_goal_conditioned,3.0843693639634693,False,preserved_by_bounded_residual,0.25,False,hard,0.38,5
5.16106973024446,17,0.23529411764705882,100,0.009454020822469987,1.0,False,scene_goal_conditioned,5.112276869548509,False,preserved_by_bounded_residual,0.25,False,hard,0.38,5
7.0874100229705705,41,0.0,50,0.004606762990881519,0.9024390243902439,False,scene_goal_conditioned,7.054760004775547,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.38,5
7.999764244713486,8,0.0,100,0.006548306802836038,1.0,False,scene_goal_conditioned,7.947379334088744,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.38,5
7.0874100229705705,41,0.0,50,0.004606762990881519,0.9024390243902439,False,scene_goal_conditioned,7.054760004775547,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.38,5
7.999764244713486,8,0.0,100,0.006548306802836038,1.0,False,scene_goal_conditioned,7.947379334088744,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.38,5
3.1065663971471946,105,0.19047619047619047,50,0.00685390448739967,0.6571428571428571,False,interaction_conditioned,3.0852742877773824,False,preserved_by_bounded_residual,0.25,False,all,0.38,6
5.16106973024446,17,0.23529411764705882,100,0.00918760318584253,1.0,False,interaction_conditioned,5.1136518695485105,False,preserved_by_bounded_residual,0.25,False,all,0.38,6
0.3003835123796306,51,0.39215686274509803,50,0.03568274458693445,0.39215686274509803,False,interaction_conditioned,0.289665004229262,False,preserved_by_bounded_residual,0.25,False,easy,0.38,6
1.182493621672914,4,1.0,100,0.038415972642507235,1.0,False,interaction_conditioned,1.137066979052788,False,preserved_by_bounded_residual,0.25,False,easy,0.38,6
3.1065663971471946,105,0.19047619047619047,50,0.00685390448739967,0.6571428571428571,False,interaction_conditioned,3.0852742877773824,False,preserved_by_bounded_residual,0.25,False,hard,0.38,6
5.16106973024446,17,0.23529411764705882,100,0.00918760318584253,1.0,False,interaction_conditioned,5.1136518695485105,False,preserved_by_bounded_residual,0.25,False,hard,0.38,6
7.0874100229705705,41,0.0,50,0.004412757000605251,0.9024390243902439,False,interaction_conditioned,7.056135004775547,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.38,6
7.999764244713486,8,0.0,100,0.006376426737631853,1.0,False,interaction_conditioned,7.948754334088743,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.38,6
7.0874100229705705,41,0.0,50,0.004412757000605251,0.9024390243902439,False,interaction_conditioned,7.056135004775547,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.38,6
7.999764244713486,8,0.0,100,0.006376426737631853,1.0,False,interaction_conditioned,7.948754334088743,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.38,6
3.1065663971471946,105,0.20952380952380953,50,0.009176227786756534,0.7238095238095238,False,scene_goal_interaction_full,3.0780598362522884,False,preserved_by_bounded_residual,0.25,False,all,0.36,7
5.16106973024446,17,0.23529411764705882,100,0.0114760269479769,1.0,False,scene_goal_interaction_full,5.101841154939787,False,preserved_by_bounded_residual,0.25,False,all,0.36,7
0.3003835123796306,51,0.43137254901960786,50,0.04896442245038805,0.43137254901960786,False,scene_goal_interaction_full,0.285675407182343,False,preserved_by_bounded_residual,0.25,False,easy,0.36,7
1.182493621672914,4,1.0,100,0.048250862717596765,1.0,False,scene_goal_interaction_full,1.1254372842691405,False,preserved_by_bounded_residual,0.25,False,easy,0.36,7
3.1065663971471946,105,0.20952380952380953,50,0.009176227786756534,0.7238095238095238,False,scene_goal_interaction_full,3.0780598362522884,False,preserved_by_bounded_residual,0.25,False,hard,0.36,7
5.16106973024446,17,0.23529411764705882,100,0.0114760269479769,1.0,False,scene_goal_interaction_full,5.101841154939787,False,preserved_by_bounded_residual,0.25,False,hard,0.36,7
7.0874100229705705,41,0.0,50,0.0058721312203486855,1.0,False,scene_goal_interaction_full,7.045791821303273,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.36,7
7.999764244713486,8,0.0,100,0.00789362952398513,1.0,False,scene_goal_interaction_full,7.936617069486495,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.36,7
7.0874100229705705,41,0.0,50,0.0058721312203486855,1.0,False,scene_goal_interaction_full,7.045791821303273,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.36,7
7.999764244713486,8,0.0,100,0.00789362952398513,1.0,False,scene_goal_interaction_full,7.936617069486495,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.36,7
3.1065663971471946,105,0.14285714285714285,50,0.003032696847722567,0.580952380952381,False,conservative_fallback_model,3.0971451230273255,False,preserved_by_bounded_residual,0.25,False,all,0.45,8
5.16106973024446,17,0.23529411764705882,100,0.004045152135767914,1.0,False,conservative_fallback_model,5.140192418002314,False,preserved_by_bounded_residual,0.25,False,all,0.45,8
0.3003835123796306,51,0.29411764705882354,50,0.004596391556142914,0.29411764705882354,False,conservative_fallback_model,0.29900283213972434,False,preserved_by_bounded_residual,0.25,False,easy,0.45,8
