dataset,model,horizon,ADE,FDE,physical_validity_rate,collision_violation_rate,speed_violation_rate,acceleration_violation_rate
tgsim_i90,constant_turn_rate_velocity,1,0.010928,0.010928,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,10,0.224472,0.552877,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,25,1.162193,3.132374,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,50,3.835012,9.943989,1.0,0.0,0.0,0.0
tgsim_i90,constant_turn_rate_velocity,100,11.339391,27.995514,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,1,0.006646,0.006646,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,10,0.11102,0.273352,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,25,0.593701,1.598133,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,50,1.863436,4.548539,1.0,0.0,0.0,0.0
tgsim_i90,identity_hand_physics,100,4.693825,10.327657,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,1,0.006646,0.006646,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,10,0.11102,0.273352,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,25,0.593701,1.598133,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,50,1.863436,4.548539,1.0,0.0,0.0,0.0
tgsim_i90,type_specific_kinematic_baseline,100,4.693825,10.327657,1.0,0.0,0.0,0.0
trajnet,constant_position,1,0.41539,0.41539,1.0,0.0,0.0,0.0
trajnet,constant_position,10,2.327474,4.299039,1.0,0.0,0.0,0.0
trajnet,constant_velocity_causal_fd,1,0.059189,0.059189,1.0,0.0,0.0,0.0
trajnet,constant_velocity_causal_fd,10,0.82033,1.434586,1.0,0.0,0.0,0.0
trajnet,damped_velocity,1,0.059884,0.059884,1.0,0.0,0.0,0.0
trajnet,damped_velocity,10,0.829585,1.482754,1.0,0.0,0.0,0.0
trajnet,constant_acceleration_causal,1,0.101203,0.101203,1.0,0.0,0.0,0.0
trajnet,constant_acceleration_causal,10,2.466248,5.906145,1.0,0.0,0.0,0.0
trajnet,constant_turn_rate_velocity,1,0.114902,0.114902,1.0,0.0,0.0,0.0
trajnet,constant_turn_rate_velocity,10,1.650209,3.433186,1.0,0.0,0.0,0.0
trajnet,identity_hand_physics,1,0.059189,0.059189,1.0,0.0,0.0,0.0
trajnet,identity_hand_physics,10,0.82033,1.434586,1.0,0.0,0.0,0.0
trajnet,type_specific_kinematic_baseline,1,0.059189,0.059189,1.0,0.0,0.0,0.0
trajnet,type_specific_kinematic_baseline,10,0.82033,1.434586,1.0,0.0,0.0,0.0
