model,dataset,subset,horizon,FDE,ADE,baseline_FDE,baseline_ADE,improvement,episodes,alpha,residual_magnitude,physical_validity,trial_id,alpha_regularization,residual_clip,hard_failure_weight,t100_weight,interaction_mode,scene_goal_mode
alpha_only_no_residual,eth_ucy_ewap,hard,5,1.604352,1.604352,1.604352,1.604352,0.0,132,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,hard,10,2.674885,2.674885,2.674885,2.674885,0.0,104,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,hard,25,2.466785,2.466785,2.466785,2.466785,0.0,43,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,hard,50,2.821185,2.821185,2.821185,2.821185,0.0,21,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,verified_t50,50,2.821185,2.821185,2.821185,2.821185,0.0,21,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,all,1,0.60757,0.60757,0.60757,0.60757,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,all,5,2.937948,2.937948,2.937948,2.937948,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,all,10,5.566892,5.566892,5.566892,5.566892,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,all,25,5.813266,5.813266,5.813266,5.813266,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,all,50,4.312465,4.312465,4.312465,4.312465,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,all,100,5.923605,5.923605,5.923605,5.923605,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,easy,1,0.60757,0.60757,0.60757,0.60757,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,easy,5,2.937948,2.937948,2.937948,2.937948,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,easy,10,5.566892,5.566892,5.566892,5.566892,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,easy,25,5.813266,5.813266,5.813266,5.813266,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,easy,50,4.312465,4.312465,4.312465,4.312465,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,easy,100,5.923605,5.923605,5.923605,5.923605,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,ge5,1,0.60757,0.60757,0.60757,0.60757,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,ge5,5,2.937948,2.937948,2.937948,2.937948,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,ge5,10,5.566892,5.566892,5.566892,5.566892,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,ge5,25,5.813266,5.813266,5.813266,5.813266,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,ge5,50,4.312465,4.312465,4.312465,4.312465,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,ge5,100,5.923605,5.923605,5.923605,5.923605,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,verified_t100,100,5.923605,5.923605,5.923605,5.923605,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap_stage14,verified_t50,50,4.312465,4.312465,4.312465,4.312465,0.0,13,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,all,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,all,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,all,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,trajnet,baseline_failure,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,low,0.05,1,1,none,none
