trial,result_source,arm,modality,seed,fold,gain_vs_CV,ADE,FDE,easy_degradation,easy_absolute_harm,train_gain,fit_seconds
no_aux_past_rgb_seed43_fold0,cached_verified_parent_training_predictions,no_aux,past_rgb,43,0,-1.2524129757691016,8.030314148159734,15.805784999740075,876.9670394661,0.11654461017015322,2.17475560214182,288.99106787506025
sdd_aux_past_rgb_seed43_fold0,cached_verified_parent_training_predictions,sdd_aux,past_rgb,43,0,-0.7798624702950896,7.992836236292723,15.736758687379336,614.47238226714,0.08166036011484269,1.9757264014362175,291.32484716700856
no_aux_geometry_seed17_fold1,cached_verified_parent_training_predictions,no_aux,geometry,17,1,-0.7353941537864284,5.315779351860142,9.923427019733973,7348.238788736586,0.1320428679777446,0.7056701836649415,9.585257875034586
sdd_aux_geometry_seed17_fold1,cached_verified_parent_training_predictions,sdd_aux,geometry,17,1,-0.4358488567464347,5.2999724280045495,9.89530503448241,1950.3105911125228,0.03504575875958233,0.5689525302501219,9.843859707936645
no_aux_geometry_seed29_fold1,cached_verified_parent_training_predictions,no_aux,geometry,29,1,-0.9146838122026102,5.325240418372235,9.938703235084033,10074.806578724412,0.18103744219838358,0.6909593085155707,9.587877375073731
sdd_aux_geometry_seed29_fold1,cached_verified_parent_training_predictions,sdd_aux,geometry,29,1,-0.3528271747869738,5.295591396427476,9.880847479217877,3703.4538704035626,0.06654855463065908,0.5736737906117728,9.891907416982576
no_aux_geometry_seed43_fold1,cached_verified_parent_training_predictions,no_aux,geometry,43,1,-0.6620284784056851,5.311907865124022,9.91716595104971,6989.528183686937,0.12559708165716538,0.6809868719028778,9.482344374991953
sdd_aux_geometry_seed43_fold1,cached_verified_parent_training_predictions,sdd_aux,geometry,43,1,-0.30250768043660337,5.292936050396314,9.879475674279421,2510.004789955173,0.04510308396776273,0.5687008999296195,9.776413583080284
no_aux_mask_only_seed17_fold1,cached_verified_parent_training_predictions,no_aux,mask_only,17,1,-0.9285850125499095,5.325973980933765,9.94279960994699,8733.07221520823,0.15692738555535068,0.7371570439607344,281.8941210419871
sdd_aux_mask_only_seed17_fold1,cached_verified_parent_training_predictions,sdd_aux,mask_only,17,1,-0.496559706670463,5.303176123043131,9.901509590604602,1688.1388034469178,0.03033470952159604,0.5788465380707652,283.71360179106705
no_aux_mask_only_seed29_fold1,cached_verified_parent_training_predictions,no_aux,mask_only,29,1,-0.8898187090643939,5.323928293642349,9.935808956684928,9581.623264707547,0.17217527248754436,0.6954017432364012,283.49407641601283
sdd_aux_mask_only_seed29_fold1,cached_verified_parent_training_predictions,sdd_aux,mask_only,29,1,-0.35894340903859234,5.295914148445463,9.883010924377578,2847.823402614158,0.051173455352553375,0.5720272246350522,282.94063591689337
no_aux_mask_only_seed43_fold1,cached_verified_parent_training_predictions,no_aux,mask_only,43,1,-0.7490953674961887,5.316502361181201,9.923687851370104,7435.48976112759,0.13361070878417214,0.7065128361654627,282.4865082500037
sdd_aux_mask_only_seed43_fold1,cached_verified_parent_training_predictions,sdd_aux,mask_only,43,1,-0.3264487321977816,5.2941994131863535,9.880585529007455,1707.8931021762035,0.030689680873793004,0.5777559972803825,283.285965875024
no_aux_past_rgb_seed17_fold1,cached_verified_parent_training_predictions,no_aux,past_rgb,17,1,-1.2660210601365351,5.34378038939032,9.988345447718745,7240.280299494604,0.1301029271358784,1.1230026474697063,296.1589881249238
sdd_aux_past_rgb_seed17_fold1,cached_verified_parent_training_predictions,sdd_aux,past_rgb,17,1,-0.5382692087310348,5.305377122122874,9.908445023296098,1370.545741400522,0.024627777565775635,0.837619042479476,297.74608458403964
no_aux_past_rgb_seed29_fold1,cached_verified_parent_training_predictions,no_aux,past_rgb,29,1,-1.4800237162878815,5.355073251351785,10.014733194992163,8728.695791431446,0.15684874418786304,1.0253742898339246,296.72900583304
sdd_aux_past_rgb_seed29_fold1,cached_verified_parent_training_predictions,sdd_aux,past_rgb,29,1,-0.9037201592325461,5.3246618693868575,9.94411525324183,2781.0244946185994,0.04997312427416833,0.7569972506109801,297.00053116702475
no_aux_past_rgb_seed43_fold1,cached_verified_parent_training_predictions,no_aux,past_rgb,43,1,-1.7967010883912726,5.371784230148956,10.045004318723304,9951.62344573203,0.17882392483259937,0.9805129972717208,292.6882896249881
sdd_aux_past_rgb_seed43_fold1,cached_verified_parent_training_predictions,sdd_aux,past_rgb,43,1,-0.9171101530202952,5.3253684557172765,9.94935808062431,2360.9486912264833,0.042424646952912544,0.7597607688537122,294.59063204191625
no_aux_geometry_seed17_fold2,cached_verified_parent_training_predictions,no_aux,geometry,17,2,-13.198145741977928,1.2213288932838058,3.2332877527858206,13248.55306604766,0.3466726260183328,1.493929600663313,10.538172041997313
sdd_aux_geometry_seed17_fold2,cached_verified_parent_training_predictions,sdd_aux,geometry,17,2,-8.031449143564263,1.1655838473105509,3.131165519531251,7255.272904919146,0.18984748733608844,1.2873261170901817,11.122225792030804
no_aux_geometry_seed29_fold2,cached_verified_parent_training_predictions,no_aux,geometry,29,2,-13.746639024431317,1.2272467525317774,3.2285197611350385,13893.661791116461,0.363553075881199,1.505742119654252,10.653983875061385
sdd_aux_geometry_seed29_fold2,cached_verified_parent_training_predictions,sdd_aux,geometry,29,2,-5.700637603993908,1.140436019495727,3.0853201036441424,4567.211857779075,0.11950945287572316,1.3466676522256082,11.027191708912142
no_aux_geometry_seed43_fold2,cached_verified_parent_training_predictions,no_aux,geometry,43,2,-11.716117091418777,1.2053388397388645,3.189721359446182,11573.320515359555,0.30283710189406043,1.5329528767080158,10.85889437503647
sdd_aux_geometry_seed43_fold2,cached_verified_parent_training_predictions,sdd_aux,geometry,43,2,-7.943845197314436,1.164638661945373,3.126768630027343,7046.570930453201,0.1843864184040602,1.313478581982741,10.85846387501806
no_aux_mask_only_seed17_fold2,cached_verified_parent_training_predictions,no_aux,mask_only,17,2,-14.373724482520856,1.2340125664371446,3.2526289950370915,14411.17496277357,0.37709475468363507,1.495777163681855,287.2167940000072
sdd_aux_mask_only_seed17_fold2,cached_verified_parent_training_predictions,sdd_aux,mask_only,17,2,-7.967206346956068,1.1648907124259762,3.1273133001651567,7192.823754646969,0.18821339108349835,1.29323271623768,286.9273122079903
no_aux_mask_only_seed29_fold2,cached_verified_parent_training_predictions,no_aux,mask_only,29,2,-13.067863654954092,1.2199232406018068,3.2177302066960967,13082.430927634721,0.34232573638621283,1.5021424572548847,287.6981849159347
sdd_aux_mask_only_seed29_fold2,cached_verified_parent_training_predictions,sdd_aux,mask_only,29,2,-6.384901986910463,1.1478187540451597,3.099461613306179,5321.236057941822,0.13923987537911986,1.3607174487523577,292.05308958294336
no_aux_mask_only_seed43_fold2,cached_verified_parent_training_predictions,no_aux,mask_only,43,2,-11.172792286679156,1.1994767447538561,3.1818770191108388,10947.535661389446,0.28646229646687166,1.5584823949921889,293.6079565420514
sdd_aux_mask_only_seed43_fold2,cached_verified_parent_training_predictions,sdd_aux,mask_only,43,2,-7.6167471001348686,1.161109502042576,3.116322146571259,6636.07071861941,0.17364492944990406,1.3324580430492339,299.394649917027
no_aux_past_rgb_seed17_fold2,cached_verified_parent_training_predictions,no_aux,past_rgb,17,2,-10.19262378403849,1.1889014115210095,3.187353179018095,8481.099812981558,0.22192349074139503,1.7780368290945647,310.58908087504096
sdd_aux_past_rgb_seed17_fold2,cached_verified_parent_training_predictions,sdd_aux,past_rgb,17,2,-7.338691431423672,1.1581094756736598,3.1223298530977246,5281.051325414814,0.13818836834423595,1.4980991564817026,309.6961640409427
no_aux_past_rgb_seed29_fold2,cached_verified_parent_training_predictions,no_aux,past_rgb,29,2,-9.863885590788701,1.1853545561276617,3.1730232714737996,7505.206956622257,0.19638746899320741,1.711957469319314,304.99849775002804
sdd_aux_past_rgb_seed29_fold2,cached_verified_parent_training_predictions,sdd_aux,past_rgb,29,2,-6.480120033630321,1.1488460902339175,3.109506849755522,4388.849233113487,0.11484226852977346,1.5312459859320282,296.4074865420116
no_aux_past_rgb_seed43_fold2,cached_verified_parent_training_predictions,no_aux,past_rgb,43,2,-9.22596211710649,1.178471807607311,3.1544496297034184,7540.60038792359,0.197313602866987,1.7808739261743534,296.684505000012
sdd_aux_past_rgb_seed43_fold2,cached_verified_parent_training_predictions,sdd_aux,past_rgb,43,2,-6.570618553931573,1.1498225060304739,3.1059497602623103,4803.785850038084,0.1256998441384679,1.516289062709275,290.39306820800994
main4k_geometry_seed17_fold0,fresh_run_torch,main4k,geometry,17,0,-0.04759245704135662,7.934760008034224,15.599716930190887,264.71580436649145,0.03517942959926245,1.4657366848537356,4.9810938340378925
sdd_permuted_geometry_seed17_fold0,fresh_run_torch,sdd_permuted,geometry,17,0,0.004176806399791566,7.930654195279414,15.596659378262125,210.58252284480307,0.02798538249343596,1.4874167906174462,7.928772124927491
main4k_geometry_seed29_fold0,fresh_run_torch,main4k,geometry,29,0,-0.17263804613958378,7.94467735552046,15.618363089085125,257.9709102621607,0.034283066316890105,1.4832857059812965,5.110366833978333
sdd_permuted_geometry_seed29_fold0,fresh_run_torch,sdd_permuted,geometry,29,0,-0.15418784127012586,7.943214072455442,15.61911970736595,270.4562770124773,0.03594231020550068,1.5226562084225348,7.916044291923754
main4k_geometry_seed43_fold0,fresh_run_torch,main4k,geometry,43,0,-0.14271792328479638,7.9423043949280725,15.614220213308089,238.84477644897163,0.031741297118041585,1.4247290446764316,5.177249874919653
sdd_permuted_geometry_seed43_fold0,fresh_run_torch,sdd_permuted,geometry,43,0,-0.14694207732084408,7.942639411970362,15.613800302108713,243.7301632490831,0.03239054101721484,1.4832781211224333,7.979153958032839
main4k_mask_only_seed17_fold0,fresh_run_torch,main4k,mask_only,17,0,0.004225562108794989,7.930650328471223,15.592382049315216,238.5973225612418,0.031708411712339096,1.4692748148179446,172.28383954102173
sdd_permuted_mask_only_seed17_fold0,fresh_run_torch,sdd_permuted,mask_only,17,0,0.03957675861293586,7.927846630217537,15.588920236048333,195.12467093683688,0.02593110993402636,1.5592951415141498,261.2167536660563
main4k_mask_only_seed29_fold0,fresh_run_torch,main4k,mask_only,29,0,-0.15834755288437474,7.943543978578628,15.6173637277207,261.156944308749,0.034706474585659855,1.4862412484770937,176.7243203750113
sdd_permuted_mask_only_seed29_fold0,fresh_run_torch,sdd_permuted,mask_only,29,0,-0.07601828679655309,7.9370144564581935,15.611706472207512,258.0572258141111,0.03429453722959375,1.5592418214222192,266.4419095410267
main4k_mask_only_seed43_fold0,fresh_run_torch,main4k,mask_only,43,0,-0.1160875105796988,7.940192340769244,15.610220888444992,241.42201483564824,0.03208379943520238,1.4273745390776083,177.1146892090328
sdd_permuted_mask_only_seed43_fold0,fresh_run_torch,sdd_permuted,mask_only,43,0,-0.13847729035669776,7.941968070947253,15.622095965133058,266.69738788020084,0.035442772310826,1.464682991312316,266.1442963749869
main4k_past_rgb_seed17_fold0,fresh_run_torch,main4k,past_rgb,17,0,-0.8244506421341002,7.996372517716901,15.740984469705685,564.4169301665368,0.07500823650081592,1.9086938251649976,181.6068296249723
sdd_permuted_past_rgb_seed17_fold0,fresh_run_torch,sdd_permuted,past_rgb,17,0,-1.1945106815248074,8.02572192562384,15.804263426207037,712.7676927396897,0.0947233238581001,1.8058252033535394,274.22154770907946
main4k_past_rgb_seed29_fold0,fresh_run_torch,main4k,past_rgb,29,0,-0.7554095838027353,7.990896881421151,15.719666239758023,500.0067776029428,0.06644844373358237,1.887902491938187,181.31472475000191
sdd_permuted_past_rgb_seed29_fold0,fresh_run_torch,sdd_permuted,past_rgb,29,0,-0.9442229699915261,8.005871643621008,15.737949567984254,662.3054031492277,0.08801713354085146,1.8467041700899078,274.8929488749709
main4k_past_rgb_seed43_fold0,fresh_run_torch,main4k,past_rgb,43,0,-1.1589228206437596,8.02289945755284,15.795318120102666,752.1319994249804,0.09995464678221888,1.88548554154222,181.6867391669657
sdd_permuted_past_rgb_seed43_fold0,fresh_run_torch,sdd_permuted,past_rgb,43,0,-0.9415634519796434,8.005660717634255,15.758474218372395,714.2134167131893,0.09491545346995846,1.6523160233519074,274.7975190419238
main4k_geometry_seed17_fold1,fresh_run_torch,main4k,geometry,17,1,-0.6387617256045086,5.310680084906708,9.913406508160119,4629.86646130749,0.0831955606617028,0.5548944162667935,6.613103249925189
sdd_permuted_geometry_seed17_fold1,fresh_run_torch,sdd_permuted,geometry,17,1,-0.48417845233552637,5.302522767619283,9.895049792647502,3233.7718745842067,0.05810868767089716,0.5358100890547002,10.246484707924537
main4k_geometry_seed29_fold1,fresh_run_torch,main4k,geometry,29,1,-0.6246763761573515,5.309936804847262,9.910668895764376,5247.684509557121,0.09429733202824274,0.5757579908314381,6.9405629590619355
sdd_permuted_geometry_seed29_fold1,fresh_run_torch,sdd_permuted,geometry,29,1,-0.4123746106027948,5.298733698419988,9.88796568690143,5548.455684356079,0.09970198607764091,0.534960301491294,10.172416542074643
main4k_geometry_seed43_fold1,fresh_run_torch,main4k,geometry,43,1,-0.4191451783959188,5.299090979440997,9.892091789413378,3642.572370200238,0.065454555357533,0.5617773962461103,5.993512041051872
sdd_permuted_geometry_seed43_fold1,fresh_run_torch,sdd_permuted,geometry,43,1,-0.4601401564301,5.301254273282201,9.892844584582244,4242.476717015782,0.07623442965710776,0.5365152412693308,10.32189958402887
main4k_mask_only_seed17_fold1,fresh_run_torch,main4k,mask_only,17,1,-0.6217981499246683,5.309784921631773,9.91302243675732,4149.415744553018,0.07456218708932182,0.5578884912354254,178.101513584028
sdd_permuted_mask_only_seed17_fold1,fresh_run_torch,sdd_permuted,mask_only,17,1,-0.588479402370079,5.308026700385225,9.91308854676861,3731.0278138810545,0.06704403969625128,0.5751591155147007,275.6447360840393
main4k_mask_only_seed29_fold1,fresh_run_torch,main4k,mask_only,29,1,-0.615965917419703,5.309477156308715,9.90721843799127,5475.307733592714,0.09838756700619015,0.5860199089443463,185.8787369580241
sdd_permuted_mask_only_seed29_fold1,fresh_run_torch,sdd_permuted,mask_only,29,1,-0.5243059876560263,5.30464028674441,9.903848007912847,5462.767112684092,0.09816222055262445,0.6086867014772457,279.45454787509516
main4k_mask_only_seed43_fold1,fresh_run_torch,main4k,mask_only,43,1,-0.5151855987447274,5.30415900630209,9.9015530330157,4597.825599943317,0.08261980811083477,0.5643920374668876,185.48390858294442
sdd_permuted_mask_only_seed43_fold1,fresh_run_torch,sdd_permuted,mask_only,43,1,-0.5356261240769378,5.3052376472645335,9.903433501427223,4880.817862538994,0.08770498716434084,0.5512347633013559,273.5579417910194
main4k_past_rgb_seed17_fold1,fresh_run_torch,main4k,past_rgb,17,1,-1.0013171539282162,5.329812036252883,9.952703603522787,5650.251369221875,0.10153118550404516,0.7624452029505013,181.1469074159395
sdd_permuted_past_rgb_seed17_fold1,fresh_run_torch,sdd_permuted,past_rgb,17,1,-0.6011394451020724,5.308694767396962,9.910763162321576,2942.75585531949,0.05287932715119275,0.7580096003414027,271.67692741693463
main4k_past_rgb_seed29_fold1,fresh_run_torch,main4k,past_rgb,29,1,-0.8516694530631197,5.321915167778853,9.935479721827383,5789.805407466911,0.10403887693562948,0.7684193753745183,180.97801733296365
sdd_permuted_past_rgb_seed29_fold1,fresh_run_torch,sdd_permuted,past_rgb,29,1,-0.7051310495172824,5.314182376078706,9.921303747846261,6220.319760394956,0.11177492791335987,0.7704075489316509,272.4725689999759
main4k_past_rgb_seed43_fold1,fresh_run_torch,main4k,past_rgb,43,1,-0.9547842749561664,5.327356508885366,9.958738126165635,4326.018185537658,0.07773561319453029,0.7598137153931428,181.62936174997594
sdd_permuted_past_rgb_seed43_fold1,fresh_run_torch,sdd_permuted,past_rgb,43,1,-0.5386654061386276,5.3053980293523155,9.904864028608777,3454.3428562231798,0.06207219863530939,0.7090177828288358,273.3472537919879
main4k_geometry_seed17_fold2,fresh_run_torch,main4k,geometry,17,2,-11.6603147769472,1.2047367717586026,3.189039512028564,11392.47105298253,0.29810484489031874,1.261629980228396,6.483659541001543
sdd_permuted_geometry_seed17_fold2,fresh_run_torch,sdd_permuted,geometry,17,2,-9.533237743003497,1.1817870968962831,3.15303663070103,8846.654194036288,0.23148888981561672,1.267892070199883,9.635062500019558
main4k_geometry_seed29_fold2,fresh_run_torch,main4k,geometry,29,2,-10.001610894530888,1.1868405159169682,3.157108668252638,9765.366210606586,0.2555286702921149,1.2683287441491942,6.595939541934058
sdd_permuted_geometry_seed29_fold2,fresh_run_torch,sdd_permuted,geometry,29,2,-8.797089124192969,1.173844567696612,3.138400327515082,8290.654405641366,0.21694013828421593,1.2930260252881687,9.646703750011511
main4k_geometry_seed43_fold2,fresh_run_torch,main4k,geometry,43,2,-8.401149941705043,1.1695726605873038,3.128551921103319,7627.798470964876,0.19959530021770797,1.309280311427008,6.186472167028114
sdd_permuted_geometry_seed43_fold2,fresh_run_torch,sdd_permuted,geometry,43,2,-9.565753517765119,1.1821379193849695,3.150586858011525,8998.792551566963,0.23546986824098443,1.2896778658391561,10.127427625004202
main4k_mask_only_seed17_fold2,fresh_run_torch,main4k,mask_only,17,2,-10.419882357458832,1.1913533727271355,3.167415963936797,10027.55628391782,0.2623893531740578,1.2542572148466324,177.0382885420695
sdd_permuted_mask_only_seed17_fold2,fresh_run_torch,sdd_permuted,mask_only,17,2,-8.558677430104478,1.1712722721119238,3.132462913553692,7717.4395229555685,0.20194092231981497,1.2652135914202445,265.8529518339783
main4k_mask_only_seed29_fold2,fresh_run_torch,main4k,mask_only,29,2,-10.074436941458975,1.1876262580747916,3.1585122649771495,9844.437038778302,0.2575977031523133,1.2784198315055728,176.82966983306687
sdd_permuted_mask_only_seed29_fold2,fresh_run_torch,sdd_permuted,mask_only,29,2,-7.078030470044427,1.1552971260419862,3.1135460333128937,5837.720736697239,0.15275464178340242,1.4343338040142428,265.2309861249523
main4k_mask_only_seed43_fold2,fresh_run_torch,main4k,mask_only,43,2,-8.780553871040153,1.1736661638694035,3.1346498056458643,8056.002210298579,0.21080003435324998,1.3047829098557284,175.51654512493405
sdd_permuted_mask_only_seed43_fold2,fresh_run_torch,sdd_permuted,mask_only,43,2,-6.826363156856741,1.1525818115898234,3.1024621282759433,5078.402923205979,0.13288570220387128,1.4094006058901098,265.8458559999708
main4k_past_rgb_seed17_fold2,fresh_run_torch,main4k,past_rgb,17,2,-10.79539669118066,1.1954049099904938,3.188073130675414,8991.153591661638,0.2352699808814195,1.4436049777658666,181.09705304109957
sdd_permuted_past_rgb_seed17_fold2,fresh_run_torch,sdd_permuted,past_rgb,17,2,-7.011960795457783,1.1545842804205884,3.1136491797511026,5801.971589746369,0.15181919995895643,1.385979963710926,271.80115116701927
main4k_past_rgb_seed29_fold2,fresh_run_torch,main4k,past_rgb,29,2,-8.713939875786568,1.1729474454083633,3.153624994733456,6579.789000170483,0.1721722153328043,1.44772392557605,182.14893583394587
sdd_permuted_past_rgb_seed29_fold2,fresh_run_torch,sdd_permuted,past_rgb,29,2,-7.464184486833081,1.1594634580509626,3.1247174750073774,5318.944253519718,0.1391799061241099,1.4788260939125664,271.0464825419476
main4k_past_rgb_seed43_fold2,fresh_run_torch,main4k,past_rgb,43,2,-7.265662194471778,1.1573215412374622,3.122804540831765,4982.209417712182,0.13036862316971584,1.4882080494805883,180.97219520807266
sdd_permuted_past_rgb_seed43_fold2,fresh_run_torch,sdd_permuted,past_rgb,43,2,-6.787605683868092,1.152163645538768,3.110323963239815,4991.441499380948,0.13061019747445476,1.491750070318132,272.13370400003623
