policy,seed,subset,site,rows,model_error,reference_error,absolute_harm,gain_percent,model_p95,model_p99,reference_p95,status
damped_velocity_005__net_stop,29,all,hyang,89183,14.944721386525016,15.923360932222653,-0.9786395456976376,6.145935835174432,45.358309366039066,82.03738139262133,48.7622634939038,defined
damped_velocity_005__net_stop,29,complete,coupa,24834,11.473979722846414,11.91138462404965,-0.4374049012032355,3.672158317514951,44.59365745644498,75.977096809307,46.686806643226895,defined
damped_velocity_005__net_stop,29,complete,deathCircle,27394,25.35944477236912,27.410282071573928,-2.050837299204808,7.481999980334553,72.24817508420288,164.47261988035552,77.00976659652929,defined
damped_velocity_005__net_stop,29,complete,gates,15281,20.85347996175746,21.857657394899473,-1.0041774331420115,4.594167686864459,63.18465239260422,110.98092188292628,67.08977164913256,defined
damped_velocity_005__net_stop,29,complete,hyang,76409,15.820582301709903,16.87458958863734,-1.054007286927435,6.2461210175870585,47.20753789478839,83.82238371487932,51.00479833178511,defined
damped_velocity_005__net_stop,29,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,zero_CV,hyang,4554,0.001537226523335272,0.0,0.001537226523335272,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,positive_easy,coupa,11220,2.3653956758328327,2.2054217761071366,0.1599738997256961,-7.253664648585789,5.559186898554271,17.46993113891419,5.688593111585037,defined
damped_velocity_005__net_stop,29,positive_easy,deathCircle,4581,2.8728294679932382,2.6720498000786166,0.20077966791462165,-7.514069083170316,4.904708555789052,11.7874786257707,4.73875633966901,defined
damped_velocity_005__net_stop,29,positive_easy,gates,2923,3.0588887595606082,2.8291753670221667,0.22971339253844159,-8.119446931995068,5.160342172769983,15.096517886313741,5.050768113241588,defined
damped_velocity_005__net_stop,29,positive_easy,hyang,19679,2.9285221618386976,2.6604463533503466,0.268075808488351,-10.07634708178793,5.269352649972351,13.91685786093063,5.0852898573061935,defined
damped_velocity_005__net_stop,29,hard,coupa,4416,39.48333252116734,42.671640735975274,-3.1883082148079325,7.471726326473216,78.46237104995222,110.82818466616135,83.68020660994014,defined
damped_velocity_005__net_stop,29,hard,deathCircle,12715,51.41805863461497,56.32319009010599,-4.905131455491016,8.708902048416956,121.25252239578528,343.7203370852001,131.7154986698712,defined
damped_velocity_005__net_stop,29,hard,gates,6404,42.11631945174083,45.072436876713674,-2.9561174249728452,6.558592412162434,94.24808118339867,149.4250511337248,100.44817818608435,defined
damped_velocity_005__net_stop,29,hard,hyang,18309,39.84424162524506,44.16203406081268,-4.317792435567618,9.777159334694286,81.11714996953744,141.5140220559808,88.51562033239446,defined
damped_velocity_005__net_stop,43,all,coupa,27778,11.511924595285064,11.908205875359586,-0.3962812800745219,3.3278000416041342,43.21763861074275,74.11537871946176,45.2720158430477,defined
damped_velocity_005__net_stop,43,all,deathCircle,35760,23.013051404908488,24.81068191340851,-1.7976305085000206,7.2453893640405,69.99843085056625,168.286169186182,74.1003428865828,defined
damped_velocity_005__net_stop,43,all,gates,20236,18.898719901068922,19.761524366102755,-0.8628044650338325,4.366082540240745,60.10157410037889,108.33424013096776,63.51413075556157,defined
damped_velocity_005__net_stop,43,all,hyang,89183,14.9594410736234,15.923360932222653,-0.9639198585992528,6.053495004617126,45.264239053115666,81.62289903130376,48.7622634939038,defined
damped_velocity_005__net_stop,43,complete,coupa,24834,11.516031032132084,11.91138462404965,-0.3953535919175657,3.3191237156369513,44.51636740948053,75.48967415342393,46.686806643226895,defined
damped_velocity_005__net_stop,43,complete,deathCircle,27394,25.32596656865378,27.410282071573928,-2.0843155029201483,7.6041373725289185,72.17281885227499,164.17570476534675,77.00976659652929,defined
damped_velocity_005__net_stop,43,complete,gates,15281,20.880548648820035,21.857657394899473,-0.9771087460794377,4.470326935893176,63.13725153670317,110.84495473245427,67.08977164913256,defined
damped_velocity_005__net_stop,43,complete,hyang,76409,15.840965697677657,16.87458958863734,-1.0336238909596815,6.125327585185724,47.16641174648632,83.72798698134373,51.00479833178511,defined
damped_velocity_005__net_stop,43,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,43,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,43,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,43,zero_CV,hyang,4554,0.001537226523335272,0.0,0.001537226523335272,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,43,positive_easy,coupa,11220,2.417238066902503,2.2054217761071366,0.21181629079536624,-9.60434385341249,5.637658413324687,19.72297767627666,5.688593111585037,defined
damped_velocity_005__net_stop,43,positive_easy,deathCircle,4581,2.9381316506519,2.6720498000786166,0.2660818505732836,-9.957967496169239,4.961486765561289,13.28219431624391,4.73875633966901,defined
damped_velocity_005__net_stop,43,positive_easy,gates,2923,3.0915102486285786,2.8291753670221667,0.26233488160641194,-9.27248570959145,5.17151895650783,15.67642631438445,5.050768113241588,defined
