view,head,step,trees,loss,gradient_norm,fitting_fraction_MSE,nodes
transformer_seed29,bounded_fraction,2200,,0.10697557032108307,0.0693356841802597,,
transformer_seed29,bounded_fraction,2300,,0.08595827221870422,0.051192231476306915,,
transformer_seed29,bounded_fraction,2400,,0.10144352912902832,0.06476658582687378,,
transformer_seed29,bounded_fraction,2500,,0.08865021169185638,0.045784302055835724,,
transformer_seed29,bounded_fraction,2600,,0.08186633884906769,0.0627017617225647,,
transformer_seed29,bounded_fraction,2700,,0.09937924891710281,0.06455811858177185,,
transformer_seed29,bounded_fraction,2800,,0.08508362621068954,0.03847958520054817,,
transformer_seed29,bounded_fraction,2900,,0.09939706325531006,0.07170473039150238,,
transformer_seed29,bounded_fraction,3000,,0.08984415233135223,0.03906221315264702,,
transformer_seed29,matched_fraction_forest,,16,,,0.09033824022065347,26852
transformer_seed29,matched_fraction_forest,,32,,,0.09016666903800057,53594
transformer_seed29,matched_fraction_forest,,48,,,0.09009596487930456,80108
transformer_seed29,matched_fraction_forest,,64,,,0.09000145070313367,107376
transformer_seed29,matched_fraction_forest,,80,,,0.08999731864593914,134504
transformer_seed29,matched_fraction_forest,,96,,,0.0899101809267646,161918
transformer_seed29,matched_fraction_forest,,112,,,0.0898367384313129,189754
transformer_seed29,matched_fraction_forest,,128,,,0.08988187789520005,216286
transformer_seed43,bounded_fraction,1,,0.12392841279506683,0.02811286598443985,,
transformer_seed43,bounded_fraction,100,,0.10945391654968262,0.020128531381487846,,
transformer_seed43,bounded_fraction,200,,0.09497129917144775,0.023508481681346893,,
