view,action,policy,complete_selected,predicted_positive,observed_positive,predicted_net,observed_net,predicted_denominator,observed_denominator
deathCircle_seed29,damped_velocity_005,old_positive_population,1721,108.00379636095961,45.77123972698516,-1.4241250957115987,-53.506214131925375,451.02670765419913,497.11197553417344
gates_seed29,damped_velocity_005,old_positive_population,672,31.498697494819982,27.860560238129096,-36.67285192256059,-38.366138609785104,274.6899724362226,266.95669805287275
hyang_seed29,damped_velocity_005,old_positive_population,3913,175.43461679364734,111.19720625036825,-215.27346338941197,-311.6024492406019,1631.0214168389987,2027.6170715012038
coupa_seed29,damped_velocity_005,positive_point,746,18.80322522013617,1.1818767123121292,-265.82237019516697,-428.9480613048819,1442.4086294394947,2035.4656285150904
deathCircle_seed29,damped_velocity_005,positive_point,153,1.8091140860898525,2.7778884723744453,-32.252792733776324,-40.51320910936455,140.56697517067505,179.73527594718053
gates_seed29,damped_velocity_005,positive_point,93,1.2721680086798608,0.8107537144583905,-20.000313432581287,-21.523706264200925,97.98957406188002,103.60327811459089
hyang_seed29,damped_velocity_005,positive_point,705,9.28066014765432,4.207299945475627,-123.2013199398956,-166.9943020400811,649.5662471355688,855.9403274350284
coupa_seed29,damped_velocity_005,net_point,2933,126.27342298420605,39.949020062618956,-680.3868843058654,-622.95845115537,3447.393772053955,3022.834320006693
deathCircle_seed29,damped_velocity_005,net_point,1159,32.923179997938234,32.004292304895884,-73.85285001848118,-80.60367500478075,425.40744712941284,551.3951014595453
gates_seed29,damped_velocity_005,net_point,608,19.82066582235511,3.8301964006432163,-56.883237887982126,-74.68075922962915,305.3537876324703,297.06668416665923
hyang_seed29,damped_velocity_005,net_point,3564,93.601839272535,84.12688219231653,-345.3454312461622,-385.08442869158847,1787.269413875829,2188.973636893897
coupa_seed29,damped_velocity_005,positive_population,2869,149.37472906316958,32.60535398917411,-586.105819051975,-579.3426636970461,3169.5486257350076,2780.083886712154
deathCircle_seed29,damped_velocity_005,positive_population,1751,117.78618993008104,70.35232035587758,13.582714357331232,-21.38632119298493,433.61490983826155,474.6651685764892
gates_seed29,damped_velocity_005,positive_population,610,26.845726595855165,27.86056023812909,-35.97118923712203,-32.52118973700188,254.12871633467245,245.52637834858663
hyang_seed29,damped_velocity_005,positive_population,3890,161.58232024050733,169.45810555998216,-219.75832811151605,-241.42411916591914,1599.0562175268165,1977.7804074169478
coupa_seed29,damped_velocity_005,net_population,3583,346.74757842387544,115.087446133909,-486.9372369790762,-553.4089202715672,3613.698249602987,3071.3228242653595
deathCircle_seed29,damped_velocity_005,net_population,2381,190.96322587944496,97.72409273892637,53.08415851880641,-21.431856379132473,587.7975435014105,622.2880220734061
gates_seed29,damped_velocity_005,net_population,877,53.68449916250213,42.24288867492184,-31.720959428985395,-41.5527027386541,346.4980231293543,326.1063116594904
hyang_seed29,damped_velocity_005,net_population,5430,345.36259957456843,310.0651689002956,-131.26855299645024,-169.17015068098087,1975.9144698764458,2425.3253301822187
coupa_seed29,damped_velocity_005,net_matched_positive,2837,223.84186480647432,66.6342468240544,-463.4607634666167,-482.23292692202926,2939.288034322999,2483.9515989047954
deathCircle_seed29,damped_velocity_005,net_matched_positive,1734,139.1805727378997,76.23670969305824,42.28950766512464,-7.323208363278198,405.19228725839736,404.6583546377935
gates_seed29,damped_velocity_005,net_matched_positive,609,30.230077988707176,27.651708356809458,-29.443929183676016,-26.907607471063358,239.33044415558228,224.22052459208916
hyang_seed29,damped_velocity_005,net_matched_positive,3861,209.71021430204962,171.4413026712192,-149.24790554313753,-198.07495130439693,1503.1887632319394,1807.4259216575576
coupa_seed43,damped_velocity_005,old_net,6188,3560.18645590385,2858.762410694384,2674.4767589588605,2187.730053028857,4552.666125394816,3776.7941813205007
deathCircle_seed43,damped_velocity_005,old_net,8831,2865.4368200185263,1194.6170501586898,2666.9032157745205,1060.7977900271455,1495.2259943092747,1121.7500718662739
gates_seed43,damped_velocity_005,old_net,3651,1620.4931006603408,693.0942468637393,1511.9317926403842,597.258406482575,812.6158710558182,539.0355542213842
hyang_seed43,damped_velocity_005,old_net,22138,7679.536879859203,7255.648610220731,7033.80555359914,6721.697193194812,4581.32425815311,5979.116014560675
coupa_seed43,damped_velocity_005,old_strict,3791,693.9696575090775,336.4028698065885,-120.86948248091309,-288.38284448632686,3551.635940745473,2945.536807757726
deathCircle_seed43,damped_velocity_005,old_strict,4366,929.9250222263015,267.6541249152109,774.3711385761861,172.72550348094015,694.4413619829945,556.0526898576994
gates_seed43,damped_velocity_005,old_strict,1442,280.26268155618584,183.12358605672168,194.53548159465072,108.6981856498935,375.91579630489514,333.9778626894357
