trial,step,bce,gradient_norm
mask_only_main_only_seed17_fold1,1600,8.320857159560546e-05,0.0010206929873675108
mask_only_main_only_seed17_fold1,1700,4.774070475832559e-05,0.0006705174455419183
mask_only_main_only_seed17_fold1,1800,5.2611481805797666e-05,0.0010022771311923862
mask_only_main_only_seed17_fold1,1900,4.746642298414372e-05,0.0005694760475307703
mask_only_main_only_seed17_fold1,2000,4.782695759786293e-05,0.0005738955806009471
mask_only_main_only_seed29_fold0,1,0.7012706398963928,0.1682385951280594
mask_only_main_only_seed29_fold0,100,0.45147985219955444,0.2780889570713043
mask_only_main_only_seed29_fold0,200,0.30845221877098083,0.5306355357170105
mask_only_main_only_seed29_fold0,300,0.16022224724292755,0.6252056360244751
mask_only_main_only_seed29_fold0,400,0.08527248352766037,0.46728527545928955
mask_only_main_only_seed29_fold0,500,0.05599212646484375,0.6265262365341187
mask_only_main_only_seed29_fold0,600,0.03758389502763748,0.573442280292511
mask_only_main_only_seed29_fold0,700,0.057275041937828064,0.7143869996070862
mask_only_main_only_seed29_fold0,800,0.017558235675096512,0.4516621232032776
mask_only_main_only_seed29_fold0,900,0.020978985354304314,0.39269697666168213
mask_only_main_only_seed29_fold0,1000,0.04748857021331787,1.0645681619644165
mask_only_main_only_seed29_fold0,1100,0.05073180049657822,0.7482646703720093
mask_only_main_only_seed29_fold0,1200,0.009794360026717186,0.23315243422985077
mask_only_main_only_seed29_fold0,1300,0.012080107815563679,0.23883090913295746
mask_only_main_only_seed29_fold0,1400,0.005435347091406584,0.110664963722229
mask_only_main_only_seed29_fold0,1500,0.006768602877855301,0.12388458847999573
mask_only_main_only_seed29_fold0,1600,0.00223231571726501,0.05938411131501198
mask_only_main_only_seed29_fold0,1700,0.006738418247550726,0.17942672967910767
mask_only_main_only_seed29_fold0,1800,0.012516769580543041,0.3701452612876892
mask_only_main_only_seed29_fold0,1900,0.009290751069784164,0.23929885029792786
mask_only_main_only_seed29_fold0,2000,0.005731597077101469,0.18767358362674713
mask_only_main_only_seed29_fold1,1,0.7364331483840942,0.34265607595443726
mask_only_main_only_seed29_fold1,100,0.17192566394805908,0.2757708728313446
mask_only_main_only_seed29_fold1,200,0.00987876858562231,0.08211994916200638
mask_only_main_only_seed29_fold1,300,0.003016444854438305,0.03980002924799919
mask_only_main_only_seed29_fold1,400,0.0011293217539787292,0.011398193426430225
mask_only_main_only_seed29_fold1,500,0.0005817326018586755,0.007071106228977442
mask_only_main_only_seed29_fold1,600,0.0007090435829013586,0.007347136735916138
mask_only_main_only_seed29_fold1,700,0.00047784633352421224,0.004381009377539158
mask_only_main_only_seed29_fold1,800,0.0002618086291477084,0.0038550535682588816
mask_only_main_only_seed29_fold1,900,0.0003552038106136024,0.0033224718645215034
mask_only_main_only_seed29_fold1,1000,0.00019112011068500578,0.002401463920250535
mask_only_main_only_seed29_fold1,1100,0.00014066003495827317,0.001984621863812208
mask_only_main_only_seed29_fold1,1200,0.0001908254052978009,0.0047407266683876514
mask_only_main_only_seed29_fold1,1300,0.00012727554712910205,0.0017592832446098328
mask_only_main_only_seed29_fold1,1400,0.00010080660285893828,0.0015262792585417628
mask_only_main_only_seed29_fold1,1500,8.58950661495328e-05,0.001178506761789322
mask_only_main_only_seed29_fold1,1600,7.710773206781596e-05,0.0012240802170708776
mask_only_main_only_seed29_fold1,1700,5.586174302152358e-05,0.0008332366705872118
mask_only_main_only_seed29_fold1,1800,5.2242416131775826e-05,0.0006808920879848301
mask_only_main_only_seed29_fold1,1900,5.66578637517523e-05,0.0012842053547501564
