family,candidate,control,ade,fde,gain_percent,easy_degradation_percent,hard_gain_percent,positive_harm,p95_error,switch_rate,proximity
transformer,seed43_ridge_moderate,unary_geometry_exact_count,6.088238354043297,14.14523943464215,-0.2020778286091729,1953.6996633758797,-0.040388737402063134,0.013347713336059244,1.8496226500661568,0.03459960291197882,5.826679580785766e-06
transformer,seed43_ridge_moderate,joint_coupling_exact_count,6.088238354043297,14.14523943464215,-0.2020778286091729,1953.6996633758797,-0.040388737402063134,0.013347713336059244,1.8496226500661568,0.03459960291197882,5.826679580785766e-06
transformer,seed43_neural_cost_conservative,independent_coupling_reference,6.075628295412327,14.129079424541999,0.005462350156119661,146.95806486287918,0.020627099298274578,0.0014731578310818436,1.6831614528508043,0.034123097286565186,1.125924724606442e-05
transformer,seed43_neural_cost_conservative,unary_geometry_exact_count,6.075628295412327,14.129079424541999,0.005462350156119661,146.95806486287918,0.020627099298274578,0.0014731578310818436,1.6831614528508043,0.034123097286565186,1.125924724606442e-05
transformer,seed43_neural_cost_conservative,joint_coupling_exact_count,6.075628295412327,14.129079424541999,0.005462350156119661,146.95806486287918,0.020627099298274578,0.0014731578310818436,1.6831614528508043,0.034123097286565186,1.125924724606442e-05
transformer,seed43_neural_cost_moderate,independent_coupling_reference,6.07610452443411,14.129921399774307,-0.0023755718715748908,339.19269690142386,0.030140825332060667,0.0029199318585125013,1.684928861853963,0.05514228987425546,1.5111063278193821e-05
transformer,seed43_neural_cost_moderate,unary_geometry_exact_count,6.07610452443411,14.129921399774307,-0.0023755718715748908,339.19269690142386,0.030140825332060667,0.0029199318585125013,1.684928861853963,0.05514228987425546,1.5111063278193821e-05
transformer,seed43_neural_cost_moderate,joint_coupling_exact_count,6.07610452443411,14.129921399774307,-0.0023755718715748908,339.19269690142386,0.030140825332060667,0.0029199318585125013,1.684928861853963,0.05514228987425546,1.5111063278193821e-05
eqmotion,seed17_ridge_conservative,independent_coupling_reference,6.163585177919138,14.184101358428473,-1.4421587635370101,16349.811550466564,-0.10051991262133163,0.09034624651652669,2.3328124680997067,0.07912640635340834,4.88894222353357e-05
eqmotion,seed17_ridge_conservative,unary_geometry_exact_count,6.163585177919138,14.184101358428473,-1.4421587635370101,16349.811550466564,-0.10051991262133163,0.09034624651652669,2.3328124680997067,0.07912640635340834,4.88894222353357e-05
