view,locality,slice,rows,mean_cv,gain_pred,gain_actual,harm_pred,harm_actual,gain_mae,harm_mae,risk_mass_pred,risk_mass_actual,risk_harm_pred,risk_harm_actual,risk_mass_mae,risk_harm_mae
damping097_fold2_seed17_all_old,eu-locality-082,population,1368,13.688548886436024,1.0937221050262451,1.270129165930008,0.7440800666809082,0.5493385733695222,1.4614252831455472,0.8868115193858376,12.498953097732738,13.688548886436054,1.0059686935076033,0.5493385733695222,11.329289478777806,1.2339734264163695
damping097_fold2_seed17_all_old,eu-locality-082,selected,173,19.586793700131203,3.618756055831909,3.147218139958701,0.10249469429254532,0.3751722554860544,4.023815618893871,0.45202658727641176,20.57863032051249,19.586793700131206,0.12784051178107625,0.3751722554860544,15.531055682226222,0.44696799514937285
damping097_fold2_seed17_all_old,eu-locality-110,population,8550,30.697946977148565,1.8840099573135376,2.379943167912348,0.7918237447738647,0.26440351815398194,1.8595419761539722,0.8313048529321019,20.45230836804978,30.697946977148565,1.191613443297063,0.26440351815398194,22.682922409147725,1.2311651932517658
damping097_fold2_seed17_all_old,eu-locality-110,selected,616,93.86129051793935,8.266924858093262,10.24953462319144,0.11085740476846695,0.41493121657356086,5.40698985923827,0.5048018981922209,38.89680779120558,93.86129051793941,0.26617848915692555,0.41493121657356086,60.82612767446123,0.637726138145216
damping097_fold2_seed17_all_old,eu-locality-112,population,5004,24.679682084525158,1.5191491842269897,1.8116739259149108,0.7284829020500183,0.4293223724095752,1.560532558265854,0.8187993860917461,16.68765645558506,24.679682084525137,1.1206209917997787,0.4293223724095752,16.423446728319284,1.2481456546814427
damping097_fold2_seed17_all_old,eu-locality-112,selected,231,53.43800805969475,5.3982415199279785,5.188851711586305,0.16480709612369537,0.2395126965267056,3.627046138630516,0.38004552793373264,28.186403719006808,53.43800805969477,0.25030676835054727,0.2395126965267056,32.984804153461155,0.44725273036934116
damping097_fold2_seed17_all_old,eu-locality-119,population,5639,28.946880038043894,2.699147939682007,2.417453110440135,1.0482016801834106,1.2550304636548228,2.442101250429375,1.5757743333834875,21.47847681272016,28.9468800380438,1.312093357090835,1.2550304636548228,20.7901946902932,1.746382971213715
damping097_fold2_seed17_all_old,eu-locality-119,selected,326,61.310826088535045,9.311127662658691,9.788464416200178,0.29852333664894104,0.3728336172173373,4.844238721412904,0.6305511630931597,37.07494057760648,61.310826088534995,0.3109507597272125,0.3728336172173373,33.39390089241136,0.6212089167463303
damping097_fold2_seed17_all_old,eu-locality-124,population,3550,42.613481942133895,2.439028739929199,3.4453156411528867,1.133751392364502,0.9673445252204965,3.0043593423987316,1.5015806775143694,20.31788274290906,42.61348194213386,1.2602209523700403,0.9673445252204965,32.04639353423353,1.7485598436709462
damping097_fold2_seed17_all_old,eu-locality-124,selected,377,81.55552688622856,8.373085975646973,9.10898888332173,0.19139353930950165,0.590593493883081,7.096430263849244,0.7363069594207672,37.02561051052666,81.55552688622856,0.24770085676122292,0.590593493883081,55.108554298006446,0.7534999564751216
damping097_fold2_seed17_all_old,eu-locality-126,population,5790,19.860903597678185,1.8882336616516113,1.7888685362369685,0.8453665375709534,0.5669997723146128,1.7607727653582492,0.9963020042743649,20.107509803846607,19.860903597678202,1.2557418718974387,0.5669997723146128,16.87208794350182,1.4228409167110503
damping097_fold2_seed17_all_old,eu-locality-126,selected,314,64.61961113016956,8.742810249328613,10.206559729675954,0.06725092232227325,0.45952663384906833,4.930322737468838,0.5151185310974434,41.44150055247317,64.61961113016962,0.23051209112941567,0.45952663384906833,32.001971581606035,0.6494373587307247
damping097_fold2_seed17_all_utility_only,eu-locality-007,population,5526,13.731098649130566,0.9612500071525574,1.283424938486193,0.4940309226512909,0.39409710457999486,0.979789747091791,0.5546554836081073,15.191003630526291,13.731098649130544,0.9182991377505461,0.39409710457999486,10.60509604938189,0.9669513300188658
damping097_fold2_seed17_all_utility_only,eu-locality-007,selected,1065,20.09498775924182,3.2320404052734375,3.3501537494634546,0.08400336652994156,0.27094420679197917,2.112064975528128,0.3332865345490737,23.917084763664317,20.094987759241835,0.08932481306131539,0.27094420679197917,12.883853771544157,0.332000443440646
damping097_fold2_seed17_all_utility_only,eu-locality-074,population,102348,19.761464600296893,1.355870246887207,1.8363132085555802,0.7183418273925781,0.7370270630916215,1.4041867178901204,0.9001561032073144,19.708060368481053,19.761464600296776,1.12739042023012,0.7370270630916215,13.598906467297727,1.2498524920721332
damping097_fold2_seed17_all_utility_only,eu-locality-074,selected,13664,29.840442168943003,4.267091751098633,4.811393145697089,0.2104034423828125,0.3327757724211919,2.591350124615177,0.4913942337350601,31.349578449276844,29.840442168942992,0.20024851441807964,0.3327757724211919,18.46983295471156,0.4765132759354578
damping097_fold2_seed17_all_utility_only,eu-locality-082,population,1368,13.688548886436024,0.9298398494720459,1.270129165930008,0.60523921251297,0.5493385733695222,1.2781894517490804,0.7304644061775213,12.498953097732738,13.688548886436054,1.0059686935076033,0.5493385733695222,11.329289478777806,1.2339734264163695
damping097_fold2_seed17_all_utility_only,eu-locality-082,selected,173,19.586793700131203,3.3138539791107178,3.147218139958701,0.08558014035224915,0.3751722554860544,3.135803763965471,0.40601361572420214,20.57863032051249,19.586793700131206,0.12784051178107625,0.3751722554860544,15.531055682226222,0.44696799514937285
damping097_fold2_seed17_all_utility_only,eu-locality-110,population,8550,30.697946977148565,1.2848297357559204,2.379943167912348,0.6237218976020813,0.26440351815398194,1.6195956294604144,0.6652762778934759,20.45230836804978,30.697946977148565,1.191613443297063,0.26440351815398194,22.682922409147725,1.2311651932517658
