arm,schedule,mode,seed,requested_rate,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
past_rgb,cosine,fixed_probability_guard,43,0.015120967741935484,6944,774.5345566714835,1566.9886399660966,773.9476085867074,-0.07583821931409496,0.7745345934599009,0.7739476453472461,0.5869480847761949,3769,3175,496,0.6341587499963398,0.0006341587801172643,,zero_error_CV_denominator,-0.03136456134305021,0.0006692675767583367,0.015120967741935484,2995.9352076779546,9109.718933300863,12,93,773.9263146863369,0.0027513361543052284,0.6082419851466961,False
mask_only,constant,uncontrolled,17,1.0,6944,809.2518373681477,1626.8032341571302,773.9476085867074,-4.561578637849761,0.8092518758055474,0.7739476453472461,35.304228781440344,3769,3175,496,54.37022093221406,0.054370223514660976,,zero_error_CV_denominator,-0.7485860558442692,-0.12154601580216529,1.0,2985.238781104546,9112.273453403175,1044,5900,771.4036294569826,0.32870172366967765,37.84820791116517,False
mask_only,constant,fixed_probability_guard,17,0.0034562211981566822,6944,774.2654384516624,1566.042573159448,773.9476085867074,-0.041066069773809666,0.7742654752272973,0.7739476453472461,0.3178298649549808,3769,3175,496,0.3250599696017783,0.00032505998504129836,,zero_error_CV_denominator,-0.01826956036945493,-0.0012614245069819674,0.0034562211981566822,2995.9352076779546,9109.718933300863,1,23,773.9469198310696,8.89925403368963e-05,0.31851862059267,False
mask_only,cosine,uncontrolled,17,1.0,6944,787.0258790467094,1606.5141584070454,773.9476085867074,-1.6898134078977334,0.7870259164284327,0.7739476453472461,13.078270460001901,3769,3175,496,21.649640730806244,0.021649641759109,,zero_error_CV_denominator,-0.1715205245091056,-0.042463166840844835,1.0,2990.7587486742145,9114.705526805792,1360,5584,772.3374574731824,0.2080439419491431,14.68842157352681,False
mask_only,cosine,fixed_probability_guard,17,0.0034562211981566822,6944,774.1516351061382,1565.7262719872474,773.9476085867074,-0.026361799838547917,0.7741516718763678,0.7739476453472461,0.20402651943090683,3769,3175,496,0.23345700525707158,0.0002334570163456843,,zero_error_CV_denominator,-0.009989421466727322,-0.001222631720021461,0.0034562211981566822,2995.9352076779546,9109.718933300863,4,20,773.9272901066506,0.002625304326964173,0.2243449994875677,False
mask_only,constant,uncontrolled,29,1.0,6944,807.6267821294001,1639.0531267013698,773.9476085867074,-4.351608967975729,0.8076268204896139,0.7739476453472461,33.67917354269271,3769,3175,496,53.43736587840319,0.05343736841654187,,zero_error_CV_denominator,-0.6040376651057722,-0.08352874267067989,1.0,3006.925441146598,9128.996806455492,1122,5822,771.0253552233016,0.3775776720522428,36.60142690609844,False
mask_only,constant,fixed_probability_guard,29,0.002304147465437788,6944,774.1221985176618,1565.369723884127,773.9476085867074,-0.02255836558151536,0.7741222352864932,0.7739476453472461,0.17458993095436864,3769,3175,496,0.2669326745718602,0.000266932687250482,,zero_error_CV_denominator,-0.003838332986694226,0.0,0.002304147465437788,2995.9352076779546,9109.718933300863,1,15,773.9361839484569,0.001476151373003276,0.18601456920485865,False
mask_only,cosine,uncontrolled,29,1.0,6944,789.9843770939774,1617.43905518426,773.9476085867074,-2.072074172637417,0.7899844146162219,0.7739476453472461,16.036768507270043,3769,3175,496,26.2546417937502,0.026254643040778763,,zero_error_CV_denominator,-0.2308318034443424,-0.0901774324443716,1.0,2997.886199760015,9113.115817791408,1397,5547,771.8734538694764,0.2679967861155985,18.110923224500937,False
mask_only,cosine,fixed_probability_guard,29,0.002304147465437788,6944,774.0683852667905,1565.4240475428737,773.9476085867074,-0.015605278541230838,0.7740684220330659,0.7739476453472461,0.12077668008316152,3769,3175,496,0.16167277950055362,0.0001616727871795986,,zero_error_CV_denominator,-0.004267139788449725,0.0,0.002304147465437788,2995.9352076779546,9109.718933300863,2,14,773.9366250146486,0.0014191622193737707,0.13176025214185702,False
mask_only,constant,uncontrolled,43,1.0,6944,803.2255878254941,1619.826153197624,773.9476085867074,-3.7829407202705667,0.8032256259766624,0.7739476453472461,29.277979238786763,3769,3175,496,45.08654872575586,0.045086550867252016,,zero_error_CV_denominator,-0.6210136048028891,-0.1075520479018266,1.0,2988.0390403990837,9116.266885255092,999,5945,771.5286259901419,0.31255120756593646,31.69696183535223,False
mask_only,constant,fixed_probability_guard,43,0.002880184331797235,6944,774.1766186969052,1565.6166729605832,773.9476085867074,-0.029589872448343435,0.7741766554683214,0.7739476453472461,0.2290101101977617,3769,3175,496,0.04183977811535431,4.1839780102637134e-05,,zero_error_CV_denominator,-0.026655641892503468,-0.0005850170254673159,0.002880184331797235,2995.9352076779546,9109.718933300863,0,20,773.9476085867074,0.0,0.2290101101977617,False
mask_only,cosine,uncontrolled,43,1.0,6944,785.3218634762671,1603.0524686234312,773.9476085867074,-1.4696414541974123,0.7853219007770541,0.7739476453472461,11.374254889559772,3769,3175,496,19.387512598551695,0.01938751351940913,,zero_error_CV_denominator,-0.10999199067986964,-0.04147539548968737,1.0,2984.7459002950663,9114.165245395605,1356,5588,772.2900534881188,0.21416890241645614,13.031809988148321,False
mask_only,cosine,fixed_probability_guard,43,0.002880184331797235,6944,774.0560960704206,1565.3900701473005,773.9476085867074,-0.014017419591394464,0.7740561328361123,0.7739476453472461,0.10848748371315803,3769,3175,496,0.011745683418301458,1.174568397619148e-05,,zero_error_CV_denominator,-0.013193692871582563,-0.0008055169249399086,0.002880184331797235,2995.9352076779546,9109.718933300863,0,20,773.9476085867074,0.0,0.10848748371315803,False
