arm,schedule,mode,group_type,group,rows,ade,cv_ade,gain_percent,harm_over_cv,easy_pixel_harm,actual_changed_rate
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:296,19,1034.8657890840495,1015.9637801324463,-1.8605002777893231,18.902008951603204,0.03207994600134687,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:297,25,18.16147744326961,0.0,,18.16147744326961,0.018161478305893503,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:298,25,18.924773396255585,0.0,,18.924773396255585,0.01892477429513409,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:299,25,19.11091970701713,0.0,,19.11091970701713,0.019110920614737105,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:3,25,33.40018575859586,0.0,,33.40018575859586,0.033400187345019566,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:30,25,35.32431952155559,0.0,,35.32431952155559,0.035324321199370734,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:300,25,17.569700346002968,0.0,,17.569700346002968,0.017569701180518954,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:31,35,377.2983767492724,350.62533475751815,-7.607277440519367,26.673041991754232,0.03379924874100076,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:39,26,32.13640964102321,0.0,,32.13640964102321,0.03213641116742076,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:48,25,31.90347211518307,0.0,,31.90347211518307,0.03190347363051669,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:49,25,31.20873769500682,0.0,,31.20873769500682,0.03120873917734232,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:96,35,439.2543901939131,422.23368392172296,-4.031110477520672,17.020706272190118,0.024222163908051673,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video3:97,25,18.909852006902277,0.0,,18.909852006902277,0.01890985290507205,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:105,3,2181.992364286953,2166.6666666666665,-0.7073398901670691,15.325697620286368,,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:111,25,44.26335706584561,0.0,,44.26335706584561,0.044263359168242256,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:126,13,686.3487094377417,657.7557446190024,-4.347049045584761,28.59296481873937,0.029951820888611157,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:151,1,41.1047461978799,0.0,,41.1047461978799,0.04110474815025058,1.0
mask_only,parent_2k,uncontrolled,scoped_agent,bookstore/video4:158,25,39.12443433613369,0.0,,39.12443433613369,0.039124436194444605,1.0
