group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,complete,eu-locality-074,67309,28.20930630258391,39.15089035936343,27.94721641410308,99.3348653856924,194.0313636858972,133.4786508282937
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,complete,eu-locality-082,582,16.01397136198267,20.90230724079295,23.38658513865016,74.25172714711094,165.5398851728982,101.05798186988082
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,complete,eu-locality-112,2417,27.85548882005326,39.942087793322784,30.260308464121078,101.92551108644612,276.9094034150585,140.72627676400472
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,complete,eu-locality-126,3637,29.715561904796225,40.44418234744324,26.526980692750346,140.9917639449616,297.7482144409036,188.76481719652378
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-008,23736,37.18572302594052,48.919832623498564,23.986405856837667,140.2170336711077,278.055615936949,184.485442678963
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-020,258,13.71678399922127,15.099935342322638,9.159981892270896,48.58226719879105,77.80601098042474,50.52160752263893
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-048,866,48.63403276131523,65.71467922243025,25.992132447760497,167.61146649418748,273.82277300155266,242.34434814718622
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-067,1183,45.23411488187826,64.74577135595837,30.135800478473264,158.2785605698462,323.8731878074676,231.95019440080293
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-074,13980,37.94235230651887,50.10802785699767,24.278895160668046,132.66592670850403,251.44288174070783,170.25668098494387
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-082,277,26.542208682591973,35.07152670281302,24.319779667695286,103.08358276227756,288.800169579015,146.71054103169644
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-112,1302,46.639615137605254,62.86792252602389,25.813334903345986,176.80040779595413,345.7377967970459,239.7956136939682
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,partial,eu-locality-126,942,27.381201511576144,38.92135808438485,29.649932943728874,123.22977913068112,240.46706112076282,183.72653083584885
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-008,121088,27.617759712392008,35.96957473477451,23.21910971693577,105.79391184195025,212.66277495611126,136.94678016915063
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-020,622,13.156201523749251,14.67889508889477,10.373352734822006,48.98614876904287,82.5590891536665,54.18434016797015
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-048,5582,45.64806725703191,58.86627761858265,22.454639389968957,173.33855364392312,284.4817214128402,216.55248685578948
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-067,4600,46.85239589139051,64.14804098569955,26.962078387030928,158.42067913403872,282.18856019361965,207.16877909819794
fold1_seed17_easy,floor_neural_oracle,FDE_vs_floor,endpoint,eu-locality-074,81289,29.883185709822413,41.035287783577374,27.17685844576461,105.63159455429017,207.16822501376632,139.8898647808847
