group,subset,locality,indexed_rows,supported_rows,unknown_rows,floor_error_sum,oracle_gain_cost_sum,captured_gain_cost_sum,missed_gain_cost_sum,selected_harm_cost_sum,fallback_regression_cost_sum,fallback_relief_cost_sum,original_gain_cost_sum,rebased_gain_cost_sum,rebase_advantage_cost_sum,signed_oracle_deficit_cost_sum,union_oracle_gain_cost_sum,missed_source_support_abstain_cost_sum,missed_no_observed_motion_cost_sum,missed_nonpositive_utility_cost_sum,missed_zero_event_mass_cost_sum,missed_risk_veto_cost_sum,oracle_gain_pp,captured_gain_pp,missed_gain_pp,selected_harm_pp,fallback_regression_pp,fallback_relief_pp,original_gain_pp,rebased_gain_pp,rebase_advantage_pp,signed_oracle_deficit_pp,union_oracle_gain_pp,missed_source_support_abstain_pp,missed_no_observed_motion_pp,missed_nonpositive_utility_pp,missed_zero_event_mass_pp,missed_risk_veto_pp
fold2_seed17_all,hard,eu-locality-112,1522,1522,0,88399.6649403341,24651.51142217282,161.06169956157956,24490.449722611236,29.511853475415204,2093.619143302987,150.45452556356872,-1811.6147716532541,131.54984608616434,1943.1646177394182,26463.126193826072,24748.831040349203,0.0,0.0,3444.020001608029,0.0,21046.42972100321,27.886430835242997,0.18219718329282034,27.704233651950172,0.03338457616930383,2.368356423880213,0.17019807220436745,-2.0493457445523293,0.14881260712351652,2.198158351675845,29.935776579795323,27.996521318325787,0.0,0.0,3.895964994813715,0.0,23.808268657136455
fold2_seed17_all,hard,eu-locality-119,1922,1922,0,132010.34930511515,22988.85659760995,271.68271453069536,22717.173883079253,151.5461153500246,2855.7959816323128,199.2470961980697,-2536.4122862535723,120.13659918067074,2656.548885434243,25525.268883863522,23105.86131271981,0.0,0.0,3082.8227000337442,0.0,19634.35118304551,17.41443509438481,0.2058041024516615,17.208630991933152,0.11479866248952686,2.1633121923128313,0.15093293612726563,-1.921373816223431,0.09100543996213462,2.012379256185566,19.335808910608243,17.503068080908793,0.0,0.0,2.335288646883605,0.0,14.873342345049547
fold2_seed17_all,hard,eu-locality-124,1375,1375,0,132407.23994723792,25063.871311938405,502.64234161545454,24561.228970322947,62.53980813104425,2532.1574399532656,234.50644770107812,-1857.5484587677774,440.10253348441034,2297.6509922521873,26921.41977070618,25246.41555549771,0.0,0.0,6645.177137280005,0.0,17916.05183304294,18.929381295105873,0.3796184723854596,18.54976282272041,0.04723292182207357,1.9124010446575945,0.17710998869436825,-1.4029055053998405,0.33238555056338603,1.735291055963226,20.33228680050571,19.067247052017688,0.0,0.0,5.018741527976867,0.0,13.531021294743542
fold2_seed17_all,hard,eu-locality-126,1386,1386,0,85810.78762882238,16914.547210687666,421.7541936491697,16492.793017038493,196.18988556300232,3498.5834998814244,218.48166463114,-3054.537527164117,225.56430808616736,3280.1018352502842,19969.08473785178,17094.36821293345,0.0,0.0,2154.3738709374347,0.0,14338.41914610106,19.711446169043622,0.4914932088416231,19.219952960201994,0.22863079454721785,4.077090534368094,0.25460862284144303,-3.5596194972322457,0.2628624142944053,3.8224819115266504,23.27106566627586,19.921001409374945,0.0,0.0,2.5106095987094954,0.0,16.7093433614925
fold2_seed17_all,complete,eu-locality-007,2882,2882,0,37144.80949676133,7792.379983971494,321.0326409805598,7471.347342990935,214.18089660808545,2651.6685568773873,177.06971776842266,-2367.747094736491,106.85174437247431,2474.598839108965,10160.127078707985,7916.466669368512,0.0,0.0,2613.0061640169884,0.0,4858.3411789739475,20.978381877691188,0.864273219677034,20.114108658014157,0.5766105668862294,7.138732417267041,0.4767011062039811,-6.374368658272257,0.2876626527908045,6.6620313110630605,27.352750535963445,21.31244385587373,0.0,0.0,7.034646830655619,0.0,13.07946182735854
fold2_seed17_all,complete,eu-locality-074,67309,67309,0,1248061.8213776164,287543.9964472011,12749.385190472416,274794.61125672865,7493.614075409764,66395.72819642813,7374.022042243089,-53765.93503912238,5255.771115062652,59021.706154185034,341309.9314863235,291594.0786817054,0.0,0.0,58596.93533892354,0.0,216197.67591780517,23.03924305046113,1.0215347486873356,22.017708301773794,0.6004201031594956,5.3199069997302075,0.590837882862534,-4.307954471339833,0.42111464552783995,4.729069116867673,27.347197521800965,23.363752795501952,0.0,0.0,4.6950346797920615,0.0,17.322673621981735
fold2_seed17_all,complete,eu-locality-082,582,582,0,5933.178520636328,1624.8021815094044,57.312748864128736,1567.4894326452754,8.832868741635622,229.63722394319691,11.428201756030749,-169.72914206467306,48.47988012249312,218.20902218716614,1794.5313235740773,1627.1394773260158,0.0,0.0,735.845203989317,0.0,831.6442286559586,27.385020960656107,0.9659704097017797,26.41905055095432,0.14887245868152815,3.8703912775334546,0.19261516767584272,-2.8606781588373607,0.8170979510202517,3.6777761098576116,30.245699119493466,27.424414614639076,0.0,0.0,12.402209059274998,0.0,14.016841491679328
fold2_seed17_all,complete,eu-locality-110,5804,5804,0,159224.11024142022,44655.34233106325,2302.8408798444216,42352.501451218835,429.0245947078988,6666.819927526744,261.5407638189266,-4531.462878571294,1873.8162851365228,6405.279163707818,49186.80520963455,44860.69690420507,0.0,0.0,4475.005208314986,0.0,37877.49624290384,28.045590748383223,1.4462890553150445,26.59930169306818,0.26944700401051025,4.187066843971254,0.1642595228966084,-2.845965269770111,1.1768420513045343,4.022807321074646,30.891556018153334,28.174562782097492,0.0,0.0,2.810507279035727,0.0,23.788794414032452
fold2_seed17_all,complete,eu-locality-112,2417,2417,0,48825.15424770923,16406.486251718135,132.5940086146985,16273.892243103437,40.6032047962898,2252.723126240404,54.943044161259124,-2105.789278260736,91.9908038184087,2197.7800820791444,18512.275529978873,16439.26355603204,0.0,0.0,2136.6704939775054,0.0,14137.221749125933,33.60252825517268,0.27156905217748395,33.33095920299519,0.08316042298667149,4.613857674287013,0.11253020089298936,-4.312918844203211,0.18840862919081244,4.501327473394023,37.91544709937589,33.66966025878625,0.0,0.0,4.37616742209832,0.0,28.954791780896876
fold2_seed17_all,complete,eu-locality-119,3148,3148,0,86920.22678419307,17861.51217168157,378.8105390003954,17482.70163268117,236.55730523611817,3180.380995067123,355.79157976042654,-2682.336181542419,142.25323376427727,2824.5894153066965,20543.848353223984,18055.622380002715,0.0,0.0,1924.140972082523,0.0,15558.56066059865,20.549316117212186,0.43581402513009115,20.11350209208209,0.27215449612602416,3.658965367133042,0.40933116827201976,-3.085974669856956,0.163659529004067,3.2496341988610222,23.635290787069135,20.772636068738638,0.0,0.0,2.21368609272018,0.0,17.899815999361913
fold2_seed17_all,complete,eu-locality-124,2077,2077,0,78360.76883507615,15717.243880397797,455.88464693583904,15261.35923346196,67.58319746433553,1882.1707459522013,168.4927661436343,-1325.3765303370637,388.30144947150353,1713.6779798085672,17042.620410734864,15850.534377410331,0.0,0.0,3810.1857758882634,0.0,11451.173457573695,20.057541693442886,0.5817766386332012,19.47576505480969,0.08624621538180172,2.4019299120374336,0.2150218389233222,-1.6913776498627122,0.4955304232513994,2.186908073114112,21.7489193433056,20.227640199358603,0.0,0.0,4.8623639514148485,0.0,14.613401103394839
fold2_seed17_all,complete,eu-locality-126,3637,3637,0,67438.7699026126,15896.496539942475,582.0845576960548,15314.41198224642,354.1127130444778,3719.610358428972,268.30807603308017,-3223.3304377443155,227.9718446515771,3451.3022823958927,19119.82697768679,16096.394261034928,0.0,0.0,1771.3417432207382,0.0,13543.070239025681,23.571747472408507,0.8631304493492913,22.708617023059215,0.5250877404137814,5.515537077263434,0.3978543446455802,-4.7796400236823455,0.33804270893551003,5.117682732617856,28.351387496090847,23.86816112494268,0.0,0.0,2.626592605082667,0.0,20.082024417976545
fold2_seed17_all,partial,eu-locality-007,2644,2644,0,34647.75528929374,6443.733334532482,229.9948051541822,6213.738529378301,186.11833895189028,1495.598043725165,206.03268919720426,-1245.6888883256688,43.876466202291894,1289.5653545279608,7689.422222858153,6573.0199665364535,0.0,0.0,3007.14450542336,0.0,3206.594023954941,18.597837812955277,0.6638086745701857,17.934029138385092,0.5371728627089485,4.316579908965443,0.5946494584625198,-3.5952946386416857,0.12663581186123724,3.7219304505029234,22.193132451596966,18.970983579324507,0.0,0.0,8.679189980173337,0.0,9.254839158211754
fold2_seed17_all,partial,eu-locality-074,35039,35039,0,689144.519211035,137454.31688175263,5831.031262219572,131623.28561953307,2007.8214256022497,19423.420697152615,3752.1727624353102,-11848.038098099983,3823.209836617323,15671.247934717307,149302.35497985265,139775.22720539078,0.0,0.0,35014.75189376317,0.0,96608.53372576991,19.94564464346561,0.8461260446350515,19.09951859883056,0.291349835866198,2.818482938729522,0.5444682004771617,-1.7192385294835073,0.5547762087688535,2.274014738252361,21.66488317294912,20.282426009193546,0.0,0.0,5.0809011633510055,0.0,14.018617435479555
fold2_seed17_all,partial,eu-locality-082,786,786,0,12371.358656938017,2511.388343366112,60.98338716024721,2450.4049562058653,57.66536812283216,218.65663307329612,35.64744680125105,-179.69116723463003,3.318019037415052,183.00918627204507,2691.0795106007427,2531.195090361336,0.0,0.0,1238.6400165653067,0.0,1211.7649396405586,20.300020499023308,0.49294009535522554,19.80708040366809,0.46611992847279293,1.7674423572763422,0.2881449628110127,-1.4524772275828972,0.02682016688243263,1.4792973944653296,21.75249772660621,20.460122130092877,0.0,0.0,10.01215833210576,0.0,9.794922071562327
fold2_seed17_all,partial,eu-locality-110,2746,2746,0,93719.14181088368,21335.70994483371,633.2217907885599,20702.48815404515,101.17709290970285,2484.2872048567865,154.37290363888604,-1797.8696033390431,532.0446978788572,2329.9143012179,23133.579548172755,21446.125344785934,0.0,0.0,2929.301572093503,0.0,17773.18658195165,22.765583991248178,0.6756589727062816,22.089925018541894,0.10795776716977264,2.650778866359918,0.16471864835296496,-1.918359012470444,0.567701205536509,2.4860602180069526,24.68394300371862,22.883399197212217,0.0,0.0,3.125617153008673,0.0,18.964307865533225
fold2_seed17_all,partial,eu-locality-112,2587,2587,0,70963.30303637765,17039.438691156618,118.35411960290041,16921.084571553718,43.24454352020253,1637.1812018009364,212.07306236960565,-1349.9985633486326,75.10957608269787,1425.1081394313308,18389.43725450525,17165.08413633969,0.0,0.0,2574.598903362733,0.0,14346.485668190984,24.011620037502702,0.16678214589620918,23.844837891606492,0.06093930478128144,2.30708145160841,0.29884891668711,-1.902389693806372,0.10584284111492771,2.0082325349213,25.914009731309072,24.188676966657567,0.0,0.0,3.62807083830769,0.0,20.2167670532988
fold2_seed17_all,partial,eu-locality-119,2491,2491,0,72470.83003482835,11372.610814838697,117.54447083964048,11255.066343999057,50.78775372654232,953.5962136343687,209.44639012512857,-677.393106396142,66.75671711309816,744.1498235092402,12050.003921234838,11508.15625518732,0.0,0.0,1820.0614245368038,0.0,9435.004919462252,15.692673603121696,0.16219556307434377,15.530478040047349,0.07008027050626373,1.3158345408436543,0.2890078532624394,-0.9347113950131348,0.09211529256808006,1.0268266875812149,16.62738499813483,15.879708083454652,0.0,0.0,2.511440014778512,0.0,13.019038025268836
fold2_seed17_all,partial,eu-locality-124,1473,1473,0,69659.1476604412,13437.16044859351,270.2070312380163,13166.953417355495,60.45286224971724,1388.8007701196416,111.42092423316865,-1067.6256768981739,209.75416898829903,1277.379845886473,14504.786125491684,13523.296951989316,0.0,0.0,3664.5475944676477,0.0,9502.405822887846,19.289872041061955,0.3878988479089078,18.901973193153047,0.08678380985136268,1.9937091060738446,0.15995160431232722,-1.532642463703972,0.301115038057545,1.8337575017615173,20.822514504765927,19.413526300823623,0.0,0.0,5.260683941082315,0.0,13.641289252070731
