view,locality,slice,rows,positive_rows,probability_mean,positive_rate,brier,ece,positive_fraction_mse
neural_fold0_seed17_easy_product_mse,eu-locality-119,selected,1646,74,0.01959669403731823,0.04495747266099635,0.0433775931596756,0.02621130840818908,0.02056304616874912
neural_fold0_seed17_easy_product_mse,eu-locality-124,population,3550,116,0.027817146852612495,0.03267605633802817,0.03190040960907936,0.008401195211204847,0.017437650792020875
neural_fold0_seed17_easy_product_mse,eu-locality-124,selected,1028,50,0.020700952038168907,0.048638132295719845,0.04651866853237152,0.027937178742792817,0.02396757487921521
neural_fold0_seed17_easy_hurdle,eu-locality-007,population,5526,479,0.062270890921354294,0.08668114368440101,0.07799290865659714,0.02694602385958791,0.015546284572575923
neural_fold0_seed17_easy_hurdle,eu-locality-007,selected,976,135,0.06796322017908096,0.13831967213114754,0.11889396607875824,0.07530603748669876,0.016921092495574244
neural_fold0_seed17_easy_hurdle,eu-locality-008,population,157961,8142,0.04854145646095276,0.05154436854666658,0.04864859580993652,0.007551710265435343,0.01657574201853267
neural_fold0_seed17_easy_hurdle,eu-locality-008,selected,20386,2621,0.055027637630701065,0.12856862552732268,0.11560393869876862,0.07361523787605512,0.01652093982813373
neural_fold0_seed17_easy_hurdle,eu-locality-020,population,1225,197,0.09896112233400345,0.16081632653061226,0.1410253643989563,0.08232296311125463,0.023302878892658363
neural_fold0_seed17_easy_hurdle,eu-locality-020,selected,217,12,0.09315808862447739,0.055299539170506916,0.059856563806533813,0.05818049027691789,0.004067107253825955
neural_fold0_seed17_easy_hurdle,eu-locality-048,population,8058,397,0.04933331161737442,0.04926780838917846,0.04628998413681984,0.003397149660505058,0.015354659751627631
neural_fold0_seed17_easy_hurdle,eu-locality-048,selected,774,84,0.05914636701345444,0.10852713178294573,0.09867019206285477,0.05012638779304133,0.01584084714976312
neural_fold0_seed17_easy_hurdle,eu-locality-067,population,6903,385,0.057658202946186066,0.055772852383021876,0.05187296122312546,0.007420719257044168,0.01599095876559413
neural_fold0_seed17_easy_hurdle,eu-locality-067,selected,666,97,0.06352752447128296,0.14564564564564564,0.1267247200012207,0.08721982670371775,0.015043866846026741
neural_fold0_seed17_easy_hurdle,eu-locality-110,population,8550,308,0.057664655148983,0.0360233918128655,0.03548552468419075,0.021641265527721037,0.01458228939581215
neural_fold0_seed17_easy_hurdle,eu-locality-110,selected,1024,111,0.06048101186752319,0.1083984375,0.09827616810798645,0.048806638747919344,0.013579615635275679
neural_fold0_seed17_easy_hurdle,eu-locality-119,population,5639,289,0.05832066014409065,0.05125022167050895,0.048561714589595795,0.007070445702851375,0.016138493272798413
neural_fold0_seed17_easy_hurdle,eu-locality-119,selected,402,29,0.0664893165230751,0.07213930348258707,0.06760523468255997,0.02060823437215677,0.021731243107719848
neural_fold0_seed17_easy_hurdle,eu-locality-124,population,3550,116,0.06181373447179794,0.03267605633802817,0.0334102101624012,0.029137678824260202,0.013312126698375778
neural_fold0_seed17_easy_hurdle,eu-locality-124,selected,339,33,0.05754787102341652,0.09734513274336283,0.08715205639600754,0.043270274029720494,0.01131207570817698
damping097_fold0_seed17_all_product_mse,eu-locality-007,population,5526,1310,0.31192469596862793,0.2370611653999276,0.1931433528661728,0.07681535800276483,0.01977669954459899
damping097_fold0_seed17_all_product_mse,eu-locality-007,selected,1954,359,0.2778891324996948,0.18372569089048107,0.16740156710147858,0.10426652936327788,0.01953308024272884
damping097_fold0_seed17_all_product_mse,eu-locality-008,population,157961,32908,0.3076549470424652,0.20832990421686365,0.18168935179710388,0.10507875501074869,0.017771633780453724
damping097_fold0_seed17_all_product_mse,eu-locality-008,selected,77722,10468,0.28783783316612244,0.13468515992897764,0.1487121433019638,0.1629760140308046,0.017791729860573556
damping097_fold0_seed17_all_product_mse,eu-locality-020,population,1225,458,0.2755657732486725,0.37387755102040815,0.27298295497894287,0.17741144091499095,0.018709766363955015
damping097_fold0_seed17_all_product_mse,eu-locality-020,selected,236,37,0.2216002643108368,0.15677966101694915,0.1419140100479126,0.09864228723917977,0.01815592744954998
damping097_fold0_seed17_all_product_mse,eu-locality-048,population,8058,2235,0.3004952371120453,0.27736411020104246,0.2041768878698349,0.06785539002683626,0.01748646248671623
damping097_fold0_seed17_all_product_mse,eu-locality-048,selected,3425,473,0.2904524803161621,0.1381021897810219,0.15100564062595367,0.15235028662820801,0.02075198074664568
damping097_fold0_seed17_all_product_mse,eu-locality-067,population,6903,2011,0.29142069816589355,0.29132261335651166,0.20488449931144714,0.032982933844852395,0.01682188254036093
damping097_fold0_seed17_all_product_mse,eu-locality-067,selected,2479,426,0.2666083574295044,0.1718434852763211,0.15228743851184845,0.09479508423646546,0.018044894599320474
damping097_fold0_seed17_all_product_mse,eu-locality-110,population,8550,946,0.3047846853733063,0.11064327485380117,0.1398843675851822,0.19417707526587955,0.018389347754834754
damping097_fold0_seed17_all_product_mse,eu-locality-110,selected,5602,478,0.2966201901435852,0.08532666904676901,0.12589618563652039,0.21137355612733882,0.019031827423001666
damping097_fold0_seed17_all_product_mse,eu-locality-119,population,5639,1494,0.29522189497947693,0.26494059230359995,0.20300132036209106,0.0612564817887499,0.019495662650178568
damping097_fold0_seed17_all_product_mse,eu-locality-119,selected,2601,411,0.29123836755752563,0.1580161476355248,0.15464121103286743,0.13322222424167618,0.018698238282064857
damping097_fold0_seed17_all_product_mse,eu-locality-124,population,3550,676,0.2968747913837433,0.19042253521126762,0.17554061114788055,0.1241372251321732,0.018147286882029882
damping097_fold0_seed17_all_product_mse,eu-locality-124,selected,1604,176,0.29076117277145386,0.10972568578553615,0.13772021234035492,0.18103546029574555,0.01610062831096211
damping097_fold0_seed17_all_hurdle,eu-locality-007,population,5526,1310,0.1985025256872177,0.2370611653999276,0.17819543182849884,0.06279584589079588,0.014953306162780402
