view,locality,slice,rows,reference_pred,harm_pred,reference_actual,harm_actual
neural_fold0_seed17_easy_hurdle,eu-locality-067,selected,666,0.7148715853691101,0.006318049505352974,1.1496424961184137,0.012467586436107193
neural_fold0_seed17_easy_hurdle,eu-locality-110,population,8550,0.6864597201347351,0.11814527213573456,0.7106936151634808,0.011626872650691308
neural_fold0_seed17_easy_hurdle,eu-locality-110,selected,1024,0.7654725313186646,0.00768298888579011,1.4922535600154785,0.009434471684948618
neural_fold0_seed17_easy_hurdle,eu-locality-119,population,5639,0.6689626574516296,0.18987254798412323,0.6896404096672981,0.11954689467817678
neural_fold0_seed17_easy_hurdle,eu-locality-119,selected,402,0.7559795379638672,0.008208271116018295,1.4490115501898853,0.005810791151685921
neural_fold0_seed17_easy_hurdle,eu-locality-124,population,3550,0.6471178531646729,0.19171123206615448,0.7299412652237124,0.025034008247332627
neural_fold0_seed17_easy_hurdle,eu-locality-124,selected,339,0.6812848448753357,0.007351994980126619,1.54120854627339,0.010487622701228588
damping097_fold0_seed17_all_old,eu-locality-007,population,5526,17.744348408046932,0.5638175134319028,13.731098649130544,0.39409710457999486
damping097_fold0_seed17_all_old,eu-locality-007,selected,1317,21.730699985608425,0.27321676222887525,15.39086734654932,0.24220305126762695
damping097_fold0_seed17_all_old,eu-locality-008,population,157961,25.55334174199371,0.44390268033017133,18.214515006924312,0.8859677378340031
damping097_fold0_seed17_all_old,eu-locality-008,selected,97804,26.686490905326444,0.2899760623574764,18.77836416153735,0.9016190713657869
damping097_fold0_seed17_all_old,eu-locality-020,population,1225,16.363981764936934,0.8197199929992155,6.529874789510041,1.3394418305004283
damping097_fold0_seed17_all_old,eu-locality-020,selected,22,23.609725041822955,0.30711783028461714,10.607265466200753,0.7412098830020025
damping097_fold0_seed17_all_old,eu-locality-048,population,8058,32.71310604941012,0.6626634505878117,26.698045849916557,1.4652879197269684
damping097_fold0_seed17_all_old,eu-locality-048,selected,4663,32.18418166030509,0.3259469480730103,26.066638573647733,1.1064130910810797
damping097_fold0_seed17_all_old,eu-locality-067,population,6903,24.497504007886686,0.610726082649076,29.01155393353873,1.0318454657312008
damping097_fold0_seed17_all_old,eu-locality-067,selected,2909,26.043971336309998,0.24765711380524164,26.862471532759617,0.5440219886246016
damping097_fold0_seed17_all_old,eu-locality-110,population,8550,23.988601829151662,0.49661898456317816,30.697946977148565,0.26440351815398194
damping097_fold0_seed17_all_old,eu-locality-110,selected,5690,22.153575602650434,0.2632983297273281,24.504329148443976,0.19703994763298072
damping097_fold0_seed17_all_old,eu-locality-119,population,5639,25.904332846529964,0.5414698502401626,28.9468800380438,1.2550304636548228
damping097_fold0_seed17_all_old,eu-locality-119,selected,2974,28.925492258102363,0.30846331237327423,26.744601085121836,0.6424166466285962
damping097_fold0_seed17_all_old,eu-locality-124,population,3550,27.370722130704934,0.7701121126650504,42.61348194213386,0.9673445252204965
damping097_fold0_seed17_all_old,eu-locality-124,selected,1433,24.71972953175134,0.30053993755664266,31.983125261421204,0.3436453559053006
damping097_fold0_seed17_all_envelope,eu-locality-007,population,5526,17.686309814453125,0.4142553508281708,13.731098649130544,0.39409710457999486
damping097_fold0_seed17_all_envelope,eu-locality-007,selected,1895,20.1717472076416,0.20466157793998718,11.266430774804826,0.1290332076632946
