seed,candidate,arm,subset,metric,status,count,baseline_error,selected_error,improvement_pct,degradation_fraction,mean_excess_over_floor,switch_rate_valid_labels
17,seed17_neural_cost_conservative,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.005753126235318691,-275.31874860212525,2.7531874860212526,0.004220262167976942,0.0029823353980270705
17,seed17_neural_cost_conservative,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.004317167009866521,-78.43191683593032,0.7843191683593033,0.0018976632089651425,0.0029823353980270705
17,seed17_neural_cost_conservative,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4566345200832687,-0.005224327477851227,5.2243274778512275e-05,0.00018057647313529657,0.004987531172069825
17,seed17_neural_cost_conservative,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.418256617285473,0.005252999077931408,-5.2529990779314086e-05,-0.00033716867239252934,0.004987531172069825
17,seed17_neural_cost_conservative,joint_exact_count,all,ade,evaluated,33686,1.693476048391338,1.6941355850918856,-0.03894573538102474,0.00038945735381024744,0.000659536700547525,0.003918541827465416
17,seed17_neural_cost_conservative,joint_exact_count,all,fde,evaluated,33690,3.1558455469375857,3.155928919389512,-0.002641841962359305,2.641841962359305e-05,8.337245192624465e-05,0.003918076580587711
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.005753126235318691,-275.31874860212525,2.7531874860212526,0.004220262167976942,0.0029823353980270705
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.004317167009866521,-78.43191683593032,0.7843191683593033,0.0018976632089651425,0.0029823353980270705
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4566345200832687,-0.005224327477851227,5.2243274778512275e-05,0.00018057647313529657,0.004987531172069825
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.418256617285473,0.005252999077931408,-5.2529990779314086e-05,-0.00033716867239252934,0.004987531172069825
17,seed17_neural_cost_conservative,scene_uniform,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,uncontrolled,all,ade,evaluated,33686,1.693476048391338,2.55649346040909,-50.961300151693735,0.5096130015169373,0.8630174120177521,1.0
17,seed17_neural_cost_conservative,uncontrolled,all,fde,evaluated,33690,3.1558455469375857,3.446614285148983,-9.213655544503995,0.09213655544503994,0.29076873821139726,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,5.380070261762614,-350881.5629700672,3508.815629700672,5.378537397695273,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,1.9270697662229859,-79547.31303604739,795.4731303604739,1.9246502624220845,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.7288165005510265,-7.879826011985593,0.07879826011985594,0.2723625569408932,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4771561583777855,-0.9123863321595227,0.009123863321595227,0.05856237241992002,1.0
17,seed17_neural_cost_moderate,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
