tag,arm,seed,pair,parameters,fitting_prior,start_BCE,end_BCE,start_Brier,end_Brier,fit_seconds
fold1_seed17_controller0_motion_only_eu-locality-074,linear,17,motion_only,400,0.006487353456465411,0.026162225753068924,0.023235566914081573,0.003897652728483081,0.003943133167922497,0.5047896250034682
fold1_seed17_controller0_motion_only_eu-locality-074,mlp,17,motion_only,12833,0.006487353456465411,0.026162225753068924,0.00478448998183012,0.003897652728483081,0.0015723457327112556,1.0940891669888515
fold1_seed17_controller0_motion_only_eu-locality-082,linear,17,motion_only,400,0.014527014487620064,0.09699911624193192,0.08414454758167267,0.01917482726275921,0.018789023160934448,0.6091427909850609
fold1_seed17_controller0_motion_only_eu-locality-082,mlp,17,motion_only,12833,0.014527014487620064,0.09699911624193192,0.08113172650337219,0.01917482726275921,0.018947945907711983,1.1226816660200711
fold1_seed17_controller0_motion_only_eu-locality-112,linear,17,motion_only,400,0.02198216081693997,0.0963541716337204,0.10064703226089478,0.01915578730404377,0.020441222935914993,0.6026263330131769
fold1_seed17_controller0_motion_only_eu-locality-112,mlp,17,motion_only,12833,0.02198216081693997,0.0963541716337204,0.08694685995578766,0.01915578730404377,0.019232474267482758,1.012151917006122
fold1_seed17_controller0_motion_only_eu-locality-126,linear,17,motion_only,400,0.019449813457679564,0.11152288317680359,0.10249471664428711,0.022904088720679283,0.022788701578974724,0.6053376669879071
fold1_seed17_controller0_motion_only_eu-locality-126,mlp,17,motion_only,12833,0.019449813457679564,0.11152288317680359,0.09245389699935913,0.022904088720679283,0.02204642817378044,1.6611937080160715
fold1_seed17_controller2_full_eu-locality-008,linear,17,full,400,0.12119440485622418,0.45422691106796265,0.30585476756095886,0.13898366689682007,0.08994913846254349,0.5133890420256648
fold1_seed17_controller2_full_eu-locality-008,mlp,17,full,12833,0.12119440485622418,0.45422691106796265,0.2160581648349762,0.13898366689682007,0.060255635529756546,1.3665789160004351
fold1_seed17_controller2_full_eu-locality-020,linear,17,full,400,0.025215626107525275,0.18257907032966614,0.12192697823047638,0.041437603533267975,0.03028319962322712,0.6276314160204493
fold1_seed17_controller2_full_eu-locality-020,mlp,17,full,12833,0.025215626107525275,0.18257907032966614,0.1047298014163971,0.041437603533267975,0.026883389800786972,1.6371722079929896
fold1_seed17_controller2_full_eu-locality-048,linear,17,full,400,0.08867894771572188,0.3203866183757782,0.14355230331420898,0.08820009231567383,0.037338871508836746,0.6297417919849977
fold1_seed17_controller2_full_eu-locality-048,mlp,17,full,12833,0.08867894771572188,0.3203866183757782,0.11082865297794342,0.08820009231567383,0.0304874200373888,1.0470327500079293
fold1_seed17_controller2_full_eu-locality-067,linear,17,full,400,0.08755578311634418,0.30220866203308105,0.14101219177246094,0.08177708089351654,0.03351240232586861,0.6151945829915348
fold1_seed17_controller2_full_eu-locality-067,mlp,17,full,12833,0.08755578311634418,0.30220866203308105,0.0912209078669548,0.08177708089351654,0.022580573335289955,1.2779943330097012
fold1_seed17_controller2_motion_only_eu-locality-008,linear,17,motion_only,400,0.04925047817238886,0.2470892071723938,0.18852154910564423,0.062290776520967484,0.05148802697658539,0.5290300829801708
fold1_seed17_controller2_motion_only_eu-locality-008,mlp,17,motion_only,12833,0.04925047817238886,0.2470892071723938,0.10753990709781647,0.062290776520967484,0.02567630261182785,1.8077558330260217
fold1_seed17_controller2_motion_only_eu-locality-020,linear,17,motion_only,400,0.004196943059014373,0.0042057037353515625,0.005065331235527992,1.76143366843462e-05,4.955324038746767e-05,0.6380504590051714
fold1_seed17_controller2_motion_only_eu-locality-020,mlp,17,motion_only,12833,0.004196943059014373,0.0042057037353515625,0.0034888535737991333,1.76143366843462e-05,8.927181625040248e-05,1.2615321250050329
fold1_seed17_controller2_motion_only_eu-locality-048,linear,17,motion_only,400,0.024250623150973094,0.16887617111206055,0.13281367719173431,0.03775601461529732,0.03496776148676872,0.615958167007193
fold1_seed17_controller2_motion_only_eu-locality-048,mlp,17,motion_only,12833,0.024250623150973094,0.16887617111206055,0.10249555855989456,0.03775601461529732,0.022830141708254814,1.35390595899662
fold1_seed17_controller2_motion_only_eu-locality-067,linear,17,motion_only,400,0.02089023216533735,0.09625528007745743,0.08398261666297913,0.019151629880070686,0.018987612798810005,0.6089610830240417
fold1_seed17_controller2_motion_only_eu-locality-067,mlp,17,motion_only,12833,0.02089023216533735,0.09625528007745743,0.04766399413347244,0.019151629880070686,0.012802551500499249,1.0898468749946915
fold1_seed29_controller0_full_eu-locality-074,linear,29,full,400,0.045347514817713375,0.26064956188201904,0.19737492501735687,0.06599190086126328,0.05646643787622452,0.5222243329917546
fold1_seed29_controller0_full_eu-locality-074,mlp,29,full,12833,0.045347514817713375,0.26064956188201904,0.15730956196784973,0.06599190086126328,0.050378747284412384,0.8914573340152856
fold1_seed29_controller0_full_eu-locality-082,linear,29,full,400,0.060928738540372035,0.24449731409549713,0.19610461592674255,0.062026455998420715,0.05362098664045334,0.5987704580184072
fold1_seed29_controller0_full_eu-locality-082,mlp,29,full,12833,0.060928738540372035,0.24449731409549713,0.17838065326213837,0.062026455998420715,0.050018198788166046,0.9897778750164434
fold1_seed29_controller0_full_eu-locality-112,linear,29,full,400,0.06006693443718389,0.2123563587665558,0.1570086032152176,0.051725711673498154,0.04142531380057335,0.6004405419807881
fold1_seed29_controller0_full_eu-locality-112,mlp,29,full,12833,0.06006693443718389,0.2123563587665558,0.13202674686908722,0.051725711673498154,0.03802492097020149,1.2011443749943282
fold1_seed29_controller0_full_eu-locality-126,linear,29,full,400,0.046491948520940705,0.18921063840389252,0.15145693719387054,0.04467788711190224,0.03919626399874687,0.5943513330130372
fold1_seed29_controller0_full_eu-locality-126,mlp,29,full,12833,0.046491948520940705,0.18921063840389252,0.13390952348709106,0.04467788711190224,0.03708883374929428,0.9615771250100806
fold1_seed29_controller0_motion_only_eu-locality-074,linear,29,motion_only,400,0.006979129453609838,0.06510332226753235,0.036054834723472595,0.011603884398937225,0.009569542482495308,0.5076325830013957
fold1_seed29_controller0_motion_only_eu-locality-074,mlp,29,motion_only,12833,0.006979129453609838,0.06510332226753235,0.0036235463339835405,0.011603884398937225,0.0005175929982215166,1.2042864999966696
fold1_seed29_controller0_motion_only_eu-locality-082,linear,29,motion_only,400,0.016149167686295166,0.09654686599969864,0.08010534197092056,0.01916121318936348,0.017669405788183212,0.5869859999802429
fold1_seed29_controller0_motion_only_eu-locality-082,mlp,29,motion_only,12833,0.016149167686295166,0.09654686599969864,0.0697532519698143,0.01916121318936348,0.017208166420459747,1.185819625010481
fold1_seed29_controller0_motion_only_eu-locality-112,linear,29,motion_only,400,0.01933840147709355,0.0808737650513649,0.07557198405265808,0.015394646674394608,0.015891820192337036,0.58270149998134
fold1_seed29_controller0_motion_only_eu-locality-112,mlp,29,motion_only,12833,0.01933840147709355,0.0808737650513649,0.05557166785001755,0.015394646674394608,0.012913485988974571,1.2624551669869106
fold1_seed29_controller0_motion_only_eu-locality-126,linear,29,motion_only,400,0.01986668509811463,0.09621214866638184,0.08524101227521896,0.019149893894791603,0.01909312792122364,0.5869817920029163
fold1_seed29_controller0_motion_only_eu-locality-126,mlp,29,motion_only,12833,0.01986668509811463,0.09621214866638184,0.06942260265350342,0.019149893894791603,0.016369665041565895,0.8858486249810085
fold1_seed29_controller2_full_eu-locality-008,linear,29,full,400,0.11223027894769377,0.35332658886909485,0.2478695809841156,0.10044972598552704,0.07384037971496582,0.5263232919969596
fold1_seed29_controller2_full_eu-locality-008,mlp,29,full,12833,0.11223027894769377,0.35332658886909485,0.15869727730751038,0.10044972598552704,0.04830893129110336,1.30086291700718
fold1_seed29_controller2_full_eu-locality-020,linear,29,full,400,0.0367063379978009,0.1522667557001114,0.1276661604642868,0.03392269089818001,0.03157321736216545,0.6407339579891413
fold1_seed29_controller2_full_eu-locality-020,mlp,29,full,12833,0.0367063379978009,0.1522667557001114,0.10956217348575592,0.03392269089818001,0.029598478227853775,0.9859432919765823
fold1_seed29_controller2_full_eu-locality-048,linear,29,full,400,0.08770317081686589,0.3205016553401947,0.22161759436130524,0.0882185846567154,0.06054828315973282,0.6708862500090618
fold1_seed29_controller2_full_eu-locality-048,mlp,29,full,12833,0.08770317081686589,0.3205016553401947,0.19018904864788055,0.0882185846567154,0.04563771188259125,1.2694393749989104
