group,arm,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,hard,eu-locality-048,2992,53.081171740201036,53.081171740201036,0.0,121.29591623793371,202.79147183299347,121.29591623793371
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,hard,eu-locality-067,2806,53.759134784738364,53.759134784738364,0.0,126.95459144935597,198.92434816893777,126.95459144935597
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,hard,eu-locality-110,2743,74.85524665037725,74.85524665037725,0.0,213.07449859058045,380.35594110435846,213.07449859058045
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,hard,eu-locality-119,1895,67.37029470407157,67.37029470407157,0.0,172.71391239328824,273.9914452410256,172.71391239328824
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,hard,eu-locality-124,1362,94.91873220556235,94.91873220556235,0.0,269.89921469355284,425.3661839279669,269.89921469355284
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-007,2882,12.595290690501598,12.595290690501598,0.0,44.91962912730921,76.86890219592341,44.91962912730921
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-008,97352,15.297849561246625,15.297849561246625,0.0,55.76310541519245,113.95476065838794,55.76310541519245
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-020,364,6.78770099102028,6.78770099102028,0.0,22.682718227503177,49.70629992513765,22.682718227503177
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-048,4716,24.360682398423904,24.360682398423904,0.0,86.39052269449988,150.53843627794993,86.39052269449988
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-067,3417,27.446390166757865,27.446390166757865,0.0,87.00755418912514,159.2669354365236,87.00755418912514
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-110,5804,26.313616598412384,26.313616598412384,0.0,109.83042543804812,257.33139749434275,109.83042543804812
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-119,3148,26.61960192432632,26.61960192432632,0.0,103.20378997279019,189.1833789691684,103.20378997279019
fold0_seed17_all,cv_targets,ADE_vs_matched_cv_target,complete,eu-locality-124,2077,36.79144316741497,36.79144316741497,0.0,166.85994116519117,315.79700044017295,166.85994116519117
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-007,3935,27.165367188833617,27.90884020202998,2.663933749358338,98.6908636089139,169.502019332493,99.74000009835866
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-008,121088,32.87335192277942,33.62592175671182,2.238064548467533,128.09980571811764,265.3107178580057,128.82907966849888
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-020,622,14.339109578115316,14.562674487461306,1.535191283294035,52.375808020598235,102.34943144507893,52.375808020598235
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-048,5582,52.93675126616727,53.83045080845707,1.6602118854063153,198.33742068112284,335.7568772699859,200.37762711537502
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-067,4600,57.34584703464294,58.965160053490216,2.7462200007229987,194.5344124718005,367.0313156604077,196.65546131977956
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-110,7204,52.61645522076484,54.29704332063898,3.095174243558352,232.0273619386688,520.3180099770442,235.4898497730535
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-119,4147,60.66568135898735,61.410127678028964,1.212253332129054,246.18869215101606,445.5820913837266,245.65579559704955
fold0_seed17_all,cv_targets,FDE_vs_floor,all,eu-locality-124,2645,78.4240341178524,80.18291133217755,2.193581132317046,355.838487144209,704.5627920533153,366.21453516902267
fold0_seed17_all,floor_utility,ADE_vs_floor,all,eu-locality-007,5526,12.746878467963082,12.998749893517914,1.9376588334885425,43.95122125345763,76.43866311332394,44.69396378264957
fold0_seed17_all,floor_utility,ADE_vs_floor,all,eu-locality-008,157961,17.066240576767274,17.303502959581245,1.371181219017814,60.468603193279,125.71433803027959,60.82730143640867
