model,dataset,subset,horizon,FDE,baseline_FDE,improvement,ADE,episodes,alpha,intervention,residual,physical_validity
per_agent_no_scene,trajnet,silver,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_no_scene,trajnet,ge2,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,ge2,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
per_agent_no_scene,trajnet,ge2,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_no_scene,trajnet,ge5,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,ge5,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
per_agent_no_scene,trajnet,ge5,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_no_scene,trajnet,pedestrian_drone,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,pedestrian_drone,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
per_agent_no_scene,trajnet,pedestrian_drone,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_scene_only,aerialmpt,all,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,all,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,hard,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,hard,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,baseline_failure,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,baseline_failure,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,goalbench_official,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,goalbench_official,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,silver,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,silver,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,ge2,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,ge2,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,ge5,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,ge5,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,aerialmpt,pixel_space,1,0.537585,0.514499,-0.044871,0.537585,8,1.0,1.0,0.79496,1.0
per_agent_scene_only,aerialmpt,pixel_space,5,2.756505,2.735528,-0.007669,1.5653,8,1.0,1.0,0.79496,0.95
per_agent_scene_only,eth_ucy,all,1,0.788162,0.789101,0.00119,0.788162,31,0.56807,0.892473,0.240122,1.0
per_agent_scene_only,eth_ucy,all,5,2.689107,2.732957,0.016045,1.781943,31,0.56807,0.892473,0.240122,0.945161
per_agent_scene_only,eth_ucy,all,10,5.157833,5.17126,0.002596,3.013454,31,0.56807,0.892473,0.240122,0.934677
per_agent_scene_only,eth_ucy,hard,1,0.864898,0.865988,0.001259,0.864898,28,0.558519,0.880952,0.244284,1.0
per_agent_scene_only,eth_ucy,hard,5,2.753017,2.799948,0.016761,1.806004,28,0.558519,0.880952,0.244284,0.939286
per_agent_scene_only,eth_ucy,hard,10,5.364216,5.378648,0.002683,3.077546,28,0.558519,0.880952,0.244284,0.927679
per_agent_scene_only,eth_ucy,baseline_failure,1,0.785235,0.78607,0.001062,0.785235,26,0.551809,0.871795,0.236732,1.0
per_agent_scene_only,eth_ucy,baseline_failure,5,2.894342,2.93439,0.013648,1.890862,26,0.551809,0.871795,0.236732,0.961538
per_agent_scene_only,eth_ucy,baseline_failure,10,5.344801,5.352848,0.001503,3.189844,26,0.551809,0.871795,0.236732,0.939423
per_agent_scene_only,eth_ucy,goalbench_official,1,0.788162,0.789101,0.00119,0.788162,31,0.56807,0.892473,0.240122,1.0
per_agent_scene_only,eth_ucy,goalbench_official,5,2.689107,2.732957,0.016045,1.781943,31,0.56807,0.892473,0.240122,0.945161
per_agent_scene_only,eth_ucy,goalbench_official,10,5.157833,5.17126,0.002596,3.013454,31,0.56807,0.892473,0.240122,0.934677
per_agent_scene_only,eth_ucy,silver,1,0.788162,0.789101,0.00119,0.788162,31,0.56807,0.892473,0.240122,1.0
per_agent_scene_only,eth_ucy,silver,5,2.689107,2.732957,0.016045,1.781943,31,0.56807,0.892473,0.240122,0.945161
per_agent_scene_only,eth_ucy,silver,10,5.157833,5.17126,0.002596,3.013454,31,0.56807,0.892473,0.240122,0.934677
per_agent_scene_only,eth_ucy,ge2,1,0.788162,0.789101,0.00119,0.788162,31,0.56807,0.892473,0.240122,1.0
per_agent_scene_only,eth_ucy,ge2,5,2.689107,2.732957,0.016045,1.781943,31,0.56807,0.892473,0.240122,0.945161
per_agent_scene_only,eth_ucy,ge2,10,5.157833,5.17126,0.002596,3.013454,31,0.56807,0.892473,0.240122,0.934677
