seed,candidate,arm,subset,metric,status,count,baseline_error,selected_error,improvement_pct,degradation_fraction,mean_excess_over_floor,switch_rate_valid_labels
17,seed17_neural_cost_conservative,joint,all,fde,evaluated,33690,3.1558455469375857,3.1562070344215867,-0.01145453662495571,0.0001145453662495571,0.0003614874840009996,0.022766399525081627
17,seed17_neural_cost_conservative,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.003586109239771157,-133.94828779502214,1.3394828779502215,0.002053245172429408,0.011470520761642579
17,seed17_neural_cost_conservative,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.005236429964766403,-116.42577965017404,1.1642577965017404,0.0028169261638650244,0.011470520761642579
17,seed17_neural_cost_conservative,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.456201672365173,0.0072985565286289855,-7.298556528628986e-05,-0.0002522712449604114,0.023628428927680797
17,seed17_neural_cost_conservative,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.417933067712714,0.010293816171958237,-0.00010293816171958237,-0.0006607182451512372,0.023628428927680797
17,seed17_neural_cost_conservative,joint_exact_count,all,ade,evaluated,33686,1.693476048391338,1.6939043773287819,-0.025292884292677162,0.0002529288429267716,0.0004283289374438226,0.022769102891408894
17,seed17_neural_cost_conservative,joint_exact_count,all,fde,evaluated,33690,3.1558455469375857,3.1562070344215867,-0.01145453662495571,0.0001145453662495571,0.0003614874840009996,0.022766399525081627
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.003586109239771157,-133.94828779502214,1.3394828779502215,0.002053245172429408,0.011470520761642579
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.005236429964766403,-116.42577965017404,1.1642577965017404,0.0028169261638650244,0.011470520761642579
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.456201672365173,0.0072985565286289855,-7.298556528628986e-05,-0.0002522712449604114,0.023628428927680797
17,seed17_neural_cost_conservative,joint_exact_count,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.417933067712714,0.010293816171958237,-0.00010293816171958237,-0.0006607182451512372,0.023628428927680797
17,seed17_neural_cost_conservative,scene_uniform,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,scene_uniform,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_conservative,uncontrolled,all,ade,evaluated,33686,1.693476048391338,2.0599945859774293,-21.642971445285784,0.21642971445285786,0.3665185375860913,1.0
17,seed17_neural_cost_conservative,uncontrolled,all,fde,evaluated,33690,3.1558455469375857,3.473870763654499,-10.077337816025983,0.10077337816025983,0.3180252167169133,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,2.197107923898185,-143233.51343464848,1432.335134346485,2.1955750598308432,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,2.011583764085019,-83040.34321151345,830.4034321151345,2.009164260284118,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.5818223393456137,-3.627081331931125,0.03627081331931125,0.1253683957354803,1.0
17,seed17_neural_cost_conservative,uncontrolled,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4941992495445025,-1.1779132019857863,0.011779132019857863,0.075605463586637,1.0
17,seed17_neural_cost_moderate,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,floor,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,floor,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,floor,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,floor,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_neural_cost_moderate,independent,all,ade,evaluated,33686,1.693476048391338,1.694421536963445,-0.05583123381078245,0.0005583123381078244,0.0009454885721069672,0.04286647271863682
17,seed17_neural_cost_moderate,independent,all,fde,evaluated,33690,3.1558455469375857,3.1567620572195376,-0.029041671029855044,0.00029041671029855044,0.0009165102819519433,0.04286138319976254
17,seed17_neural_cost_moderate,independent,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.004735691316950497,-208.94398386955498,2.08943983869555,0.0032028272496087483,0.0222528102775866
17,seed17_neural_cost_moderate,independent,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.007054922660206137,-191.5855167318955,1.915855167318955,0.004635418859304758,0.0222528102775866
17,seed17_neural_cost_moderate,independent,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.456347465654624,0.0030805547317185413,-3.0805547317185416e-05,-0.00010647795550955408,0.04239401496259352
17,seed17_neural_cost_moderate,independent,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.417902700804824,0.010766924595752299,-0.00010766924595752299,-0.0006910851530417261,0.04239401496259352
17,seed17_neural_cost_moderate,independent_count_reference,all,ade,evaluated,33686,1.693476048391338,1.694421536963445,-0.05583123381078245,0.0005583123381078244,0.0009454885721069672,0.04286647271863682
17,seed17_neural_cost_moderate,independent_count_reference,all,fde,evaluated,33690,3.1558455469375857,3.1567620572195376,-0.029041671029855044,0.00029041671029855044,0.0009165102819519433,0.04286138319976254
17,seed17_neural_cost_moderate,independent_count_reference,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.004735691316950497,-208.94398386955498,2.08943983869555,0.0032028272496087483,0.0222528102775866
17,seed17_neural_cost_moderate,independent_count_reference,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.007054922660206137,-191.5855167318955,1.915855167318955,0.004635418859304758,0.0222528102775866
17,seed17_neural_cost_moderate,independent_count_reference,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.456347465654624,0.0030805547317185413,-3.0805547317185416e-05,-0.00010647795550955408,0.04239401496259352
17,seed17_neural_cost_moderate,independent_count_reference,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.417902700804824,0.010766924595752299,-0.00010766924595752299,-0.0006910851530417261,0.04239401496259352
17,seed17_neural_cost_moderate,joint,all,ade,evaluated,33686,1.693476048391338,1.694421536963445,-0.05583123381078245,0.0005583123381078244,0.0009454885721069672,0.04286647271863682
17,seed17_neural_cost_moderate,joint,all,fde,evaluated,33690,3.1558455469375857,3.1567620572195376,-0.029041671029855044,0.00029041671029855044,0.0009165102819519433,0.04286138319976254
17,seed17_neural_cost_moderate,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.004735691316950497,-208.94398386955498,2.08943983869555,0.0032028272496087483,0.0222528102775866
17,seed17_neural_cost_moderate,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.007054922660206137,-191.5855167318955,1.915855167318955,0.004635418859304758,0.0222528102775866
17,seed17_neural_cost_moderate,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.456347465654624,0.0030805547317185413,-3.0805547317185416e-05,-0.00010647795550955408,0.04239401496259352
17,seed17_neural_cost_moderate,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.417902700804824,0.010766924595752299,-0.00010766924595752299,-0.0006910851530417261,0.04239401496259352
17,seed17_neural_cost_moderate,joint_exact_count,all,ade,evaluated,33686,1.693476048391338,1.694421536963445,-0.05583123381078245,0.0005583123381078244,0.0009454885721069672,0.04286647271863682
17,seed17_neural_cost_moderate,joint_exact_count,all,fde,evaluated,33690,3.1558455469375857,3.1567620572195376,-0.029041671029855044,0.00029041671029855044,0.0009165102819519433,0.04286138319976254
17,seed17_neural_cost_moderate,joint_exact_count,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.004735691316950497,-208.94398386955498,2.08943983869555,0.0032028272496087483,0.0222528102775866
17,seed17_neural_cost_moderate,joint_exact_count,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.007054922660206137,-191.5855167318955,1.915855167318955,0.004635418859304758,0.0222528102775866
17,seed17_neural_cost_moderate,joint_exact_count,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.456347465654624,0.0030805547317185413,-3.0805547317185416e-05,-0.00010647795550955408,0.04239401496259352
