trial,held_site,objective,seed,step,loss,gradient_norm,learning_rate,supported_batch_rows,mean_past_normalized_ADE
coupa_past_normalized_seed17,coupa,past_normalized,17,800,0.26928606629371643,0.10996372997760773,0.00027169385712937896,63,34.28022384643555
coupa_past_normalized_seed17,coupa,past_normalized,17,850,2.5453555583953857,0.012480075471103191,0.0002681764183076788,61,210.68858337402344
coupa_past_normalized_seed17,coupa,past_normalized,17,900,0.15743032097816467,0.06042441353201866,0.00026447898293036027,63,13.19411849975586
coupa_past_normalized_seed17,coupa,past_normalized,17,950,3.3143844604492188,0.03239428997039795,0.000260607255026071,64,288.74395751953125
coupa_past_normalized_seed17,coupa,past_normalized,17,1000,0.13950452208518982,0.04758607596158981,0.00025656720750430874,64,14.264774322509766
coupa_past_normalized_seed17,coupa,past_normalized,17,1050,1.852192759513855,0.03169943392276764,0.00025236507294102155,64,114.10067749023438
coupa_past_normalized_seed17,coupa,past_normalized,17,1100,1.231224775314331,0.08869714289903641,0.0002480073339636212,63,108.04415893554688
coupa_past_normalized_seed17,coupa,past_normalized,17,1150,0.390584796667099,0.17733712494373322,0.00024350071325024268,64,32.82748031616211
coupa_past_normalized_seed17,coupa,past_normalized,17,1200,0.8329851031303406,0.09730725735425949,0.00023885216315867728,63,52.642295837402344
coupa_past_normalized_seed17,coupa,past_normalized,17,1250,0.97763592004776,0.06347659975290298,0.0002340688550009797,64,83.38077545166016
coupa_past_normalized_seed17,coupa,past_normalized,17,1300,2.017561197280884,0.06529552489519119,0.00022915816798029423,63,257.2211608886719
coupa_past_normalized_seed17,coupa,past_normalized,17,1350,0.002245900686830282,0.005128668621182442,0.00022412767780696793,62,0.22736302018165588
coupa_past_normalized_seed17,coupa,past_normalized,17,1400,0.1868453025817871,0.026636024937033653,0.00021898514501151274,63,23.64595603942871
coupa_past_normalized_seed17,coupa,past_normalized,17,1450,4.045340061187744,0.002606642199680209,0.0002137385029724445,62,240.78909301757812
coupa_past_normalized_seed17,coupa,past_normalized,17,1500,2.0922977924346924,0.005812930408865213,0.00020839584567747136,61,133.9837646484375
coupa_past_normalized_seed17,coupa,past_normalized,17,1550,0.32836151123046875,0.04772969335317612,0.00020296541523690906,62,25.333396911621094
coupa_past_normalized_seed17,coupa,past_normalized,17,1600,0.1704295426607132,0.08474812656641006,0.00019745558916858856,64,14.306306838989258
coupa_past_normalized_seed17,coupa,past_normalized,17,1650,2.3164780139923096,0.029214870184659958,0.0001918748674738704,63,185.54959106445312
coupa_past_normalized_seed17,coupa,past_normalized,17,1700,0.005455535836517811,0.042733557522296906,0.0001862318595247038,61,0.40176790952682495
coupa_past_normalized_seed17,coupa,past_normalized,17,1750,0.4612800180912018,0.06582877039909363,0.00018053527078196,64,54.191802978515625
coupa_past_normalized_seed17,coupa,past_normalized,17,1800,0.4235956370830536,0.10224215686321259,0.0001747938893655294,61,53.92618942260742
coupa_past_normalized_seed17,coupa,past_normalized,17,1850,0.15450136363506317,0.15928712487220764,0.00016901657249690066,63,19.531158447265625
coupa_past_normalized_seed17,coupa,past_normalized,17,1900,0.6763884425163269,0.061291225254535675,0.00016321223283513668,62,39.93792724609375
coupa_past_normalized_seed17,coupa,past_normalized,17,1950,0.29519468545913696,0.008765121921896935,0.00015738982472732766,59,31.48632049560547
coupa_past_normalized_seed17,coupa,past_normalized,17,2000,0.0023252195678651333,0.05062839016318321,0.0001515583303947313,63,0.18365508317947388
coupa_past_normalized_seed17,coupa,past_normalized,17,2050,0.06504973024129868,0.09447852522134781,0.00014572674607591255,64,5.48274040222168
coupa_past_normalized_seed17,coupa,past_normalized,17,2100,1.3753145933151245,0.023082414641976357,0.00013990406814825762,61,115.50579833984375
coupa_past_normalized_seed17,coupa,past_normalized,17,2150,0.940967321395874,0.048420920968055725,0.0001340992792492751,64,119.91056060791016
coupa_past_normalized_seed17,coupa,past_normalized,17,2200,4.25117826461792,0.10264957696199417,0.00012832133441909274,62,525.47216796875
coupa_past_normalized_seed17,coupa,past_normalized,17,2250,0.060032058507204056,0.08922979980707169,0.00012257914728552898,60,5.038942813873291
coupa_past_normalized_seed17,coupa,past_normalized,17,2300,1.675304651260376,0.025374894961714745,0.00011688157631305119,64,109.20536804199219
