trial,site,seed,arm,rows,brier,mask_lift,own_prior_lift,auroc,auprc,ece,log_loss,mean_probability,positive_rate,training_prior,training_brier,mask_mean_shift,mask_varying_prediction,prior_mean_shift,prior_varying_prediction
past_rgb_coupa_seed43,coupa,43,past_rgb,4250,0.3082292556095962,-0.02240381230331497,-0.033583737027094496,0.5576030153163021,0.6237654523163161,0.2462218965072842,0.8503251187103883,0.3688676059246063,0.5990588235294118,0.4134297064665628,0.2061017671202732,-0.015083578721187013,-0.007320233582127949,-0.018529816732578225,-0.015053920294516174
mask_only_deathCircle_seed17,deathCircle,17,mask_only,3054,0.31089390403314493,0.0,-0.07103241727179384,0.4638858621195032,0.29441831475610875,0.24356364893355573,0.8385846082367978,0.5532946586608887,0.3231827111984283,0.46853002070393474,0.21323780963324612,0.0,0.0,-0.03182568691070744,-0.03920673036108639
past_rgb_deathCircle_seed17,deathCircle,17,past_rgb,3054,0.34114448688284416,-0.030250582849699184,-0.10128300012149301,0.45514621869499433,0.28920019619865683,0.2975664397697962,0.917660534317525,0.6114542484283447,0.3231827111984283,0.46853002070393474,0.20549939772408682,-0.03014896108378675,-0.00010162176591242689,-0.06197464799449419,-0.03930835212699882
mask_only_deathCircle_seed29,deathCircle,29,mask_only,3054,0.2895604032297054,0.0,-0.04969891646835427,0.4702364409309411,0.30031886815580666,0.20421922820075594,0.7860289934461052,0.5109361410140991,0.3231827111984283,0.46853002070393474,0.21417031584329813,0.0,0.0,-0.014125506669124356,-0.03557340979922988
past_rgb_deathCircle_seed29,deathCircle,29,past_rgb,3054,0.3107611088345569,-0.021200705604851496,-0.07089962207320576,0.4614869942047782,0.29574536767941884,0.24273631082312222,0.8372024736106222,0.5559163689613342,0.3231827111984283,0.46853002070393474,0.20434877311854,-0.018913597349135593,-0.0022871082557159444,-0.03303910401825995,-0.03786051805494582
mask_only_deathCircle_seed43,deathCircle,43,mask_only,3054,0.29654630570636525,0.0,-0.056684818945014114,0.47377298200260864,0.29957493300373267,0.23049168659529032,0.8011039845564292,0.5383071899414062,0.3231827111984283,0.46853002070393474,0.2153057261742146,0.0,0.0,-0.025152705193506583,-0.03153211375150754
past_rgb_deathCircle_seed43,deathCircle,43,past_rgb,3054,0.33048010791513655,-0.033933802208771326,-0.09061862115378544,0.4584499313523802,0.29073262665633975,0.2901927233678511,0.8827336043293919,0.6054601669311523,0.3231827111984283,0.46853002070393474,0.20833990065434843,-0.03340204383484642,-0.0005317583739248774,-0.058554749028353004,-0.032063872125432415
mask_only_gates_seed17,gates,17,mask_only,1662,0.25220366440755787,0.0,-0.01853642704615233,0.5640173299593589,0.2895328368345615,0.23656246767107003,0.7029914380797331,0.47859427332878113,0.2527075812274368,0.46441676322904546,0.21917280427767905,0.0,0.0,-0.006204026527535565,-0.012332400518616848
past_rgb_gates_seed17,gates,17,past_rgb,1662,0.2535225725743832,-0.0013189081668253887,-0.01985533521297772,0.606387546967257,0.3403784358044559,0.24158454009765487,0.7065085753733211,0.4901200234889984,0.2527075812274368,0.46441676322904546,0.213987367724241,-0.005339862335531888,0.004020954168706493,-0.011543888863067453,-0.008311446349910354
mask_only_gates_seed29,gates,29,mask_only,1662,0.24506289743799417,0.0,-0.011395660076588642,0.5598267004064106,0.2840830533290799,0.2144926675919233,0.6857171580220914,0.46454480290412903,0.2527075812274368,0.46441676322904546,0.21840880621716313,0.0,0.0,-5.4232914798772736e-05,-0.01134142716178996
past_rgb_gates_seed29,gates,29,past_rgb,1662,0.24370644027503696,0.0013564571629571542,-0.010039202913631485,0.5995264933670732,0.32528251274415154,0.21913865751056752,0.6864362603662679,0.46944940090179443,0.2527075812274368,0.46441676322904546,0.2132015776442829,-0.0021020099229535835,0.003458467085910735,-0.0021562428377523563,-0.007882960075879224
mask_only_gates_seed43,gates,43,mask_only,1662,0.246013358260519,0.0,-0.012346120899113489,0.5585959665669811,0.29830700879148353,0.22175349576441317,0.6834430858367663,0.47446107864379883,0.2527075812274368,0.46441676322904546,0.21980952661277575,0.0,0.0,-0.004353835139947443,-0.007992285759166136
past_rgb_gates_seed43,gates,43,past_rgb,1662,0.2716251502194056,-0.025611791958886593,-0.03795791285800008,0.5626581550494594,0.31620435442783157,0.2698431760375304,0.7424976793877462,0.5188443660736084,0.2527075812274368,0.46441676322904546,0.21462981615631666,-0.021654178240402347,-0.003957613718484252,-0.02600801338034979,-0.011949899477650388
mask_only_hyang_seed17,hyang,17,mask_only,6464,0.2821124670694587,0.0,-0.034573164768734566,0.4957065714324665,0.4507063594069796,0.1520873096756482,0.7880513109401814,0.43395882844924927,0.4503403465346535,0.44802011313639173,0.20593417027711586,0.0,0.0,-0.0002629706221946919,-0.03431019414653989
past_rgb_hyang_seed17,hyang,17,past_rgb,6464,0.288493565598297,-0.006381098528838305,-0.040954263297572874,0.5003010795063573,0.45394572357784857,0.1746007617483442,0.8121388072485982,0.3997550904750824,0.4503403465346535,0.44802011313639173,0.198218494699404,-0.0022905150334228963,-0.004090583495415412,-0.0025534856556175883,-0.0384007776419553
mask_only_hyang_seed29,hyang,29,mask_only,6464,0.287333861452684,0.0,-0.03979455915195991,0.4854893987430655,0.44606292340279985,0.16130016411856074,0.8115291680962881,0.4249628186225891,0.4503403465346535,0.44802011313639173,0.20821497772679098,0.0,0.0,-0.000638635216498403,-0.039155923935461516
past_rgb_hyang_seed29,hyang,29,past_rgb,6464,0.29644524258432187,-0.00911138113163785,-0.048905940283597765,0.4923346066527742,0.45420372398829545,0.1969808152756345,0.8476085445594309,0.3702634274959564,0.4503403465346535,0.44802011313639173,0.19612050167401773,-0.005768294535813789,-0.0033430865958240727,-0.006406929752312192,-0.04249901053128559
mask_only_hyang_seed43,hyang,43,mask_only,6464,0.2799325607394022,0.0,-0.03239325843867806,0.5087741374831126,0.46065617871121634,0.1466896514196351,0.7879838665722657,0.4236191213130951,0.4503403465346535,0.44802011313639173,0.2046441863288917,0.0,0.0,-0.0007086420095010501,-0.031684616429177026
past_rgb_hyang_seed43,hyang,43,past_rgb,6464,0.29651609071886104,-0.01658352997945887,-0.04897678841813693,0.4983009892018425,0.4508126615356485,0.19319847129278997,0.8466332507390919,0.3345310389995575,0.4503403465346535,0.44802011313639173,0.19615611000918418,-0.012697771959778397,-0.0038857580196804686,-0.013406413969279447,-0.035570374448857495
