trial,step,bce,gradient_norm
mask_only_bookstore_seed29,1500,0.6206759214401245,0.4637400507926941
mask_only_bookstore_seed29,1600,0.6627106666564941,0.5656192898750305
mask_only_bookstore_seed29,1700,0.5441652536392212,0.5730026960372925
mask_only_bookstore_seed29,1800,0.5409079790115356,0.6634374260902405
mask_only_bookstore_seed29,1900,0.5675970315933228,0.711661696434021
mask_only_bookstore_seed29,2000,0.6886876821517944,0.7555091977119446
past_rgb_bookstore_seed29,1,0.678642988204956,0.11736845225095749
past_rgb_bookstore_seed29,100,0.6874942779541016,0.11918184161186218
past_rgb_bookstore_seed29,200,0.6691621541976929,0.1154923290014267
past_rgb_bookstore_seed29,300,0.6550403833389282,0.21146123111248016
past_rgb_bookstore_seed29,400,0.6582107543945312,0.25338873267173767
past_rgb_bookstore_seed29,500,0.6191936135292053,0.3858499526977539
past_rgb_bookstore_seed29,600,0.5887179970741272,0.39990881085395813
past_rgb_bookstore_seed29,700,0.6440221071243286,0.42549392580986023
past_rgb_bookstore_seed29,800,0.614243745803833,0.5839740633964539
past_rgb_bookstore_seed29,900,0.6119929552078247,0.47039011120796204
past_rgb_bookstore_seed29,1000,0.6247788667678833,0.6418454647064209
past_rgb_bookstore_seed29,1100,0.6089200973510742,0.701892077922821
past_rgb_bookstore_seed29,1200,0.5985773801803589,0.6547423601150513
past_rgb_bookstore_seed29,1300,0.6290332078933716,0.7096778750419617
past_rgb_bookstore_seed29,1400,0.6317899227142334,0.742922306060791
past_rgb_bookstore_seed29,1500,0.5541732311248779,0.6249310970306396
past_rgb_bookstore_seed29,1600,0.6733258962631226,0.778274416923523
