head,kind,steps,resumed_phase_updates,seconds,parameters,draws,unique_rows,checkpoint_replay_rows,unknown_sampled,fixed_start_loss,fixed_end_loss,stochastic_start_loss,stochastic_end_loss
batch/heads/fold0_seed43_all_cv_risk,ranked_risk,2000,2000,2.7532623750012135,24579,512000,85034,4096,0,2.5062425748077883,1.9022852750384878,2.5062425748077883,1.9171296924229746
batch/heads/fold0_seed43_all_floor_utility,bounded_utility,2000,2000,1.638429290993372,24514,512000,85034,4096,0,,,0.09630866348743439,0.10204306244850159
batch/heads/fold0_seed43_all_floor_risk,ranked_risk,2000,2000,2.650661042003776,24579,512000,85034,4096,0,2.4311523514224715,1.9109941403106943,2.4311523514224715,1.852908348317867
batch/heads/fold0_seed43_easy_cv_utility,bounded_utility,2000,2000,2.251625832999707,24514,512000,85034,4096,0,,,0.13004107773303986,0.1429910808801651
batch/heads/fold0_seed43_easy_cv_risk,ranked_risk,2000,2000,2.4954154580045724,24579,512000,85034,4096,0,0.614308276968901,0.5277297988972517,0.614308276968901,0.3444698416967361
batch/heads/fold0_seed43_easy_floor_utility,bounded_utility,2000,2000,1.4801335410011234,24514,512000,85034,4096,0,,,0.12123174965381622,0.10249491035938263
batch/heads/fold0_seed43_easy_floor_risk,ranked_risk,2000,2000,2.4527825839904835,24579,512000,85034,4096,0,0.7305250074165175,0.5976407107339397,0.7305250074165175,0.4084947650556864
batch/heads/fold1_seed17_all_cv_utility,bounded_utility,2000,2000,1.555758667003829,24514,512000,23265,4096,0,,,0.4657004773616791,0.14034706354141235
batch/heads/fold1_seed17_all_cv_risk,ranked_risk,2000,2000,2.6199052090087207,24579,512000,23265,4096,0,2.213960598930107,1.4885639509547273,2.213960598930107,1.3377413945428958
batch/heads/fold1_seed17_all_floor_utility,bounded_utility,2000,2000,1.5978517920011654,24514,512000,23265,4096,0,,,0.33199024200439453,0.10309851169586182
batch/heads/fold1_seed17_all_floor_risk,ranked_risk,2000,2000,2.5734263329941314,24579,512000,23265,4096,0,2.193207203585593,1.5230053230600513,2.193207203585593,1.3626516599885043
batch/heads/fold1_seed17_easy_cv_utility,bounded_utility,2000,2000,1.2471579169941833,24514,512000,23265,4096,0,,,0.4646730124950409,0.13555675745010376
batch/heads/fold1_seed17_easy_cv_risk,ranked_risk,2000,2000,2.1697995830036234,24579,512000,23265,4096,0,0.4817334189605247,0.4508245087751127,0.4817334189605247,0.17718824336597866
batch/heads/fold1_seed17_easy_floor_utility,bounded_utility,2000,2000,1.2544794580026064,24514,512000,23265,4096,0,,,0.37376096844673157,0.11533911526203156
batch/heads/fold1_seed17_easy_floor_risk,ranked_risk,2000,2000,1.9645601669908501,24579,512000,23265,4096,0,0.5030150239150117,0.48440564743964454,0.5030150239150117,0.26100706400760904
batch/heads/fold1_seed29_all_cv_utility,bounded_utility,2000,2000,1.546217125011026,24514,512000,23265,4096,0,,,0.1537100076675415,0.15187497437000275
batch/heads/fold1_seed29_all_cv_risk,ranked_risk,2000,2000,3.285146041002008,24579,512000,23265,4096,0,2.1916859908239155,1.5847495598955992,2.1916859908239155,1.8538022941254952
batch/heads/fold1_seed29_all_floor_utility,bounded_utility,2000,2000,1.7160222079983214,24514,512000,23265,4096,0,,,0.12930554151535034,0.11491750180721283
batch/heads/fold1_seed29_all_floor_risk,ranked_risk,2000,2000,3.3805521670001326,24579,512000,23265,4096,0,2.18854113047243,1.5020998541822443,2.18854113047243,1.7696846485722721
batch/heads/fold1_seed29_easy_cv_utility,bounded_utility,2000,2000,1.3743431249895366,24514,512000,23265,4096,0,,,0.15375171601772308,0.1355520784854889
batch/heads/fold1_seed29_easy_cv_risk,ranked_risk,2000,2000,2.1784765830088872,24579,512000,23265,4096,0,0.7687318110503552,0.8438107055664474,0.7687318110503552,0.6300718351616084
batch/heads/fold1_seed29_easy_floor_utility,bounded_utility,2000,2000,1.325122750000446,24514,512000,23265,4096,0,,,0.1431354582309723,0.13068006932735443
batch/heads/fold1_seed29_easy_floor_risk,ranked_risk,2000,2000,2.9155721249990165,24579,512000,23265,4096,0,0.7171450210507107,0.8089536027234389,0.7171450210507107,0.6439078355336643
batch/heads/fold1_seed43_all_cv_utility,bounded_utility,2000,2000,2.8628972500009695,24514,512000,23265,4096,0,,,0.15351460874080658,0.13168439269065857
batch/heads/fold1_seed43_all_cv_risk,ranked_risk,2000,2000,3.9686155840026913,24579,512000,23265,4096,0,2.0991541946682575,1.8049092363604522,2.0991541946682575,2.251372898490698
batch/heads/fold1_seed43_all_floor_utility,bounded_utility,2000,2000,1.8035557079856517,24514,512000,23265,4096,0,,,0.10462772846221924,0.12354167550802231
batch/heads/fold1_seed43_all_floor_risk,ranked_risk,2000,2000,3.3412316250032745,24579,512000,23265,4096,0,2.019605409370474,1.7072340585457635,2.019605409370474,2.280902958052053
batch/heads/fold1_seed43_easy_cv_utility,bounded_utility,2000,2000,2.031217999989167,24514,512000,23265,4096,0,,,0.14996901154518127,0.136807382106781
batch/heads/fold1_seed43_easy_cv_risk,ranked_risk,2000,2000,2.7435917499969946,24579,512000,23265,4096,0,1.3850443075508778,1.565414816119333,1.3850443075508778,0.3451751794917749
batch/heads/fold1_seed43_easy_floor_utility,bounded_utility,2000,2000,2.0161955840012524,24514,512000,23265,4096,0,,,0.1205107569694519,0.12179410457611084
batch/heads/fold1_seed43_easy_floor_risk,ranked_risk,2000,2000,3.322312125004828,24579,512000,23265,4096,0,0.8718281973846941,0.8973335874935535,0.8718281973846941,0.40728289164258064
batch/heads/fold2_seed17_all_cv_utility,bounded_utility,2000,2000,1.4379301659937482,24514,512000,103722,4096,0,,,0.1467476636171341,0.09759838879108429
batch/heads/fold2_seed17_all_cv_risk,ranked_risk,2000,2000,2.553734542001621,24579,512000,103722,4096,0,3.731528910266733,2.4780383595292115,3.731528910266733,1.746103201795066
