model,scene,ADE,CV_ADE,FDE,CV_FDE,ADE_p95,ADE_p99,CV_ADE_p95,ADE_rows,FDE_rows,coordinate_unit,source,json_pointer
"EqMotion K=1, uncontrolled",gates,18.41884650131641,19.761524366102755,42.14427629421264,45.46659279476251,59.91858138691147,105.64126842562898,63.51413075556157,20236,15306,annotation_pixel,native_eqmotion_v1,/summaries/eqmotion/mean_seed
"EqMotion K=1, uncontrolled",hyang,13.64948121997983,15.923360932222653,28.356719248439216,33.48042611082892,42.88988998395774,75.97827491743989,48.7622634939038,89183,76443,annotation_pixel,native_eqmotion_v1,/summaries/eqmotion/mean_seed
Native-cost strict,coupa,11.774932518339533,11.908205875359586,23.74069013558728,24.039198986980004,44.975104744133205,76.92798438212425,45.2720158430477,27778,24835,annotation_pixel,cost_budget_matched_v1,/summaries/native/strict_stop
Native-cost strict,deathCircle,23.257399298174043,24.81068191340851,50.91482129146464,54.872850094151254,72.51222985797632,173.3030300644362,74.1003428865828,35760,27426,annotation_pixel,cost_budget_matched_v1,/summaries/native/strict_stop
Native-cost strict,gates,19.29550743945583,19.761524366102755,44.441096796308315,45.46659279476251,62.11625556437133,111.26585999949843,63.51413075556157,20236,15306,annotation_pixel,cost_budget_matched_v1,/summaries/native/strict_stop
Native-cost strict,hyang,15.520365400403728,15.923360932222653,32.591507651409664,33.48042611082892,48.23387942821682,85.83692011738982,48.7622634939038,89183,76443,annotation_pixel,cost_budget_matched_v1,/summaries/native/strict_stop
Fraction-cost strict,coupa,11.481204225486403,11.908205875359586,23.081738906878375,24.039198986980004,45.17512457583948,77.44037881469777,45.2720158430477,27778,24835,annotation_pixel,cost_budget_matched_v1,/summaries/fraction/strict_stop
Fraction-cost strict,deathCircle,24.581649299518944,24.81068191340851,54.31597283179791,54.872850094151254,73.76594498344,185.02044184775963,74.1003428865828,35760,27426,annotation_pixel,cost_budget_matched_v1,/summaries/fraction/strict_stop
Fraction-cost strict,gates,19.591058410026037,19.761524366102755,45.09715657893354,45.46659279476251,63.09803660167486,119.08294826711007,63.51413075556157,20236,15306,annotation_pixel,cost_budget_matched_v1,/summaries/fraction/strict_stop
Fraction-cost strict,hyang,15.722859902552312,15.923360932222653,33.03431488892058,33.48042611082892,48.520441250767064,88.00899747375666,48.7622634939038,89183,76443,annotation_pixel,cost_budget_matched_v1,/summaries/fraction/strict_stop
Intermediate-cost strict,coupa,11.430051957637659,11.908205875359586,22.980007593149903,24.039198986980004,44.84702339214345,76.75399987309075,45.2720158430477,27778,24835,annotation_pixel,cost_budget_matched_v1,/summaries/tempered/strict_stop
Intermediate-cost strict,deathCircle,23.244064142842472,24.81068191340851,50.957277415645805,54.872850094151254,72.94877510916474,175.77078255594697,74.1003428865828,35760,27426,annotation_pixel,cost_budget_matched_v1,/summaries/tempered/strict_stop
Intermediate-cost strict,gates,19.37318576987481,19.761524366102755,44.626912533177546,45.46659279476251,62.76432147212877,112.4786286119156,63.51413075556157,20236,15306,annotation_pixel,cost_budget_matched_v1,/summaries/tempered/strict_stop
Intermediate-cost strict,hyang,15.50601848244,15.923360932222653,32.56476366482311,33.48042611082892,48.36527034881691,86.83344258302348,48.7622634939038,89183,76443,annotation_pixel,cost_budget_matched_v1,/summaries/tempered/strict_stop
Region-weighted strict,coupa,11.418064144913089,11.908205875359586,22.976334352618306,24.039198986980004,44.9711774914974,76.16355791850339,45.2720158430477,27778,24835,annotation_pixel,conditional_cost_v1,/summaries/strict_stop
Region-weighted strict,deathCircle,23.0668502020852,24.81068191340851,50.53473652680187,54.872850094151254,72.78810791727767,171.54027862425284,74.1003428865828,35760,27426,annotation_pixel,conditional_cost_v1,/summaries/strict_stop
Region-weighted strict,gates,19.29599212969484,19.761524366102755,44.42730135819732,45.46659279476251,62.63263520135513,111.15892674898663,63.51413075556157,20236,15306,annotation_pixel,conditional_cost_v1,/summaries/strict_stop
Region-weighted strict,hyang,15.463137358522905,15.923360932222653,32.46575080221016,33.48042611082892,48.23951736527267,86.38508051436622,48.7622634939038,89183,76443,annotation_pixel,conditional_cost_v1,/summaries/strict_stop
Region-weighted net-gain,coupa,10.469120116989851,11.908205875359586,20.905136214163207,24.039198986980004,42.01469817478207,73.62846095001356,45.2720158430477,27778,24835,annotation_pixel,conditional_cost_v1,/summaries/net_stop
Region-weighted net-gain,deathCircle,21.37838818972642,24.81068191340851,46.44908115581279,54.872850094151254,69.11983043167217,156.48384250071138,74.1003428865828,35760,27426,annotation_pixel,conditional_cost_v1,/summaries/net_stop
Region-weighted net-gain,gates,18.1633749697521,19.761524366102755,41.73873863977776,45.46659279476251,59.8916826649838,105.90574038309649,63.51413075556157,20236,15306,annotation_pixel,conditional_cost_v1,/summaries/net_stop
Region-weighted net-gain,hyang,13.726387268932578,15.923360932222653,28.605367308117295,33.48042611082892,43.43320217579562,77.55261417364822,48.7622634939038,89183,76443,annotation_pixel,conditional_cost_v1,/summaries/net_stop
