family,candidate,control,lower_fraction,upper_fraction,queries,predicted_harm_mean,observed_harm_lower_bound_mean,fully_scored_selected_queries,exact_harm_mean,predicted_harm_mean_on_exact_subset
transformer,seed29_ridge_moderate,independent_coupling_reference,0.0,0.25,970,0.0006025122898960814,0.005189100202512142,169,0.007079298117859633,0.0004209901963439836
transformer,seed29_ridge_moderate,independent_coupling_reference,0.25,0.5,0,,,0,,
transformer,seed29_ridge_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed29_ridge_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed29_ridge_moderate,unary_geometry_exact_count,0.0,0.25,970,0.0006025122898960814,0.005189100202512142,169,0.007079298117859633,0.0004209901963439836
transformer,seed29_ridge_moderate,unary_geometry_exact_count,0.25,0.5,0,,,0,,
transformer,seed29_ridge_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_ridge_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_ridge_moderate,joint_coupling_exact_count,0.0,0.25,970,0.0006025122898960814,0.005189100202512142,169,0.007079298117859633,0.0004209901963439836
transformer,seed29_ridge_moderate,joint_coupling_exact_count,0.25,0.5,0,,,0,,
transformer,seed29_ridge_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_ridge_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_neural_cost_conservative,independent_coupling_reference,0.0,0.25,954,0.00038377172386275753,0.00030969676465892557,689,0.00028613073076117683,0.00020299203083034775
transformer,seed29_neural_cost_conservative,independent_coupling_reference,0.25,0.5,16,0.0033642233320279047,0.0019945342615973133,3,0.005622988057151559,0.0025804367226858935
transformer,seed29_neural_cost_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed29_neural_cost_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed29_neural_cost_conservative,unary_geometry_exact_count,0.0,0.25,954,0.00038377172386275753,0.00030969676465892557,689,0.00028613073076117683,0.00020299203083034775
transformer,seed29_neural_cost_conservative,unary_geometry_exact_count,0.25,0.5,16,0.0033642233320279047,0.0019945342615973133,3,0.005622988057151559,0.0025804367226858935
transformer,seed29_neural_cost_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_neural_cost_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_neural_cost_conservative,joint_coupling_exact_count,0.0,0.25,954,0.00038377172386275753,0.00030969676465892557,689,0.00028613073076117683,0.00020299203083034775
transformer,seed29_neural_cost_conservative,joint_coupling_exact_count,0.25,0.5,16,0.0033642233320279047,0.0019945342615973133,3,0.005622988057151559,0.0025804367226858935
transformer,seed29_neural_cost_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_neural_cost_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_neural_cost_moderate,independent_coupling_reference,0.0,0.25,959,0.0012709111409865508,0.00068556781068225,563,0.0005911179004717397,0.0006387184332123338
transformer,seed29_neural_cost_moderate,independent_coupling_reference,0.25,0.5,11,0.009166444101455536,0.003529252086266303,4,0.007573724081290352,0.0087682637386024
transformer,seed29_neural_cost_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed29_neural_cost_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed29_neural_cost_moderate,unary_geometry_exact_count,0.0,0.25,959,0.0012709111409865508,0.00068556781068225,563,0.0005911179004717397,0.0006387184332123338
transformer,seed29_neural_cost_moderate,unary_geometry_exact_count,0.25,0.5,11,0.009166444101455536,0.003529252086266303,4,0.007573724081290352,0.0087682637386024
transformer,seed29_neural_cost_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_neural_cost_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_neural_cost_moderate,joint_coupling_exact_count,0.0,0.25,959,0.0012709111409865508,0.00068556781068225,563,0.0005911179004717397,0.0006387184332123338
transformer,seed29_neural_cost_moderate,joint_coupling_exact_count,0.25,0.5,11,0.009166444101455536,0.003529252086266303,4,0.007573724081290352,0.0087682637386024
transformer,seed29_neural_cost_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_neural_cost_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_ridge_conservative,independent_coupling_reference,0.0,0.25,970,2.8098581421929958e-05,0.012435203530298871,815,0.010513569588780232,1.8642053055373255e-05
transformer,seed43_ridge_conservative,independent_coupling_reference,0.25,0.5,0,,,0,,
transformer,seed43_ridge_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed43_ridge_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed43_ridge_conservative,unary_geometry_exact_count,0.0,0.25,970,2.8098581421929958e-05,0.012435203530298871,815,0.010513569588780232,1.8642053055373255e-05
transformer,seed43_ridge_conservative,unary_geometry_exact_count,0.25,0.5,0,,,0,,
transformer,seed43_ridge_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed43_ridge_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_ridge_conservative,joint_coupling_exact_count,0.0,0.25,970,2.8098581421929958e-05,0.012435203530298871,815,0.010513569588780232,1.8642053055373255e-05
transformer,seed43_ridge_conservative,joint_coupling_exact_count,0.25,0.5,0,,,0,,
transformer,seed43_ridge_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed43_ridge_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_ridge_moderate,independent_coupling_reference,0.0,0.25,970,7.293399835432246e-05,0.012884706339699738,770,0.010968854693444606,4.386127405286498e-05
transformer,seed43_ridge_moderate,independent_coupling_reference,0.25,0.5,0,,,0,,
transformer,seed43_ridge_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed43_ridge_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed43_ridge_moderate,unary_geometry_exact_count,0.0,0.25,970,7.293399835432246e-05,0.012884706339699738,770,0.010968854693444606,4.386127405286498e-05
transformer,seed43_ridge_moderate,unary_geometry_exact_count,0.25,0.5,0,,,0,,
transformer,seed43_ridge_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed43_ridge_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_ridge_moderate,joint_coupling_exact_count,0.0,0.25,970,7.293399835432246e-05,0.012884706339699738,770,0.010968854693444606,4.386127405286498e-05
transformer,seed43_ridge_moderate,joint_coupling_exact_count,0.25,0.5,0,,,0,,
transformer,seed43_ridge_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed43_ridge_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_neural_cost_conservative,independent_coupling_reference,0.0,0.25,948,0.00044425650811870566,0.0009516269094346559,802,0.0009868521259884533,0.00033980110107624306
transformer,seed43_neural_cost_conservative,independent_coupling_reference,0.25,0.5,20,0.003044761065393686,0.004940750902726218,9,0.004876083010432452,0.003262009523395035
transformer,seed43_neural_cost_conservative,independent_coupling_reference,0.5,0.75,2,0.005362611962482333,0.0,0,,
transformer,seed43_neural_cost_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed43_neural_cost_conservative,unary_geometry_exact_count,0.0,0.25,948,0.00044425650811870566,0.0009516269094346559,802,0.0009868521259884533,0.00033980110107624306
transformer,seed43_neural_cost_conservative,unary_geometry_exact_count,0.25,0.5,20,0.003044761065393686,0.004940750902726218,9,0.004876083010432452,0.003262009523395035
transformer,seed43_neural_cost_conservative,unary_geometry_exact_count,0.5,0.75,2,0.005362611962482333,0.0,0,,
transformer,seed43_neural_cost_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_neural_cost_conservative,joint_coupling_exact_count,0.0,0.25,948,0.00044425650811870566,0.0009516269094346559,802,0.0009868521259884533,0.00033980110107624306
transformer,seed43_neural_cost_conservative,joint_coupling_exact_count,0.25,0.5,20,0.003044761065393686,0.004940750902726218,9,0.004876083010432452,0.003262009523395035
transformer,seed43_neural_cost_conservative,joint_coupling_exact_count,0.5,0.75,2,0.005362611962482333,0.0,0,,
transformer,seed43_neural_cost_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_neural_cost_moderate,independent_coupling_reference,0.0,0.25,959,0.0013522049435067448,0.0021608168017783844,672,0.0019066447610509402,0.0008197394053560918
transformer,seed43_neural_cost_moderate,independent_coupling_reference,0.25,0.5,11,0.009565007280219685,0.0005247844229969438,3,0.00027877531898196545,0.00806900051732858
transformer,seed43_neural_cost_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed43_neural_cost_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed43_neural_cost_moderate,unary_geometry_exact_count,0.0,0.25,959,0.0013522049435067448,0.0021608168017783844,672,0.0019066447610509402,0.0008197394053560918
transformer,seed43_neural_cost_moderate,unary_geometry_exact_count,0.25,0.5,11,0.009565007280219685,0.0005247844229969438,3,0.00027877531898196545,0.00806900051732858
transformer,seed43_neural_cost_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed43_neural_cost_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed43_neural_cost_moderate,joint_coupling_exact_count,0.0,0.25,959,0.0013522049435067448,0.0021608168017783844,672,0.0019066447610509402,0.0008197394053560918
transformer,seed43_neural_cost_moderate,joint_coupling_exact_count,0.25,0.5,11,0.009565007280219685,0.0005247844229969438,3,0.00027877531898196545,0.00806900051732858
transformer,seed43_neural_cost_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed43_neural_cost_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_ridge_conservative,independent_coupling_reference,0.0,0.25,970,6.415970426001578e-05,0.08109441331093015,395,0.07984638948873755,4.668493361983749e-05
eqmotion,seed17_ridge_conservative,independent_coupling_reference,0.25,0.5,0,,,0,,
eqmotion,seed17_ridge_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed17_ridge_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed17_ridge_conservative,unary_geometry_exact_count,0.0,0.25,970,6.415970426001578e-05,0.08109441331093015,395,0.07984638948873755,4.668493361983749e-05
eqmotion,seed17_ridge_conservative,unary_geometry_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed17_ridge_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_ridge_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_ridge_conservative,joint_coupling_exact_count,0.0,0.25,970,6.415970426001578e-05,0.08109441331093015,395,0.07984638948873755,4.668493361983749e-05
eqmotion,seed17_ridge_conservative,joint_coupling_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed17_ridge_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_ridge_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_ridge_moderate,independent_coupling_reference,0.0,0.25,970,0.00017595719840774672,0.08213802704605032,324,0.0675142646213017,0.00012690583584296775
eqmotion,seed17_ridge_moderate,independent_coupling_reference,0.25,0.5,0,,,0,,
eqmotion,seed17_ridge_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed17_ridge_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed17_ridge_moderate,unary_geometry_exact_count,0.0,0.25,970,0.00017595719840774672,0.08213802704605032,324,0.0675142646213017,0.00012690583584296775
eqmotion,seed17_ridge_moderate,unary_geometry_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed17_ridge_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_ridge_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_ridge_moderate,joint_coupling_exact_count,0.0,0.25,970,0.00017595719840774672,0.08213802704605032,324,0.0675142646213017,0.00012690583584296775
eqmotion,seed17_ridge_moderate,joint_coupling_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed17_ridge_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_ridge_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_neural_cost_conservative,independent_coupling_reference,0.0,0.25,966,0.0001165293250181717,0.00075245680409245,928,0.0007795145991022155,7.85339993618781e-05
eqmotion,seed17_neural_cost_conservative,independent_coupling_reference,0.25,0.5,4,0.003117075772024691,0.0014904818854960793,1,0.0,0.0027660802006721497
eqmotion,seed17_neural_cost_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed17_neural_cost_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed17_neural_cost_conservative,unary_geometry_exact_count,0.0,0.25,966,0.0001165293250181717,0.00075245680409245,928,0.0007795145991022155,7.85339993618781e-05
eqmotion,seed17_neural_cost_conservative,unary_geometry_exact_count,0.25,0.5,4,0.003117075772024691,0.0014904818854960793,1,0.0,0.0027660802006721497
eqmotion,seed17_neural_cost_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_neural_cost_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_neural_cost_conservative,joint_coupling_exact_count,0.0,0.25,966,0.0001165293250181717,0.00075245680409245,928,0.0007795145991022155,7.85339993618781e-05
eqmotion,seed17_neural_cost_conservative,joint_coupling_exact_count,0.25,0.5,4,0.003117075772024691,0.0014904818854960793,1,0.0,0.0027660802006721497
eqmotion,seed17_neural_cost_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_neural_cost_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_neural_cost_moderate,independent_coupling_reference,0.0,0.25,966,0.0006446523411570117,0.0013932004951570046,838,0.001528864117695613,0.0003688238185838159
eqmotion,seed17_neural_cost_moderate,independent_coupling_reference,0.25,0.5,4,0.00880106131080538,0.001957278983490912,0,,
eqmotion,seed17_neural_cost_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed17_neural_cost_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed17_neural_cost_moderate,unary_geometry_exact_count,0.0,0.25,966,0.0006446523411570117,0.0013932004951570046,838,0.001528864117695613,0.0003688238185838159
eqmotion,seed17_neural_cost_moderate,unary_geometry_exact_count,0.25,0.5,4,0.00880106131080538,0.001957278983490912,0,,
eqmotion,seed17_neural_cost_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_neural_cost_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed17_neural_cost_moderate,joint_coupling_exact_count,0.0,0.25,966,0.0006446523411570117,0.0013932004951570046,838,0.001528864117695613,0.0003688238185838159
eqmotion,seed17_neural_cost_moderate,joint_coupling_exact_count,0.25,0.5,4,0.00880106131080538,0.001957278983490912,0,,
eqmotion,seed17_neural_cost_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed17_neural_cost_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_ridge_conservative,independent_coupling_reference,0.0,0.25,969,0.00017812094274920434,0.09992321168934082,186,0.1392315554062308,0.00017232820019727867
eqmotion,seed29_ridge_conservative,independent_coupling_reference,0.25,0.5,1,0.00282292696647346,0.0,1,0.0,0.00282292696647346
eqmotion,seed29_ridge_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed29_ridge_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed29_ridge_conservative,unary_geometry_exact_count,0.0,0.25,969,0.000177856475551041,0.09992785276898625,187,0.13855961945820935,0.00017235716413134872
eqmotion,seed29_ridge_conservative,unary_geometry_exact_count,0.25,0.5,1,0.00282292696647346,0.0,1,0.0,0.00282292696647346
eqmotion,seed29_ridge_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_ridge_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_ridge_conservative,joint_coupling_exact_count,0.0,0.25,969,0.00017835926498006017,0.09992022948900907,186,0.13922963037856206,0.00017232820019727867
eqmotion,seed29_ridge_conservative,joint_coupling_exact_count,0.25,0.5,1,0.00282292696647346,0.0,1,0.0,0.00282292696647346
eqmotion,seed29_ridge_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_ridge_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_ridge_moderate,independent_coupling_reference,0.0,0.25,970,0.0011393291401310711,0.1036440437962986,86,0.14002811256667097,0.0007121527757146057
eqmotion,seed29_ridge_moderate,independent_coupling_reference,0.25,0.5,0,,,0,,
eqmotion,seed29_ridge_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed29_ridge_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed29_ridge_moderate,unary_geometry_exact_count,0.0,0.25,970,0.0011362419855423778,0.103634749133568,86,0.14002811256667097,0.0007121527757146057
eqmotion,seed29_ridge_moderate,unary_geometry_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed29_ridge_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_ridge_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_ridge_moderate,joint_coupling_exact_count,0.0,0.25,970,0.0011372176382764402,0.10363568381689284,86,0.14002811256667097,0.0007121527757146057
eqmotion,seed29_ridge_moderate,joint_coupling_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed29_ridge_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_ridge_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_neural_cost_conservative,independent_coupling_reference,0.0,0.25,944,0.00043287943486393295,0.0022178412484478217,690,0.0018633941219812118,0.00027006968590496293
eqmotion,seed29_neural_cost_conservative,independent_coupling_reference,0.25,0.5,26,0.003051178538813614,0.011325671343638929,2,0.0012851255531753831,0.0034684546990320086
eqmotion,seed29_neural_cost_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed29_neural_cost_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed29_neural_cost_conservative,unary_geometry_exact_count,0.0,0.25,944,0.00043287943486393295,0.0022178412484478217,690,0.0018633941219812118,0.00027006968590496293
eqmotion,seed29_neural_cost_conservative,unary_geometry_exact_count,0.25,0.5,26,0.003051178538813614,0.011325671343638929,2,0.0012851255531753831,0.0034684546990320086
eqmotion,seed29_neural_cost_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_neural_cost_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_neural_cost_conservative,joint_coupling_exact_count,0.0,0.25,944,0.00043287943486393295,0.0022178412484478217,690,0.0018633941219812118,0.00027006968590496293
eqmotion,seed29_neural_cost_conservative,joint_coupling_exact_count,0.25,0.5,26,0.003051178538813614,0.011325671343638929,2,0.0012851255531753831,0.0034684546990320086
eqmotion,seed29_neural_cost_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_neural_cost_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_neural_cost_moderate,independent_coupling_reference,0.0,0.25,953,0.0013822200284093037,0.005326995195167047,571,0.00495149012090166,0.0008087084494010904
