family,candidate,control,queries,switched_queries,unknown_selected_agents,predicted_budget_failure_queries,mean_query_predicted_harm,mean_query_harm_lower_bound,mean_past_agent_harm_lower_bound,easy_degradation_percent,proven_exceeds_queries,proven_exceeds_easy_harm_fraction,known_within_queries,known_within_easy_harm_fraction,indeterminate_queries,indeterminate_easy_harm_fraction
transformer,seed29_ridge_moderate,joint_coupling_exact_count,970,963,2024,0,0.0006025122898960814,0.005189100202512142,0.005147561779559712,669.3811880999037,23,0.7164992265208208,162,0.05345486854948631,785,0.23004590492969343
transformer,seed29_neural_cost_conservative,independent_coupling_reference,970,464,328,0,0.0004329338122448631,0.00033748789862904333,0.0003526654189954541,31.307190495917396,0,0.0,692,0.5175025086123086,278,0.4824974913876917
transformer,seed29_neural_cost_conservative,unary_geometry_exact_count,970,464,328,0,0.0004329338122448631,0.00033748789862904333,0.0003526654189954541,31.307190495917396,0,0.0,692,0.5175025086123086,278,0.4824974913876917
transformer,seed29_neural_cost_conservative,joint_coupling_exact_count,970,464,328,0,0.0004329338122448631,0.00033748789862904333,0.0003526654189954541,31.307190495917396,0,0.0,692,0.5175025086123086,278,0.4824974913876917
transformer,seed29_neural_cost_moderate,independent_coupling_reference,970,647,578,0,0.0013604481127032094,0.000717815776694028,0.0007284075217706568,69.88805705941097,0,0.0,567,0.44805963543268285,403,0.5519403645673169
transformer,seed29_neural_cost_moderate,unary_geometry_exact_count,970,647,578,0,0.0013604481127032094,0.000717815776694028,0.0007284075217706568,69.88805705941097,0,0.0,567,0.44805963543268285,403,0.5519403645673169
transformer,seed29_neural_cost_moderate,joint_coupling_exact_count,970,647,578,0,0.0013604481127032094,0.000717815776694028,0.0007284075217706568,69.88805705941097,0,0.0,567,0.44805963543268285,403,0.5519403645673169
transformer,seed43_ridge_conservative,independent_coupling_reference,970,538,197,0,2.8098581421929958e-05,0.012435203530298871,0.009553451961728557,1874.2249781771102,107,0.9650931374435533,732,0.027488620953646747,131,0.007418241602799873
transformer,seed43_ridge_conservative,unary_geometry_exact_count,970,538,197,0,2.8098581421929958e-05,0.012435203530298871,0.009553451961728557,1874.2249781771102,107,0.9650931374435533,732,0.027488620953646747,131,0.007418241602799873
transformer,seed43_ridge_conservative,joint_coupling_exact_count,970,538,197,0,2.8098581421929958e-05,0.012435203530298871,0.009553451961728557,1874.2249781771102,107,0.9650931374435533,732,0.027488620953646747,131,0.007418241602799873
transformer,seed43_ridge_moderate,independent_coupling_reference,970,650,268,0,7.293399835432246e-05,0.012884706339699738,0.01000822323045776,1953.699663375879,104,0.9505647965764409,697,0.03760544490568997,169,0.011829758517868966
transformer,seed43_ridge_moderate,unary_geometry_exact_count,970,650,268,0,7.293399835432246e-05,0.012884706339699738,0.01000822323045776,1953.699663375879,104,0.9505647965764409,697,0.03760544490568997,169,0.011829758517868966
transformer,seed43_ridge_moderate,joint_coupling_exact_count,970,650,268,0,7.293399835432246e-05,0.012884706339699738,0.01000822323045776,1953.699663375879,104,0.9505647965764409,697,0.03760544490568997,169,0.011829758517868966
transformer,seed43_neural_cost_conservative,independent_coupling_reference,970,632,183,0,0.0005080160978653313,0.0010319147713387404,0.001104585636202837,146.95806486287944,13,0.301729376970153,799,0.5787756776830302,158,0.11949494534681593
transformer,seed43_neural_cost_conservative,unary_geometry_exact_count,970,632,183,0,0.0005080160978653313,0.0010319147713387404,0.001104585636202837,146.95806486287944,13,0.301729376970153,799,0.5787756776830302,158,0.11949494534681593
transformer,seed43_neural_cost_conservative,joint_coupling_exact_count,970,632,183,0,0.0005080160978653313,0.0010319147713387404,0.001104585636202837,146.95806486287944,13,0.301729376970153,799,0.5787756776830302,158,0.11949494534681593
transformer,seed43_neural_cost_moderate,independent_coupling_reference,970,773,407,0,0.001445339815366376,0.0021422638572767393,0.0021893884834019352,339.1926969014232,6,0.28012141328524226,673,0.5024862390529871,291,0.21739234766177046
transformer,seed43_neural_cost_moderate,unary_geometry_exact_count,970,773,407,0,0.001445339815366376,0.0021422638572767393,0.0021893884834019352,339.1926969014232,6,0.28012141328524226,673,0.5024862390529871,291,0.21739234766177046
