trial,family,schedule,seed,held_site,rows,agents,positive_rate,reference_prior,brier,brier_lift,auroc,auprc,ece,log_loss,training_weighted_brier,clipping_fraction,source_constant_prior_brier,source_constant_prior_lift
logistic_mixed_seed17_fold1,logistic,mixed,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.3162408433789277,0.0038453728588385694,0.496574143535884,0.508821845975195,0.2250300561817175,0.8662152222220072,0.17238485922420188,0.00079329733340756,0.2479353168156664,-0.0683055265632613
logistic_mixed_seed29_fold0,logistic,mixed,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.28873711706757155,-0.015907813935238213,0.5562403697996918,0.7822661755245889,0.2934700977362429,0.7822202657907998,0.21171879761349582,0.0,0.27607036880805447,-0.01266674825951708
logistic_mixed_seed29_fold1,logistic,mixed,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.3162408433789277,0.0038453728588385694,0.496574143535884,0.508821845975195,0.2250300561817175,0.8662152222220072,0.17238485922420188,0.00079329733340756,0.2479353168156664,-0.0683055265632613
logistic_mixed_seed43_fold0,logistic,mixed,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.28873711706757155,-0.015907813935238213,0.5562403697996918,0.7822661755245889,0.2934700977362429,0.7822202657907998,0.21171879761349582,0.0,0.27607036880805447,-0.01266674825951708
logistic_mixed_seed43_fold1,logistic,mixed,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.3162408433789277,0.0038453728588385694,0.496574143535884,0.508821845975195,0.2250300561817175,0.8662152222220072,0.17238485922420188,0.00079329733340756,0.2479353168156664,-0.0683055265632613
extra_trees_main_only_seed17_fold0,extra_trees,main_only,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2618083095497541,0.011020993582579242,0.6147919876733436,0.8084035891882154,0.2383177029777581,0.7409310457904251,0.07254407411338293,0.0,0.27607036880805447,0.014262059258300375
extra_trees_main_only_seed17_fold1,extra_trees,main_only,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.4217236387669488,-0.10163742252918251,0.3808202050512628,0.4034950070929869,0.3777360215269048,1.3029237742027728,0.034123423629437044,0.0,0.2479353168156664,-0.17378832195128238
extra_trees_main_only_seed29_fold0,extra_trees,main_only,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2665075540762299,0.006321749056103443,0.6117103235747303,0.7965082169871464,0.24533192849929875,0.7485458505819599,0.07358327905008427,0.0,0.27607036880805447,0.009562814731824576
extra_trees_main_only_seed29_fold1,extra_trees,main_only,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.4223045629848809,-0.10221834674711461,0.3781445361340335,0.4014031079793412,0.3724063961989262,1.3148252884720035,0.03362889437690477,0.0,0.2479353168156664,-0.17436924616921448
extra_trees_main_only_seed43_fold0,extra_trees,main_only,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2645982742298899,0.008231028902443427,0.6086286594761171,0.8197196894468893,0.24076599480216762,0.7404575553349443,0.07192124174404183,0.0,0.27607036880805447,0.01147209457816456
