group,arm,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed29_easy,floor_both,ADE_vs_CV,easy,eu-locality-020,695,1.6106738355339651,1.6834998531827923,4.3258701514671145,4.258957491577554,4.645577515453056,4.294862621440125
fold0_seed29_easy,floor_both,ADE_vs_CV,easy,eu-locality-048,2050,2.143152658013858,2.2919612794697164,6.492632436194034,4.284196614084099,4.688822331488204,4.484449431559784
fold0_seed29_easy,floor_both,ADE_vs_CV,easy,eu-locality-067,1508,2.0271472430758775,2.126958008841005,4.692653326969776,4.307644335745245,4.63896463857005,4.431771346846858
fold0_seed29_easy,floor_both,ADE_vs_CV,easy,eu-locality-110,2579,2.187958119572442,2.356118809479549,7.137190587780795,4.205620267804472,4.595233941220799,4.476255197977273
fold0_seed29_easy,floor_both,ADE_vs_CV,easy,eu-locality-119,1658,2.186975286816114,2.3455260977767742,6.759712079560487,4.199454714286092,4.66215625243731,4.423775218674889
fold0_seed29_easy,floor_both,ADE_vs_CV,easy,eu-locality-124,1006,2.3987088122054447,2.5758364727079335,6.876510305651406,4.325159326653896,4.6661027791476934,4.529853536161329
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-007,1023,41.21026217692462,41.40975627894383,0.48175628147960614,81.24718975645555,114.47062363973248,81.24718975645555
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-008,36762,52.531931316388025,52.67518424564873,0.2719552504888201,124.33320145770217,215.6358894928369,124.48147963655674
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-020,47,37.64541412593011,37.60165778915696,-0.11636810541306719,59.47714101421315,69.16719818649797,59.47714101421315
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-048,2992,57.38130887138882,57.46856971561877,0.15184098832067283,127.11608694673164,211.57685641932093,127.3940467841187
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-067,2806,57.97823373988395,58.07941434406488,0.17421078591036698,132.24005022202874,207.56503644827586,132.24005022202874
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-110,2743,79.23443327350493,79.7697476849151,0.6710744698912974,230.62238670701072,405.0089482593798,230.75512668230746
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-119,1895,70.81360643711885,70.83322967903267,0.027703440888882103,177.35436104322963,275.16663244604706,177.35436104322963
fold0_seed29_easy,floor_both,ADE_vs_CV,hard,eu-locality-124,1362,98.70560753062729,98.83231481672954,0.12820430882065637,278.10766655456683,456.2515668720877,278.10766655456683
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-007,5526,13.591903800603859,13.615473566485107,0.17311014388265988,45.89358032936613,80.22724394770805,46.05961894117432
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-008,157961,17.978416895398794,17.937447428468403,-0.22840187877217755,63.883364276758996,131.398306991468,63.88749530193625
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-020,1225,6.441488901251917,6.444632745281368,0.04878236128741387,20.950455289077674,42.958840384020256,20.950455289077674
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-048,8058,26.552093139476263,26.54156811104842,-0.039654885437845344,89.55098636922551,160.18716362070072,89.55098636922551
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-067,6903,28.892132337276635,28.898017940351377,0.020366805387450615,93.18088829333526,168.56927310186109,93.18088829333526
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-110,8550,30.295856224510857,30.281779739847657,-0.046484997857221266,121.4135773363726,272.09246013351503,121.68449105426859
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-119,5639,28.832948905183546,28.81952230510989,-0.046588558725968454,114.3522798565831,201.6878989025234,114.3522798565831
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,all,eu-locality-124,3550,42.40917144753951,42.422340893712565,0.031043657411677916,186.18276158812444,344.5055271166482,186.45287792257716
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-007,2133,1.7751231983383262,1.7517319351325,-1.3353220739254823,4.225221710830275,4.704508445901062,4.208910981901395
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-008,52276,2.1494596855171704,2.0908453608261497,-2.803379235461989,4.2266531319909015,4.6379512661174465,4.191769687146941
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-020,695,1.6106738355339651,1.6139991414007029,0.20602897371133633,4.258957491577554,4.645577515453056,4.272902529712657
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-048,2050,2.143152658013858,2.1133560088444177,-1.4099209524917056,4.284196614084099,4.688822331488204,4.279426052271072
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-067,1508,2.0271472430758775,2.0090664224964474,-0.8999613142189222,4.307644335745245,4.63896463857005,4.298641582012201
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-110,2579,2.187958119572442,2.1430916893979495,-2.0935375932093825,4.205620267804472,4.595233941220799,4.187432256844642
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-119,1658,2.186975286816114,2.144031713959839,-2.002935524538585,4.199454714286092,4.66215625243731,4.202705318758933
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,easy,eu-locality-124,1006,2.3987088122054447,2.362778423654885,-1.5206837928958494,4.325159326653896,4.6661027791476934,4.3042415039976865
fold0_seed29_easy,floor_both,ADE_vs_matched_cv_target,hard,eu-locality-007,1023,41.21026217692462,41.30867663737365,0.2382416200667814,81.24718975645555,114.47062363973248,81.24718975645555
