arm,scene,ADE,CV_ADE,FDE,CV_FDE,ADE_p95,ADE_p99,CV_ADE_p95,ADE_rows,FDE_rows,coordinate_unit,source,json_pointer
log_ratio,gates,19.481131865308534,19.761524366102755,44.61691721280903,45.46659279476251,62.88586693513001,114.88997553890802,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/log_ratio
log_ratio,hyang,15.645841146958135,15.923360932222653,32.61266296163076,33.48042611082892,48.51864928861923,87.5914068788429,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/log_ratio
forest_ratio,coupa,11.431077598748733,11.908205875359586,22.641094398159414,24.039198986980004,44.59414242221423,75.98417113572397,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/forest_ratio
forest_ratio,deathCircle,23.419262971775698,24.81068191340851,50.20856255988204,54.872850094151254,72.52155703615762,170.87666712611514,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/forest_ratio
forest_ratio,gates,19.372662575560746,19.761524366102755,44.273642379265574,45.46659279476251,62.813391227565866,112.96239084927262,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/forest_ratio
forest_ratio,hyang,15.51914402595848,15.923360932222653,32.23321389158149,33.48042611082892,48.1900633037746,86.0131385744145,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/forest_ratio
square_gain,coupa,11.438614810508987,11.908205875359586,22.826439890043574,24.039198986980004,43.183399646637554,74.47702529374858,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/square_gain
square_gain,deathCircle,23.34737029483272,24.81068191340851,50.086054513865044,54.872850094151254,71.87091145501182,168.21375676260925,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/square_gain
square_gain,gates,19.357279825807407,19.761524366102755,44.29139183058058,45.46659279476251,62.108489404523304,110.10766399852913,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/square_gain
square_gain,hyang,15.371155390906182,15.923360932222653,31.840592999784924,33.48042611082892,46.93931409874513,81.9588461183931,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/square_gain
log_gain,coupa,11.444440994021,11.908205875359586,22.85412907515036,24.039198986980004,42.95340124397433,74.4253728970925,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/log_gain
log_gain,deathCircle,23.330620474521723,24.81068191340851,50.0354060192373,54.872850094151254,71.71435135485704,168.39190624404452,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/log_gain
log_gain,gates,19.360291660352384,19.761524366102755,44.305981096136996,45.46659279476251,62.1779070586895,109.99655458428055,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/log_gain
log_gain,hyang,15.378664476682133,15.923360932222653,31.865134284502126,33.48042611082892,47.00040469519884,82.15353108534393,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/log_gain
forest_gain,coupa,11.404059285588547,11.908205875359586,22.743939383187314,24.039198986980004,42.95320601390441,73.9046762785187,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/forest_gain
forest_gain,deathCircle,23.288245315282577,24.81068191340851,49.89110978211141,54.872850094151254,71.30091288810137,166.76503171261837,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/forest_gain
forest_gain,gates,19.32729871695194,19.761524366102755,44.2144925362971,45.46659279476251,61.947717152784236,109.67681086456598,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/forest_gain
forest_gain,hyang,15.329485327540722,15.923360932222653,31.71993771089428,33.48042611082892,46.64864690759575,81.15315370645807,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/forest_gain
